week_id,start_date,end_date
1,2024-12-27,2025-01-02
2,2025-01-03,2025-01-09
3,2025-01-10,2025-01-16
4,2025-01-17,2025-01-23
5,2025-01-24,2025-01-30
6,2025-01-31,2025-02-06
7,2025-02-07,2025-02-13
8,2025-02-14,2025-02-20
9,2025-02-21,2025-02-27
10,2025-02-28,2025-03-06
11,2025-03-07,2025-03-13
12,2025-03-14,2025-03-20
13,2025-03-21,2025-03-27
