"Hours since thread went live","Shuumatsu Train Doko e Iku? • Train to the End of the World - Episode 8 discussion"
0,1
0,2
0.08333333333333333,5
0.16666666666666666,8
0.25,9
0.3333333333333333,12
0.4166666666666667,14
0.5,18
0.5833333333333334,18
0.6666666666666666,22
0.75,26
0.8333333333333334,32
0.9166666666666666,36
1,44
1.0833333333333333,49
1.1666666666666667,56
1.25,64
1.3333333333333333,76
1.4166666666666667,83
1.5,92
1.5833333333333333,102
1.6666666666666667,107
1.75,116
1.8333333333333333,119
1.9166666666666667,122
2,132
2.0833333333333335,140
2.1666666666666665,144
2.25,150
2.3333333333333335,160
2.4166666666666665,171
2.5,171
2.5833333333333335,177
2.6666666666666665,182
2.75,190
2.8333333333333335,198
2.9166666666666665,209
3,213
3.0833333333333335,221
3.1666666666666665,229
3.25,237
3.3333333333333335,241
3.4166666666666665,242
3.5,246
3.5833333333333335,252
3.6666666666666665,255
3.75,267
3.8333333333333335,267
3.9166666666666665,277
4,278
4.083333333333333,287
4.166666666666667,287
4.25,290
4.333333333333333,297
4.416666666666667,299
4.5,305
4.583333333333333,310
4.666666666666667,319
4.75,324
4.833333333333333,323
4.916666666666667,326
5,334
5.083333333333333,339
5.166666666666667,339
5.25,344
5.333333333333333,352
5.416666666666667,361
5.5,363
5.583333333333333,367
5.666666666666667,377
5.75,382
5.833333333333333,384
5.916666666666667,390
6,395
6.083333333333333,400
6.166666666666667,406
6.25,405
6.333333333333333,410
6.416666666666667,418
6.5,427
6.583333333333333,429
6.666666666666667,427
6.75,436
6.833333333333333,442
6.916666666666667,443
7,446
7.083333333333333,459
7.166666666666667,457
7.25,465
7.333333333333333,466
7.416666666666667,473
7.5,473
7.583333333333333,488
7.666666666666667,485
7.75,492
7.833333333333333,495
7.916666666666667,498
8,501
8.083333333333334,501
8.166666666666666,502
8.25,509
8.333333333333334,518
8.416666666666666,522
8.5,519
8.583333333333334,518
8.666666666666666,521
8.75,530
8.833333333333334,532
8.916666666666666,538
9,539
9.083333333333334,547
9.166666666666666,550
9.25,558
9.333333333333334,560
9.416666666666666,554
9.5,563
9.583333333333334,568
9.666666666666666,578
9.75,570
9.833333333333334,573
9.916666666666666,575
10,573
10.083333333333334,578
10.166666666666666,579
10.25,580
10.333333333333334,583
10.416666666666666,588
10.5,599
10.583333333333334,602
10.666666666666666,599
10.75,603
10.833333333333334,602
10.916666666666666,611
11,610
11.083333333333334,613
11.166666666666666,615
11.25,618
11.333333333333334,623
11.416666666666666,620
11.5,630
11.583333333333334,630
11.666666666666666,631
11.75,635
11.833333333333334,636
11.916666666666666,640
12,637
12.083333333333334,645
12.166666666666666,639
12.25,645
12.333333333333334,642
12.416666666666666,653
12.5,659
12.583333333333334,656
12.666666666666666,661
12.75,666
12.833333333333334,668
12.916666666666666,671
13,667
13.083333333333334,677
13.166666666666666,676
13.25,672
13.333333333333334,674
13.416666666666666,683
13.5,683
13.583333333333334,678
13.666666666666666,685
13.75,684
13.833333333333334,689
13.916666666666666,686
14,685
14.083333333333334,693
14.166666666666666,692
14.25,693
14.333333333333334,698
14.416666666666666,696
14.5,698
14.583333333333334,699
14.666666666666666,693
14.75,702
14.833333333333334,703
14.916666666666666,697
15,709
15.083333333333334,706
15.166666666666666,707
15.25,714
15.333333333333334,714
15.416666666666666,715
15.5,717
15.583333333333334,721
15.666666666666666,718
15.75,717
15.833333333333334,722
15.916666666666666,727
16,719
16.083333333333332,729
16.166666666666668,726
16.25,730
16.333333333333332,728
16.416666666666668,731
16.5,738
16.583333333333332,738
16.666666666666668,730
16.75,744
16.833333333333332,738
16.916666666666668,740
17,748
17.083333333333332,748
17.166666666666668,752
17.25,748
17.333333333333332,748
17.416666666666668,751
17.5,759
17.583333333333332,755
17.666666666666668,756
17.75,762
17.833333333333332,757
17.916666666666668,768
18,765
18.083333333333332,765
18.166666666666668,769
18.25,770
18.333333333333332,772
18.416666666666668,766
18.5,769
18.583333333333332,763
18.666666666666668,773
18.75,773
18.833333333333332,764
18.916666666666668,769
19,770
19.083333333333332,775
19.166666666666668,772
19.25,765
19.333333333333332,773
19.416666666666668,767
19.5,772
19.583333333333332,772
19.666666666666668,769
19.75,776
19.833333333333332,776
19.916666666666668,783
20,778
20.083333333333332,784
20.166666666666668,773
20.25,777
20.333333333333332,782
20.416666666666668,783
20.5,780
20.583333333333332,783
20.666666666666668,784
20.75,785
20.833333333333332,790
20.916666666666668,785
21,786
21.083333333333332,787
21.166666666666668,794
21.25,793
21.333333333333332,795
21.416666666666668,792
21.5,789
21.583333333333332,797
21.666666666666668,789
21.75,795
21.833333333333332,792
21.916666666666668,795
22,800
22.083333333333332,802
22.166666666666668,799
22.25,800
22.333333333333332,806
22.416666666666668,800
22.5,800
22.583333333333332,804
22.666666666666668,807
22.75,813
22.833333333333332,811
22.916666666666668,810
23,813
23.083333333333332,813
23.166666666666668,813
23.25,814
23.333333333333332,810
23.416666666666668,809
23.5,810
23.583333333333332,817
23.666666666666668,816
23.75,821
23.833333333333332,814
23.916666666666668,813
24,816
24.083333333333332,818
24.166666666666668,819
24.25,818
24.333333333333332,814
24.416666666666668,818
24.5,820
24.583333333333332,816
24.666666666666668,819
24.75,824
24.833333333333332,817
24.916666666666668,820
25,821
25.083333333333332,819
25.166666666666668,825
25.25,821
25.333333333333332,822
25.416666666666668,825
25.5,822
25.583333333333332,823
25.666666666666668,825
25.75,827
25.833333333333332,825
25.916666666666668,825
26,826
26.083333333333332,824
26.166666666666668,833
26.25,833
26.333333333333332,831
26.416666666666668,827
26.5,829
26.583333333333332,833
26.666666666666668,826
26.75,828
26.833333333333332,829
26.916666666666668,831
27,830
27.083333333333332,830
27.166666666666668,833
27.25,832
27.333333333333332,830
27.416666666666668,827
27.5,831
27.583333333333332,829
27.666666666666668,837
27.75,838
27.833333333333332,835
27.916666666666668,834
28,837
28.083333333333332,830
28.166666666666668,834
28.25,832
28.333333333333332,829
28.416666666666668,833
28.5,831
28.583333333333332,834
28.666666666666668,835
28.75,842
28.833333333333332,839
28.916666666666668,842
29,841
29.083333333333332,838
29.166666666666668,842
29.25,841
29.333333333333332,836
29.416666666666668,838
29.5,841
29.583333333333332,845
29.666666666666668,842
29.75,839
29.833333333333332,845
29.916666666666668,849
30,841
30.083333333333332,847
30.166666666666668,842
30.25,849
30.333333333333332,854
30.416666666666668,852
30.5,854
30.583333333333332,843
30.666666666666668,847
30.75,853
30.833333333333332,850
30.916666666666668,849
31,842
31.083333333333332,853
31.166666666666668,844
31.25,850
31.333333333333332,848
31.416666666666668,850
31.5,850
31.583333333333332,850
31.666666666666668,854
31.75,857
31.833333333333332,857
31.916666666666668,848
32,855
32.083333333333336,856
32.166666666666664,862
32.25,856
32.333333333333336,855
32.416666666666664,863
32.5,854
32.583333333333336,861
32.666666666666664,858
32.75,859
32.833333333333336,866
32.916666666666664,862
33,860
33.083333333333336,862
33.166666666666664,860
33.25,860
33.333333333333336,858
33.416666666666664,867
33.5,867
