"Hours since thread went live","86 Eighty-Six Part 2 - Episode 12 discussion - FINAL"
25.166666666666668,7774
25.25,7781
25.333333333333332,7789
25.416666666666668,7793
25.5,7802
25.583333333333332,7803
25.666666666666668,7810
25.75,7812
25.833333333333332,7821
25.916666666666668,7832
26,7837
26.083333333333332,7848
26.166666666666668,7854
26.25,7846
26.333333333333332,7861
26.416666666666668,7863
26.5,7874
26.583333333333332,7886
26.666666666666668,7886
26.75,7898
26.833333333333332,7900
26.916666666666668,7916
27,7919
27.083333333333332,7920
27.166666666666668,7920
27.25,7929
27.333333333333332,7934
27.416666666666668,7941
27.5,7948
27.583333333333332,7944
27.666666666666668,7946
27.75,7952
27.833333333333332,7962
27.916666666666668,7973
28,7970
28.083333333333332,7986
28.166666666666668,7978
28.25,7989
28.333333333333332,7995
28.416666666666668,8001
28.5,8007
28.583333333333332,8013
28.666666666666668,8009
28.75,8016
28.833333333333332,8024
28.916666666666668,8021
29,8030
29.083333333333332,8035
29.166666666666668,8037
29.25,8035
29.333333333333332,8040
29.416666666666668,8048
29.5,8045
29.583333333333332,8055
29.666666666666668,8064
29.75,8075
29.833333333333332,8075
29.916666666666668,8073
30,8078
30.083333333333332,8093
30.166666666666668,8097
30.25,8101
30.333333333333332,8110
30.416666666666668,8110
30.5,8121
30.583333333333332,8112
30.666666666666668,8123
30.75,8129
30.833333333333332,8135
30.916666666666668,8131
31,8138
31.083333333333332,8154
31.166666666666668,8148
31.25,8162
31.333333333333332,8168
31.416666666666668,8169
31.5,8178
31.583333333333332,8186
31.666666666666668,8191
31.75,8188
31.833333333333332,8191
31.916666666666668,8195
32,8197
32.083333333333336,8195
32.166666666666664,8211
32.25,8203
32.333333333333336,8215
32.416666666666664,8215
32.5,8219
32.583333333333336,8218
32.666666666666664,8227
32.75,8225
32.833333333333336,8236
32.916666666666664,8240
33,8249
33.083333333333336,8252
33.166666666666664,8259
33.25,8253
33.333333333333336,8263
33.416666666666664,8251
33.5,8262
33.583333333333336,8270
33.666666666666664,8263
33.75,8268
33.833333333333336,8279
33.916666666666664,8277
34,8291
34.083333333333336,8288
34.166666666666664,8291
34.25,8290
34.333333333333336,8307
34.416666666666664,8305
34.5,8301
34.583333333333336,8310
34.666666666666664,8309
34.75,8309
34.833333333333336,8321
34.916666666666664,8316
35,8329
35.083333333333336,8328
35.166666666666664,8330
35.25,8334
35.333333333333336,8336
35.416666666666664,8346
35.5,8350
35.583333333333336,8341
35.666666666666664,8351
35.75,8348
35.833333333333336,8351
35.916666666666664,8348
36,8352
36.083333333333336,8361
36.166666666666664,8363
36.25,8362
36.333333333333336,8364
36.416666666666664,8372
36.5,8368
36.583333333333336,8367
36.666666666666664,8378
36.75,8372
36.833333333333336,8385
36.916666666666664,8383
37,8385
37.083333333333336,8384
37.166666666666664,8391
37.25,8389
37.333333333333336,8390
37.416666666666664,8401
37.5,8394
37.583333333333336,8400
37.666666666666664,8400
37.75,8397
37.833333333333336,8398
37.916666666666664,8404
38,8403
38.083333333333336,8411
38.166666666666664,8408
38.25,8418
38.333333333333336,8415
38.416666666666664,8414
38.5,8415
38.583333333333336,8414
38.666666666666664,8420
38.75,8420
38.833333333333336,8422
38.916666666666664,8419
39,8426
39.083333333333336,8424
39.166666666666664,8426
39.25,8428
39.333333333333336,8432
39.416666666666664,8432
39.5,8435
39.583333333333336,8432
39.666666666666664,8428
39.75,8433
39.833333333333336,8439
39.916666666666664,8447
40,8445
40.083333333333336,8444
40.166666666666664,8447
40.25,8442
40.333333333333336,8446
40.416666666666664,8445
40.5,8450
40.583333333333336,8448
40.666666666666664,8452
40.75,8446
40.833333333333336,8451
40.916666666666664,8452
41,8455
41.083333333333336,8460
41.166666666666664,8461
41.25,8460
41.333333333333336,8471
41.416666666666664,8467
41.5,8469
41.583333333333336,8476
41.666666666666664,8471
41.75,8473
41.833333333333336,8479
41.916666666666664,8479
42,8473
42.083333333333336,8476
42.166666666666664,8478
42.25,8481
42.333333333333336,8481
42.416666666666664,8483
42.5,8482
42.583333333333336,8485
42.666666666666664,8491
42.75,8492
42.833333333333336,8495
42.916666666666664,8487
43,8483
43.083333333333336,8494
43.166666666666664,8486
43.25,8497
43.333333333333336,8491
43.416666666666664,8494
43.5,8496
43.583333333333336,8495
43.666666666666664,8506
43.75,8511
43.833333333333336,8501
43.916666666666664,8517
44,8511
44.083333333333336,8514
44.166666666666664,8513
44.25,8519
44.333333333333336,8524
44.416666666666664,8516
44.5,8515
44.583333333333336,8527
44.666666666666664,8520
44.75,8519
44.833333333333336,8529
44.916666666666664,8541
45,8535
45.083333333333336,8530
45.166666666666664,8536
45.25,8540
45.333333333333336,8541
45.416666666666664,8543
45.5,8538
45.583333333333336,8549
45.666666666666664,8544
45.75,8547
45.833333333333336,8548
45.916666666666664,8550
46,8546
46.083333333333336,8558
46.166666666666664,8560
46.25,8550
46.333333333333336,8555
46.416666666666664,8571
46.5,8569
46.583333333333336,8568
46.666666666666664,8574
46.75,8571
46.833333333333336,8586
46.916666666666664,8583
47,8594
47.083333333333336,8591
47.166666666666664,8594
47.25,8596
47.333333333333336,8603
47.416666666666664,8602
47.5,8605
47.583333333333336,8603
47.666666666666664,8605
47.75,8606
47.833333333333336,8611
47.916666666666664,8615
