"Hours since thread went live","86 Eighty-Six Part 2 - Episode 12 discussion - FINAL"
0,2
0.08333333333333333,32
0.16666666666666666,79
0.25,131
0.3333333333333333,201
0.4166666666666667,286
0.5,361
0.5833333333333334,440
0.6666666666666666,511
0.75,597
0.8333333333333334,676
0.9166666666666666,770
1,856
1.0833333333333333,952
1.1666666666666667,1055
1.25,1158
1.3333333333333333,1232
1.4166666666666667,1315
1.5,1398
1.5833333333333333,1504
1.6666666666666667,1578
1.75,1669
1.8333333333333333,1763
1.9166666666666667,1858
2,1925
2.0833333333333335,2002
2.1666666666666665,2079
2.25,2156
2.3333333333333335,2221
2.4166666666666665,2283
2.5,2347
2.5833333333333335,2409
2.6666666666666665,2458
2.75,2522
2.8333333333333335,2594
2.9166666666666665,2656
3,2719
3.0833333333333335,2765
3.1666666666666665,2827
3.25,2877
3.3333333333333335,2938
3.4166666666666665,2989
3.5,3042
3.5833333333333335,3089
3.6666666666666665,3148
3.75,3186
3.8333333333333335,3234
3.9166666666666665,3299
4,3332
4.083333333333333,3394
4.166666666666667,3427
4.25,3464
4.333333333333333,3508
4.416666666666667,3561
4.5,3598
4.583333333333333,3633
4.666666666666667,3660
4.75,3707
4.833333333333333,3737
4.916666666666667,3791
5,3820
5.083333333333333,3856
5.166666666666667,3891
5.25,3922
5.333333333333333,3949
5.416666666666667,3987
5.5,4036
5.583333333333333,4074
5.666666666666667,4104
5.75,4141
5.833333333333333,4175
5.916666666666667,4219
6,4255
6.083333333333333,4291
6.166666666666667,4309
6.25,4342
6.333333333333333,4374
6.416666666666667,4418
6.5,4446
6.583333333333333,4488
6.666666666666667,4515
6.75,4545
6.833333333333333,4584
6.916666666666667,4613
7,4622
7.083333333333333,4658
7.166666666666667,4679
7.25,4719
7.333333333333333,4747
7.416666666666667,4765
7.5,4805
7.583333333333333,4828
7.666666666666667,4852
7.75,4877
7.833333333333333,4899
7.916666666666667,4928
8,4955
8.083333333333334,4991
8.166666666666666,5010
8.25,5050
8.333333333333334,5084
8.416666666666666,5110
8.5,5141
8.583333333333334,5166
8.666666666666666,5188
8.75,5198
8.833333333333334,5238
8.916666666666666,5263
9,5285
9.083333333333334,5309
9.166666666666666,5343
9.25,5361
9.333333333333334,5381
9.416666666666666,5404
9.5,5429
9.583333333333334,5451
9.666666666666666,5478
9.75,5502
9.833333333333334,5514
9.916666666666666,5544
10,5571
10.083333333333334,5595
10.166666666666666,5634
10.25,5653
10.333333333333334,5692
10.416666666666666,5708
10.5,5742
10.583333333333334,5765
10.666666666666666,5790
10.75,5816
10.833333333333334,5849
10.916666666666666,5876
11,5909
11.083333333333334,5935
11.166666666666666,5970
11.25,5990
11.333333333333334,6009
11.416666666666666,6017
11.5,6044
11.583333333333334,6070
11.666666666666666,6088
11.75,6097
11.833333333333334,6120
11.916666666666666,6143
12,6157
12.083333333333334,6180
12.166666666666666,6210
12.25,6225
12.333333333333334,6238
12.416666666666666,6254
12.5,6272
12.583333333333334,6296
12.666666666666666,6310
12.75,6314
12.833333333333334,6334
12.916666666666666,6348
13,6357
13.083333333333334,6384
13.166666666666666,6387
13.25,6405
13.333333333333334,6427
13.416666666666666,6439
13.5,6457
13.583333333333334,6475
13.666666666666666,6483
13.75,6500
13.833333333333334,6510
13.916666666666666,6525
14,6530
14.083333333333334,6554
14.166666666666666,6571
14.25,6579
14.333333333333334,6601
14.416666666666666,6612
14.5,6626
14.583333333333334,6635
14.666666666666666,6650
14.75,6661
14.833333333333334,6673
14.916666666666666,6680
15,6690
15.083333333333334,6711
15.166666666666666,6730
15.25,6758
15.333333333333334,6764
15.416666666666666,6777
15.5,6792
15.583333333333334,6794
15.666666666666666,6798
15.75,6822
15.833333333333334,6828
15.916666666666666,6843
16,6849
16.083333333333332,6856
16.166666666666668,6867
16.25,6883
16.333333333333332,6905
16.416666666666668,6910
16.5,6918
16.583333333333332,6935
16.666666666666668,6948
16.75,6958
16.833333333333332,6969
16.916666666666668,6977
17,6988
17.083333333333332,6988
17.166666666666668,7004
17.25,7024
17.333333333333332,7024
17.416666666666668,7041
17.5,7050
17.583333333333332,7058
17.666666666666668,7064
17.75,7079
17.833333333333332,7087
17.916666666666668,7101
18,7111
18.083333333333332,7121
18.166666666666668,7132
18.25,7137
18.333333333333332,7146
18.416666666666668,7162
18.5,7177
18.583333333333332,7178
18.666666666666668,7195
18.75,7201
18.833333333333332,7202
18.916666666666668,7221
19,7222
19.083333333333332,7242
19.166666666666668,7243
19.25,7251
19.333333333333332,7262
19.416666666666668,7284
19.5,7302
19.583333333333332,7311
19.666666666666668,7320
19.75,7328
19.833333333333332,7328
19.916666666666668,7345
20,7353
20.083333333333332,7362
20.166666666666668,7366
20.25,7376
20.333333333333332,7381
20.416666666666668,7385
20.5,7393
20.583333333333332,7396
20.666666666666668,7411
20.75,7416
20.833333333333332,7419
20.916666666666668,7425
21,7443
21.083333333333332,7444
21.166666666666668,7450
21.25,7457
21.333333333333332,7467
21.416666666666668,7476
21.5,7487
21.583333333333332,7488
21.666666666666668,7503
21.75,7515
21.833333333333332,7521
21.916666666666668,7525
22,7531
22.083333333333332,7538
22.166666666666668,7550
22.25,7563
22.333333333333332,7566
22.416666666666668,7575
22.5,7576
22.583333333333332,7585
22.666666666666668,7593
22.75,7604
22.833333333333332,7613
22.916666666666668,7614
23,7617
23.083333333333332,7621
23.166666666666668,7616
23.25,7627
23.333333333333332,7635
23.416666666666668,7636
23.5,7648
23.583333333333332,7649
23.666666666666668,7658
23.75,7665
23.833333333333332,7673
23.916666666666668,7679
24,7685
24.083333333333332,7697
24.166666666666668,7688
24.25,7698
24.333333333333332,7711
24.416666666666668,7723
24.5,7718
24.583333333333332,7726
24.666666666666668,7746
24.75,7748
24.833333333333332,7747
24.916666666666668,7753
25,7768
25.083333333333332,7764
