"Hours since thread went live","Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou sareru • The Strongest Tank's Labyrinth Raids: A Tank with a Rare 9999 Resistance Skill Got Kicked from the Hero's Party - Episode 11 discussion"
0,2
0,2
0.08333333333333333,3
0.16666666666666666,4
0.25,4
0.3333333333333333,7
0.4166666666666667,8
0.5,9
0.5833333333333334,10
0.6666666666666666,12
0.75,12
0.8333333333333334,15
0.9166666666666666,15
1,16
1.0833333333333333,16
1.1666666666666667,16
1.25,17
1.3333333333333333,17
1.4166666666666667,16
1.5,17
1.5833333333333333,19
1.6666666666666667,21
1.75,22
1.8333333333333333,21
1.9166666666666667,21
2,22
2.0833333333333335,22
2.1666666666666665,24
2.25,24
2.3333333333333335,24
2.4166666666666665,24
2.5,25
2.5833333333333335,25
2.6666666666666665,26
2.75,27
2.8333333333333335,28
2.9166666666666665,28
3,28
3.0833333333333335,30
3.1666666666666665,31
3.25,32
3.3333333333333335,31
3.4166666666666665,33
3.5,33
3.5833333333333335,33
3.6666666666666665,35
3.75,38
3.8333333333333335,37
3.9166666666666665,37
4,38
4.083333333333333,38
4.166666666666667,39
4.25,40
4.333333333333333,39
4.416666666666667,39
4.5,38
4.583333333333333,41
4.666666666666667,43
4.75,37
4.833333333333333,37
4.916666666666667,40
5,44
5.083333333333333,40
5.166666666666667,44
5.25,44
5.333333333333333,45
5.416666666666667,50
5.5,48
5.583333333333333,49
5.666666666666667,50
5.75,50
5.833333333333333,50
5.916666666666667,53
6,52
6.083333333333333,50
6.166666666666667,50
6.25,56
6.333333333333333,56
6.416666666666667,58
6.5,57
6.583333333333333,54
6.666666666666667,55
6.75,53
6.833333333333333,54
6.916666666666667,54
7,59
7.083333333333333,53
7.166666666666667,58
7.25,60
7.333333333333333,59
7.416666666666667,60
7.5,59
7.583333333333333,60
7.666666666666667,58
7.75,58
7.833333333333333,58
7.916666666666667,65
8,64
8.083333333333334,60
8.166666666666666,63
8.25,59
8.333333333333334,62
8.416666666666666,63
8.5,62
8.583333333333334,66
8.666666666666666,64
8.75,68
8.833333333333334,67
8.916666666666666,66
9,65
9.083333333333334,68
9.166666666666666,64
9.25,65
9.333333333333334,63
9.416666666666666,66
9.5,65
9.583333333333334,67
9.666666666666666,67
9.75,68
9.833333333333334,69
9.916666666666666,69
10,64
10.083333333333334,68
10.166666666666666,65
10.25,67
10.333333333333334,68
10.416666666666666,65
10.5,67
10.583333333333334,67
10.666666666666666,70
10.75,68
10.833333333333334,67
10.916666666666666,65
11,65
11.083333333333334,72
11.166666666666666,69
11.25,73
11.333333333333334,70
11.416666666666666,69
11.5,72
11.583333333333334,74
11.666666666666666,68
11.75,69
11.833333333333334,70
11.916666666666666,71
12,72
12.083333333333334,73
12.166666666666666,73
12.25,75
12.333333333333334,72
12.416666666666666,69
12.5,73
12.583333333333334,69
12.666666666666666,74
12.75,75
12.833333333333334,71
12.916666666666666,73
13,73
13.083333333333334,73
13.166666666666666,77
13.25,73
13.333333333333334,73
13.416666666666666,78
13.5,77
13.583333333333334,74
13.666666666666666,75
13.75,73
13.833333333333334,78
13.916666666666666,77
14,74
14.083333333333334,73
14.166666666666666,74
14.25,75
14.333333333333334,74
14.416666666666666,75
14.5,73
14.583333333333334,75
14.666666666666666,78
14.75,76
14.833333333333334,78
14.916666666666666,78
15,79
15.083333333333334,76
15.166666666666666,79
15.25,77
15.333333333333334,78
15.416666666666666,78
15.5,80
15.583333333333334,77
15.666666666666666,80
15.75,77
15.833333333333334,82
15.916666666666666,79
16,79
16.083333333333332,79
16.166666666666668,82
16.25,83
16.333333333333332,83
