"Hours since thread went live","Yuuki Bakuhatsu Bang Bravern • Brave Bang Bravern! - Episode 10 discussion"
0,2
0.08333333333333333,2
0.16666666666666666,4
0.25,5
0.3333333333333333,5
0.4166666666666667,8
0.5,12
0.5833333333333334,13
0.6666666666666666,14
0.75,17
0.8333333333333334,20
0.9166666666666666,22
1,24
1.0833333333333333,24
1.1666666666666667,27
1.25,28
1.3333333333333333,29
1.4166666666666667,29
1.5,33
1.5833333333333333,33
1.6666666666666667,35
1.75,34
1.8333333333333333,37
1.9166666666666667,42
2,44
2.0833333333333335,41
2.1666666666666665,41
2.25,43
2.3333333333333335,45
2.4166666666666665,44
2.5,47
2.5833333333333335,48
2.6666666666666665,48
2.75,49
2.8333333333333335,53
2.9166666666666665,52
3,59
3.0833333333333335,58
3.1666666666666665,63
3.25,60
3.3333333333333335,65
3.4166666666666665,64
3.5,65
3.5833333333333335,68
3.6666666666666665,68
3.75,72
3.8333333333333335,74
3.9166666666666665,78
4,79
4.083333333333333,77
4.166666666666667,81
4.25,80
4.333333333333333,83
4.416666666666667,79
4.5,81
4.583333333333333,86
4.666666666666667,84
4.75,86
4.833333333333333,92
4.916666666666667,96
5,95
5.083333333333333,97
5.166666666666667,100
5.25,102
5.333333333333333,102
5.416666666666667,103
5.5,104
5.583333333333333,105
5.666666666666667,108
5.75,107
5.833333333333333,111
5.916666666666667,107
6,108
6.083333333333333,112
6.166666666666667,109
6.25,109
6.333333333333333,112
6.416666666666667,114
6.5,117
6.583333333333333,121
6.666666666666667,124
6.75,125
6.833333333333333,125
6.916666666666667,126
7,124
7.083333333333333,128
7.166666666666667,128
7.25,129
7.333333333333333,129
7.416666666666667,127
7.5,134
7.583333333333333,133
7.666666666666667,135
7.75,135
7.833333333333333,141
7.916666666666667,141
8,138
8.083333333333334,142
8.166666666666666,147
8.25,142
8.333333333333334,147
8.416666666666666,143
8.5,147
8.583333333333334,150
8.666666666666666,151
8.75,151
8.833333333333334,154
8.916666666666666,161
9,158
9.083333333333334,161
9.166666666666666,159
9.25,161
9.333333333333334,160
9.416666666666666,161
9.5,166
9.583333333333334,170
9.666666666666666,168
9.75,173
9.833333333333334,171
9.916666666666666,172
10,174
10.083333333333334,173
10.166666666666666,169
10.25,176
10.333333333333334,172
10.416666666666666,171
10.5,175
10.583333333333334,173
10.666666666666666,174
10.75,179
10.833333333333334,178
10.916666666666666,182
11,179
11.083333333333334,179
11.166666666666666,179
11.25,181
11.333333333333334,183
11.416666666666666,183
11.5,182
11.583333333333334,186
11.666666666666666,185
11.75,184
11.833333333333334,187
11.916666666666666,189
12,188
12.083333333333334,186
12.166666666666666,192
12.25,189
12.333333333333334,188
12.416666666666666,192
12.5,192
12.583333333333334,190
12.666666666666666,190
12.75,198
12.833333333333334,193
12.916666666666666,193
13,195
13.083333333333334,197
13.166666666666666,198
13.25,199
13.333333333333334,199
13.416666666666666,203
13.5,202
13.583333333333334,201
13.666666666666666,200
13.75,201
13.833333333333334,197
13.916666666666666,204
14,202
14.083333333333334,202
14.166666666666666,201
14.25,203
14.333333333333334,203
14.416666666666666,204
14.5,204
14.583333333333334,205
14.666666666666666,202
14.75,206
14.833333333333334,204
14.916666666666666,205
15,208
15.083333333333334,208
15.166666666666666,205
15.25,204
15.333333333333334,206
15.416666666666666,206
15.5,206
15.583333333333334,208
15.666666666666666,207
15.75,208
15.833333333333334,209
15.916666666666666,206
16,207
16.083333333333332,209
16.166666666666668,210
16.25,209
16.333333333333332,210
16.416666666666668,210
16.5,214
16.583333333333332,213
16.666666666666668,208
16.75,214
16.833333333333332,211
16.916666666666668,214
17,213
17.083333333333332,214
17.166666666666668,213
17.25,212
17.333333333333332,213
17.416666666666668,214
17.5,212
17.583333333333332,214
17.666666666666668,216
17.75,214
17.833333333333332,216
17.916666666666668,218
18,219
18.083333333333332,215
18.166666666666668,218
18.25,218
18.333333333333332,222
18.416666666666668,216
18.5,220
18.583333333333332,222
18.666666666666668,220
18.75,218
18.833333333333332,222
18.916666666666668,219
19,222
19.083333333333332,222
19.166666666666668,221
19.25,222
19.333333333333332,224
19.416666666666668,226
19.5,227
19.583333333333332,222
19.666666666666668,230
19.75,225
19.833333333333332,226
19.916666666666668,228
20,228
20.083333333333332,225
20.166666666666668,226
20.25,227
20.333333333333332,229
20.416666666666668,230
20.5,227
20.583333333333332,225
20.666666666666668,232
20.75,228
20.833333333333332,229
20.916666666666668,227
21,228
21.083333333333332,233
21.166666666666668,228
21.25,236
21.333333333333332,230
21.416666666666668,235
21.5,232
21.583333333333332,233
21.666666666666668,236
21.75,234
21.833333333333332,236
21.916666666666668,242
22,236
22.083333333333332,239
22.166666666666668,234
22.25,238
22.333333333333332,236
22.416666666666668,235
22.5,236
22.583333333333332,237
22.666666666666668,241
22.75,241
22.833333333333332,237
22.916666666666668,236
23,238
23.083333333333332,242
23.166666666666668,241
23.25,240
23.333333333333332,243
23.416666666666668,244
23.5,242
23.583333333333332,239
23.666666666666668,242
23.75,239
23.833333333333332,243
23.916666666666668,240
24,244
