"Hours since thread went live","Jujutsu Kaisen Season 2 - Episode 3 discussion"
0,3
0,36
0.08333333333333333,74
0.16666666666666666,114
0.25,167
0.3333333333333333,216
0.4166666666666667,274
0.5,346
0.5833333333333334,430
0.6666666666666666,488
0.75,545
0.8333333333333334,612
0.9166666666666666,686
1,760
1.0833333333333333,836
1.1666666666666667,890
1.25,954
1.3333333333333333,1010
1.4166666666666667,1073
1.5,1132
1.5833333333333333,1198
1.6666666666666667,1252
1.75,1307
1.8333333333333333,1355
1.9166666666666667,1412
2,1447
2.0833333333333335,1497
2.1666666666666665,1549
2.25,1599
2.3333333333333335,1635
2.4166666666666665,1680
2.5,1722
2.5833333333333335,1757
2.6666666666666665,1801
2.75,1837
2.8333333333333335,1873
2.9166666666666665,1912
3,1965
3.0833333333333335,2004
3.1666666666666665,2038
3.25,2078
3.3333333333333335,2116
3.4166666666666665,2158
3.5,2194
3.5833333333333335,2227
3.6666666666666665,2257
3.75,2301
3.8333333333333335,2317
3.9166666666666665,2358
4,2390
4.083333333333333,2416
4.166666666666667,2458
4.25,2496
4.333333333333333,2527
4.416666666666667,2554
4.5,2572
4.583333333333333,2610
4.666666666666667,2645
4.75,2672
4.833333333333333,2694
4.916666666666667,2714
5,2740
5.083333333333333,2764
5.166666666666667,2781
5.25,2810
5.333333333333333,2845
5.416666666666667,2875
5.5,2898
5.583333333333333,2922
5.666666666666667,2969
5.75,2991
5.833333333333333,3018
5.916666666666667,3059
6,3102
6.083333333333333,3118
6.166666666666667,3143
6.25,3168
6.333333333333333,3191
6.416666666666667,3205
6.5,3233
6.583333333333333,3253
6.666666666666667,3283
6.75,3297
6.833333333333333,3313
6.916666666666667,3337
7,3360
7.083333333333333,3377
7.166666666666667,3409
7.25,3426
7.333333333333333,3443
7.416666666666667,3462
7.5,3491
7.583333333333333,3515
7.666666666666667,3534
7.75,3549
7.833333333333333,3571
7.916666666666667,3584
8,3607
8.083333333333334,3624
8.166666666666666,3646
8.25,3678
8.333333333333334,3690
8.416666666666666,3705
8.5,3732
8.583333333333334,3753
8.666666666666666,3781
8.75,3803
8.833333333333334,3829
8.916666666666666,3838
9,3855
9.083333333333334,3870
9.166666666666666,3884
9.25,3893
9.333333333333334,3913
9.416666666666666,3923
9.5,3937
9.583333333333334,3957
9.666666666666666,3977
9.75,3982
9.833333333333334,4006
9.916666666666666,4032
10,4047
10.083333333333334,4064
10.166666666666666,4081
10.25,4099
10.333333333333334,4124
10.416666666666666,4140
10.5,4150
10.583333333333334,4172
10.666666666666666,4190
10.75,4202
10.833333333333334,4214
10.916666666666666,4235
11,4261
11.083333333333334,4274
11.166666666666666,4297
11.25,4302
11.333333333333334,4323
11.416666666666666,4332
11.5,4347
11.583333333333334,4369
11.666666666666666,4374
11.75,4391
11.833333333333334,4405
11.916666666666666,4423
12,4439
12.083333333333334,4448
12.166666666666666,4460
12.25,4468
12.333333333333334,4479
12.416666666666666,4497
12.5,4516
12.583333333333334,4528
12.666666666666666,4550
12.75,4557
12.833333333333334,4567
12.916666666666666,4580
13,4602
13.083333333333334,4620
13.166666666666666,4631
13.25,4641
13.333333333333334,4649
13.416666666666666,4669
13.5,4678
13.583333333333334,4689
13.666666666666666,4699
13.75,4700
13.833333333333334,4712
13.916666666666666,4713
14,4726
14.083333333333334,4738
14.166666666666666,4742
14.25,4750
14.333333333333334,4756
14.416666666666666,4777
14.5,4786
14.583333333333334,4791
14.666666666666666,4801
14.75,4813
14.833333333333334,4820
14.916666666666666,4828
15,4838
15.083333333333334,4849
15.166666666666666,4855
15.25,4857
15.333333333333334,4860
15.416666666666666,4885
15.5,4884
15.583333333333334,4890
15.666666666666666,4897
15.75,4910
15.833333333333334,4911
15.916666666666666,4928
16,4942
16.083333333333332,4952
16.166666666666668,4950
16.25,4956
16.333333333333332,4965
16.416666666666668,4965
16.5,4970
16.583333333333332,4980
16.666666666666668,4986
16.75,4997
16.833333333333332,5002
16.916666666666668,5007
17,5013
17.083333333333332,5020
17.166666666666668,5019
17.25,5029
17.333333333333332,5036
17.416666666666668,5043
17.5,5048
17.583333333333332,5051
17.666666666666668,5066
17.75,5076
17.833333333333332,5075
17.916666666666668,5081
18,5082
18.083333333333332,5088
18.166666666666668,5096
18.25,5099
18.333333333333332,5102
18.416666666666668,5114
18.5,5130
18.583333333333332,5144
18.666666666666668,5148
18.75,5156
18.833333333333332,5161
18.916666666666668,5164
19,5182
19.083333333333332,5186
19.166666666666668,5193
19.25,5195
19.333333333333332,5214
19.416666666666668,5218
19.5,5233
19.583333333333332,5236
19.666666666666668,5246
19.75,5251
19.833333333333332,5259
19.916666666666668,5259
20,5259
20.083333333333332,5276
20.166666666666668,5289
20.25,5296
20.333333333333332,5304
20.416666666666668,5317
20.5,5334
20.583333333333332,5338
20.666666666666668,5345
20.75,5360
20.833333333333332,5366
20.916666666666668,5371
21,5379
21.083333333333332,5397
21.166666666666668,5397
21.25,5395
21.333333333333332,5411
21.416666666666668,5418
21.5,5414
21.583333333333332,5422
21.666666666666668,5426
21.75,5436
21.833333333333332,5448
21.916666666666668,5463
22,5465
22.083333333333332,5470
22.166666666666668,5482
22.25,5488
22.333333333333332,5491
22.416666666666668,5495
22.5,5500
22.583333333333332,5505
22.666666666666668,5513
22.75,5523
22.833333333333332,5527
22.916666666666668,5537
23,5541
23.083333333333332,5546
23.166666666666668,5556
23.25,5557
23.333333333333332,5567
23.416666666666668,5568
23.5,5578
23.583333333333332,5582
23.666666666666668,5588
23.75,5597
23.833333333333332,5597
23.916666666666668,5602
24,5606
24.083333333333332,5619
24.166666666666668,5622
24.25,5625
24.333333333333332,5631
24.416666666666668,5641
24.5,5634
24.583333333333332,5647
24.666666666666668,5651
24.75,5651
24.833333333333332,5657
24.916666666666668,5664
25,5666
25.083333333333332,5665
25.166666666666668,5671
25.25,5677
25.333333333333332,5683
25.416666666666668,5686
25.5,5697
25.583333333333332,5693
25.666666666666668,5710
25.75,5719
25.833333333333332,5718
25.916666666666668,5713
26,5715
26.083333333333332,5727
26.166666666666668,5729
26.25,5739
26.333333333333332,5741
26.416666666666668,5749
26.5,5754
26.583333333333332,5759
26.666666666666668,5768
26.75,5765
26.833333333333332,5771
26.916666666666668,5773
27,5783
27.083333333333332,5783
27.166666666666668,5779
27.25,5789
27.333333333333332,5793
27.416666666666668,5790
27.5,5793
27.583333333333332,5799
27.666666666666668,5798
27.75,5804
27.833333333333332,5800
27.916666666666668,5805
28,5808
28.083333333333332,5814
28.166666666666668,5819
28.25,5828
28.333333333333332,5832
28.416666666666668,5838
28.5,5831
28.583333333333332,5840
28.666666666666668,5841
28.75,5840
28.833333333333332,5843
28.916666666666668,5849
29,5860
29.083333333333332,5851
29.166666666666668,5851
29.25,5855
29.333333333333332,5861
29.416666666666668,5861
29.5,5864
29.583333333333332,5861
29.666666666666668,5870
29.75,5872
29.833333333333332,5884
29.916666666666668,5879
30,5889
30.083333333333332,5892
30.166666666666668,5888
30.25,5888
30.333333333333332,5891
30.416666666666668,5896
30.5,5899
30.583333333333332,5898
30.666666666666668,5905
30.75,5907
30.833333333333332,5913
30.916666666666668,5918
31,5911
31.083333333333332,5915
31.166666666666668,5921
31.25,5920
31.333333333333332,5923
31.416666666666668,5925
31.5,5925
31.583333333333332,5929
31.666666666666668,5929
31.75,5935
31.833333333333332,5941
31.916666666666668,5936
32,5939
32.083333333333336,5950
32.166666666666664,5946
32.25,5958
32.333333333333336,5958
32.416666666666664,5970
32.5,5959
32.583333333333336,5968
32.666666666666664,5976
32.75,5971
32.833333333333336,5979
32.916666666666664,5974
33,5987
33.083333333333336,5987
33.166666666666664,5986
33.25,5994
33.333333333333336,5986
33.416666666666664,5993
33.5,5997
33.583333333333336,5995
33.666666666666664,6001
33.75,6004
33.833333333333336,6001
33.916666666666664,6002
34,6009
34.083333333333336,6018
34.166666666666664,6010
34.25,6011
34.333333333333336,6025
34.416666666666664,6024
34.5,6029
34.583333333333336,6035
34.666666666666664,6030
34.75,6038
34.833333333333336,6038
34.916666666666664,6038
35,6035
35.083333333333336,6042
35.166666666666664,6043
35.25,6040
35.333333333333336,6045
35.416666666666664,6051
35.5,6046
35.583333333333336,6054
35.666666666666664,6048
35.75,6050
35.833333333333336,6055
35.916666666666664,6063
36,6068
36.083333333333336,6058
36.166666666666664,6062
36.25,6062
36.333333333333336,6070
36.416666666666664,6066
36.5,6066
36.583333333333336,6069
36.666666666666664,6072
36.75,6067
36.833333333333336,6078
36.916666666666664,6077
37,6080
37.083333333333336,6084
37.166666666666664,6085
37.25,6088
37.333333333333336,6087
37.416666666666664,6089
37.5,6088
37.583333333333336,6099
37.666666666666664,6088
37.75,6093
37.833333333333336,6090
37.916666666666664,6090
38,6096
38.083333333333336,6094
38.166666666666664,6102
38.25,6098
38.333333333333336,6099
38.416666666666664,6096
38.5,6103
38.583333333333336,6107
38.75,6112
38.833333333333336,6112
38.916666666666664,6111
39,6115
39.083333333333336,6112
39.166666666666664,6113
39.25,6114
39.333333333333336,6123
39.416666666666664,6118
39.5,6121
39.583333333333336,6131
39.666666666666664,6133
39.75,6126
39.833333333333336,6128
39.916666666666664,6137
40,6126
40.083333333333336,6129
40.166666666666664,6136
40.25,6137
40.333333333333336,6133
40.416666666666664,6130
40.5,6134
40.583333333333336,6143
40.666666666666664,6139
40.75,6143
40.833333333333336,6137
40.916666666666664,6144
41,6145
41.083333333333336,6146
41.166666666666664,6145
41.25,6158
41.333333333333336,6152
41.416666666666664,6151
41.5,6149
41.583333333333336,6153
41.666666666666664,6159
41.75,6150
41.833333333333336,6154
41.916666666666664,6156
42,6158
42.083333333333336,6164
42.166666666666664,6160
42.25,6159
42.333333333333336,6163
42.416666666666664,6163
42.5,6165
42.583333333333336,6165
42.666666666666664,6159
42.75,6163
42.833333333333336,6168
42.916666666666664,6170
43,6177
43.083333333333336,6166
