"Hours since thread went live","Yozakura-san Chi no Daisakusen • Mission: Yozakura Family - Episode 4 discussion"
0,1
0.08333333333333333,5
0.16666666666666666,6
0.25,7
0.3333333333333333,8
0.4166666666666667,8
0.5,7
0.5833333333333334,9
0.6666666666666666,12
0.75,12
0.8333333333333334,14
0.9166666666666666,14
1,18
1.0833333333333333,20
1.1666666666666667,22
1.25,25
1.3333333333333333,27
1.4166666666666667,27
1.5,31
1.5833333333333333,29
1.6666666666666667,31
1.75,32
1.8333333333333333,34
1.9166666666666667,37
2,39
2.0833333333333335,44
2.1666666666666665,52
2.25,48
2.3333333333333335,49
2.4166666666666665,59
2.5,58
2.5833333333333335,62
2.6666666666666665,62
2.75,61
2.8333333333333335,60
2.9166666666666665,62
3,68
3.0833333333333335,68
3.1666666666666665,72
3.25,71
3.3333333333333335,74
3.4166666666666665,77
3.5,82
3.5833333333333335,80
3.6666666666666665,81
3.75,87
3.8333333333333335,89
3.9166666666666665,86
4,87
4.083333333333333,86
4.166666666666667,91
4.25,88
4.333333333333333,95
4.416666666666667,97
4.5,99
4.583333333333333,97
4.666666666666667,95
4.75,102
4.833333333333333,102
4.916666666666667,106
5,105
5.083333333333333,111
5.166666666666667,117
5.25,113
5.333333333333333,116
5.416666666666667,114
5.5,118
5.583333333333333,123
5.666666666666667,120
5.75,127
5.833333333333333,127
5.916666666666667,124
6,129
6.083333333333333,125
6.166666666666667,130
6.25,130
6.333333333333333,133
6.416666666666667,131
6.5,136
6.583333333333333,134
6.666666666666667,143
6.75,145
6.833333333333333,145
6.916666666666667,149
7,151
7.083333333333333,152
7.166666666666667,154
7.25,159
7.333333333333333,157
7.416666666666667,161
7.5,165
7.583333333333333,166
7.666666666666667,172
7.75,170
7.833333333333333,169
7.916666666666667,169
8,173
8.083333333333334,169
8.166666666666666,174
8.25,174
8.333333333333334,178
8.416666666666666,181
8.5,184
8.583333333333334,178
8.666666666666666,185
8.75,188
8.833333333333334,192
8.916666666666666,193
9,191
9.083333333333334,198
9.166666666666666,198
9.25,200
9.333333333333334,201
9.416666666666666,201
9.5,204
9.583333333333334,209
9.666666666666666,216
9.75,219
9.833333333333334,223
9.916666666666666,221
10,223
10.083333333333334,226
10.166666666666666,224
10.25,227
10.333333333333334,231
10.416666666666666,231
10.5,231
10.583333333333334,232
10.666666666666666,238
10.75,234
10.833333333333334,234
10.916666666666666,240
11,237
11.083333333333334,243
11.166666666666666,242
11.25,242
11.333333333333334,242
11.416666666666666,244
11.5,246
11.583333333333334,255
11.666666666666666,256
11.75,255
11.833333333333334,260
11.916666666666666,260
12,263
12.083333333333334,259
12.166666666666666,257
12.25,265
12.333333333333334,263
12.416666666666666,265
12.5,262
12.583333333333334,265
12.666666666666666,271
12.75,266
12.833333333333334,273
12.916666666666666,273
13,274
13.083333333333334,275
13.166666666666666,277
13.25,281
13.333333333333334,281
13.416666666666666,282
13.5,282
13.583333333333334,280
13.666666666666666,283
13.75,284
13.833333333333334,283
13.916666666666666,284
14,290
14.083333333333334,290
14.166666666666666,292
14.25,290
14.333333333333334,295
14.416666666666666,289
14.5,296
14.583333333333334,295
14.666666666666666,296
14.75,299
14.833333333333334,300
14.916666666666666,301
15,302
15.083333333333334,297
15.166666666666666,297
15.25,298
15.333333333333334,300
15.416666666666666,302
15.5,301
15.583333333333334,299
15.666666666666666,299
15.75,303
15.833333333333334,309
15.916666666666666,307
16,306
16.083333333333332,310
16.166666666666668,306
16.25,307
16.333333333333332,306
16.416666666666668,310
16.5,308
16.583333333333332,312
16.666666666666668,317
16.75,315
16.833333333333332,314
16.916666666666668,314
17,319
17.083333333333332,319
17.166666666666668,318
17.25,320
17.333333333333332,318
17.416666666666668,314
17.5,325
17.583333333333332,321
17.666666666666668,327
17.75,325
17.833333333333332,324
17.916666666666668,333
18,325
18.083333333333332,327
18.166666666666668,332
18.25,335
18.333333333333332,335
18.416666666666668,334
18.5,340
18.583333333333332,338
18.666666666666668,335
18.75,338
18.833333333333332,331
18.916666666666668,340
19,343
19.083333333333332,340
19.166666666666668,339
19.25,344
19.333333333333332,343
19.416666666666668,337
19.5,339
19.583333333333332,342
19.666666666666668,341
19.75,343
19.833333333333332,342
19.916666666666668,344
20,342
20.083333333333332,340
20.166666666666668,346
20.25,351
20.333333333333332,348
20.416666666666668,347
20.5,347
20.583333333333332,349
20.666666666666668,346
20.75,349
20.833333333333332,355
20.916666666666668,352
21,358
21.083333333333332,352
21.166666666666668,352
21.25,358
21.333333333333332,353
21.416666666666668,350
21.5,352
21.583333333333332,358
21.666666666666668,363
21.75,361
21.833333333333332,357
21.916666666666668,360
22,358
22.083333333333332,352
22.166666666666668,354
22.25,356
22.333333333333332,361
22.416666666666668,355
22.5,356
22.583333333333332,360
22.666666666666668,365
22.75,361
22.833333333333332,358
22.916666666666668,365
23,361
23.083333333333332,358
23.166666666666668,357
23.25,360
23.333333333333332,359
23.416666666666668,360
23.5,364
23.583333333333332,358
23.666666666666668,361
23.75,362
23.833333333333332,367
23.916666666666668,366
24,361
24.083333333333332,371
24.166666666666668,367
24.25,370
24.333333333333332,374
24.416666666666668,371
24.5,375
24.583333333333332,375
24.666666666666668,366
24.75,371
24.833333333333332,372
24.916666666666668,370
25,375
25.083333333333332,369
25.166666666666668,371
25.25,366
25.333333333333332,370
25.416666666666668,369
25.5,368
25.583333333333332,375
25.666666666666668,377
25.75,379
25.833333333333332,378
25.916666666666668,372
26,375
26.083333333333332,373
26.166666666666668,379
26.25,374
26.333333333333332,380
26.416666666666668,379
26.5,377
26.583333333333332,379
26.666666666666668,373
26.75,383
26.833333333333332,376
26.916666666666668,385
27,381
27.083333333333332,383
27.166666666666668,382
27.25,380
27.333333333333332,373
27.416666666666668,384
27.5,381
27.583333333333332,377
27.666666666666668,379
27.75,378
27.833333333333332,374
27.916666666666668,380
28,382
28.083333333333332,383
28.166666666666668,381
28.25,383
28.333333333333332,380
28.416666666666668,378
28.5,379
28.583333333333332,381
28.666666666666668,380
28.75,378
28.833333333333332,378
28.916666666666668,376
29,384
29.083333333333332,383
29.166666666666668,384
29.25,381
29.333333333333332,387
29.416666666666668,381
29.5,381
29.583333333333332,380
29.666666666666668,382
29.75,382
29.833333333333332,380
29.916666666666668,381
