"Hours since thread went live","Sasaki to Pii-chan • Sasaki and Peeps - Episode 9 discussion"
23.25,235
23.333333333333332,234
23.416666666666668,234
23.5,237
23.583333333333332,235
23.666666666666668,234
23.75,236
23.833333333333332,235
23.916666666666668,234
24,236
24.083333333333332,235
24.166666666666668,238
24.25,234
24.333333333333332,238
24.416666666666668,236
24.5,234
24.583333333333332,232
24.666666666666668,241
24.75,240
24.833333333333332,237
24.916666666666668,235
25,234
25.083333333333332,240
25.166666666666668,240
25.25,237
25.333333333333332,237
25.416666666666668,239
25.5,235
25.583333333333332,238
25.666666666666668,238
25.75,235
25.833333333333332,240
25.916666666666668,240
26,241
26.083333333333332,241
26.166666666666668,239
26.25,240
26.333333333333332,242
26.416666666666668,238
26.5,237
26.583333333333332,241
26.666666666666668,239
26.75,242
26.833333333333332,236
26.916666666666668,241
27,241
27.083333333333332,236
27.166666666666668,237
27.25,241
27.333333333333332,240
27.416666666666668,240
27.5,241
27.583333333333332,241
27.666666666666668,237
27.75,237
27.833333333333332,241
27.916666666666668,242
28,242
28.083333333333332,244
28.166666666666668,245
28.25,244
28.333333333333332,239
28.416666666666668,245
28.5,239
28.583333333333332,244
28.666666666666668,241
28.75,243
28.833333333333332,243
28.916666666666668,244
29,239
29.083333333333332,244
29.166666666666668,242
29.25,239
29.333333333333332,240
29.416666666666668,245
29.5,245
29.583333333333332,244
29.666666666666668,241
29.75,240
29.833333333333332,240
29.916666666666668,242
30,243
30.083333333333332,239
30.166666666666668,240
30.25,245
30.333333333333332,239
30.416666666666668,243
30.5,241
30.583333333333332,240
30.666666666666668,242
30.75,241
30.833333333333332,244
30.916666666666668,239
31,241
31.083333333333332,239
31.166666666666668,245
31.25,242
31.333333333333332,239
31.416666666666668,239
31.5,243
31.583333333333332,242
31.666666666666668,240
31.75,241
31.833333333333332,241
31.916666666666668,239
32,246
32.083333333333336,242
32.166666666666664,240
32.25,239
32.333333333333336,244
32.416666666666664,240
32.5,239
32.583333333333336,243
32.666666666666664,240
32.75,243
32.833333333333336,240
32.916666666666664,244
33,244
33.083333333333336,242
33.166666666666664,238
33.25,241
33.333333333333336,242
33.416666666666664,245
33.5,243
33.583333333333336,241
33.666666666666664,246
33.75,244
33.833333333333336,244
33.916666666666664,245
34,242
34.083333333333336,246
34.166666666666664,242
34.25,245
34.333333333333336,244
34.416666666666664,244
34.5,243
34.583333333333336,244
34.666666666666664,245
34.75,243
34.833333333333336,244
34.916666666666664,246
35,242
35.083333333333336,244
35.166666666666664,244
35.25,244
35.333333333333336,245
35.416666666666664,247
35.5,248
35.583333333333336,244
35.666666666666664,242
35.75,244
35.833333333333336,244
35.916666666666664,244
36,250
36.083333333333336,248
36.166666666666664,243
36.25,247
36.333333333333336,249
36.416666666666664,242
36.5,247
36.583333333333336,247
36.666666666666664,250
36.75,247
36.833333333333336,249
36.916666666666664,248
37,250
37.083333333333336,245
37.166666666666664,250
37.25,249
37.333333333333336,243
37.416666666666664,243
37.5,248
37.583333333333336,248
37.666666666666664,246
37.75,249
37.833333333333336,251
37.916666666666664,250
38,248
38.083333333333336,246
38.166666666666664,251
38.25,247
38.333333333333336,247
38.416666666666664,245
38.5,250
38.583333333333336,247
38.666666666666664,248
38.75,244
38.833333333333336,247
38.916666666666664,248
39,247
39.083333333333336,246
39.166666666666664,251
39.25,249
39.333333333333336,252
39.416666666666664,250
39.5,244
39.583333333333336,248
39.666666666666664,245
39.75,246
39.833333333333336,248
39.916666666666664,245
40,248
40.083333333333336,248
40.166666666666664,250
40.25,247
40.333333333333336,245
40.416666666666664,247
40.5,248
40.583333333333336,247
40.666666666666664,250
40.75,253
40.833333333333336,251
40.916666666666664,246
41,250
41.083333333333336,249
41.166666666666664,249
41.25,253
41.333333333333336,250
41.416666666666664,250
41.5,252
41.583333333333336,251
41.666666666666664,251
41.75,247
41.833333333333336,249
41.916666666666664,247
42,250
42.083333333333336,250
42.166666666666664,253
42.25,248
42.333333333333336,252
42.416666666666664,249
42.5,249
42.583333333333336,251
42.666666666666664,252
42.75,249
42.833333333333336,246
42.916666666666664,249
43,247
43.083333333333336,249
43.166666666666664,249
43.25,251
43.333333333333336,247
43.416666666666664,249
43.5,252
43.583333333333336,246
43.666666666666664,247
43.75,251
43.833333333333336,249
43.916666666666664,252
44,252
44.083333333333336,250
44.166666666666664,251
44.25,253
44.333333333333336,251
44.416666666666664,251
44.5,248
44.583333333333336,252
44.666666666666664,247
44.75,249
44.833333333333336,251
44.916666666666664,251
45,253
45.083333333333336,250
45.166666666666664,253
45.25,252
45.333333333333336,248
45.416666666666664,251
45.5,249
45.583333333333336,253
45.666666666666664,248
45.75,250
45.833333333333336,249
45.916666666666664,251
46,251
46.083333333333336,250
46.166666666666664,248
46.25,254
46.333333333333336,252
46.416666666666664,251
46.5,249
46.583333333333336,248
46.666666666666664,247
46.75,250
46.833333333333336,253
46.916666666666664,253
47,246
47.083333333333336,251
47.166666666666664,250
47.25,249
47.333333333333336,250
47.416666666666664,251
47.5,250
47.583333333333336,250
47.666666666666664,249
47.75,251
47.833333333333336,252
47.916666666666664,253
