"Hours since thread went live","Urusei Yatsura (2022) Season 2 - Episode 18 discussion"
0,1
0,1
0.08333333333333333,0
0.16666666666666666,2
0.25,2
0.3333333333333333,4
0.4166666666666667,4
0.5,7
0.5833333333333334,9
0.6666666666666666,12
0.75,16
0.8333333333333334,19
0.9166666666666666,19
1,20
1.0833333333333333,22
1.1666666666666667,29
1.25,28
1.3333333333333333,31
1.4166666666666667,32
1.5,39
1.5833333333333333,40
1.6666666666666667,46
1.75,45
1.8333333333333333,48
1.9166666666666667,50
2,53
2.0833333333333335,53
2.1666666666666665,55
2.25,54
2.3333333333333335,57
2.4166666666666665,56
2.5,55
2.5833333333333335,58
2.6666666666666665,59
2.75,62
2.8333333333333335,66
2.9166666666666665,67
3,66
3.0833333333333335,68
3.1666666666666665,69
3.25,70
3.3333333333333335,70
3.4166666666666665,69
3.5,74
3.5833333333333335,76
3.6666666666666665,80
3.75,79
3.8333333333333335,77
3.9166666666666665,78
4,79
4.083333333333333,78
4.166666666666667,82
4.25,81
4.333333333333333,86
4.416666666666667,85
4.5,81
4.583333333333333,81
4.666666666666667,84
4.75,85
4.833333333333333,84
4.916666666666667,88
5,87
5.083333333333333,86
5.166666666666667,92
5.25,94
5.333333333333333,93
5.416666666666667,94
5.5,96
5.583333333333333,94
5.666666666666667,97
5.75,93
5.833333333333333,96
5.916666666666667,98
6,96
6.083333333333333,99
6.166666666666667,96
6.25,102
6.333333333333333,101
6.416666666666667,99
6.5,101
6.583333333333333,99
6.666666666666667,102
6.75,102
6.833333333333333,102
6.916666666666667,104
7,106
7.083333333333333,102
7.166666666666667,102
7.25,104
7.333333333333333,106
7.416666666666667,107
7.5,111
7.583333333333333,110
7.666666666666667,113
7.75,108
7.833333333333333,110
7.916666666666667,114
8,114
8.083333333333334,114
8.166666666666666,114
8.25,115
8.333333333333334,118
8.416666666666666,119
8.5,120
8.583333333333334,119
8.666666666666666,120
8.75,120
8.833333333333334,124
8.916666666666666,126
9,119
9.083333333333334,121
9.166666666666666,121
9.25,124
9.333333333333334,124
9.416666666666666,130
9.5,130
9.583333333333334,131
9.666666666666666,128
9.75,127
9.833333333333334,130
9.916666666666666,128
10,133
10.083333333333334,136
10.166666666666666,135
10.25,134
10.333333333333334,134
10.416666666666666,140
10.5,140
10.583333333333334,141
10.666666666666666,142
10.75,138
10.833333333333334,142
10.916666666666666,142
11,145
11.083333333333334,145
11.166666666666666,145
11.25,142
11.333333333333334,143
11.416666666666666,143
11.5,145
11.583333333333334,146
11.666666666666666,154
11.75,149
11.833333333333334,147
11.916666666666666,150
12,151
12.083333333333334,151
12.166666666666666,151
12.25,152
12.333333333333334,150
12.416666666666666,154
12.5,156
12.583333333333334,158
12.666666666666666,152
12.75,155
12.833333333333334,158
12.916666666666666,158
13,153
13.083333333333334,158
13.166666666666666,158
13.25,160
13.333333333333334,155
13.416666666666666,156
13.5,159
13.583333333333334,159
13.666666666666666,162
13.75,156
13.833333333333334,157
13.916666666666666,163
14,161
14.083333333333334,166
14.166666666666666,167
14.25,167
14.333333333333334,163
14.416666666666666,163
14.5,165
14.583333333333334,163
14.666666666666666,165
14.75,168
14.833333333333334,162
14.916666666666666,162
15,165
15.083333333333334,168
15.166666666666666,167
15.25,163
15.333333333333334,166
15.416666666666666,167
15.5,168
15.583333333333334,162
15.666666666666666,164
15.75,165
15.833333333333334,162
15.916666666666666,167
16,166
16.083333333333332,164
16.166666666666668,166
16.25,168
16.333333333333332,166
16.416666666666668,165
16.5,166
16.583333333333332,170
16.666666666666668,168
16.75,169
16.833333333333332,169
16.916666666666668,171
17,172
17.083333333333332,170
17.166666666666668,167
17.25,169
17.333333333333332,170
17.416666666666668,168
17.5,171
17.583333333333332,168
17.666666666666668,167
17.75,166
17.833333333333332,168
17.916666666666668,171
18,171
18.083333333333332,168
18.166666666666668,172
18.25,171
18.333333333333332,174
18.416666666666668,171
18.5,167
18.583333333333332,171
18.666666666666668,170
18.75,173
18.833333333333332,171
18.916666666666668,170
19,167
19.083333333333332,175
19.166666666666668,170
19.25,175
19.333333333333332,168
19.416666666666668,168
19.5,169
19.583333333333332,175
19.666666666666668,175
19.75,172
19.833333333333332,172
19.916666666666668,170
20,171
20.083333333333332,173
20.166666666666668,169
20.25,175
20.333333333333332,178
20.416666666666668,175
20.5,173
20.583333333333332,174
20.666666666666668,177
20.75,174
20.833333333333332,173
20.916666666666668,174
21,176
21.083333333333332,179
21.166666666666668,177
21.25,176
21.333333333333332,177
21.416666666666668,174
21.5,176
21.583333333333332,178
21.666666666666668,175
21.75,177
21.833333333333332,174
21.916666666666668,179
22,177
22.083333333333332,179
22.166666666666668,180
22.25,175
22.333333333333332,174
22.416666666666668,175
22.5,179
22.583333333333332,178
22.666666666666668,181
22.75,181
22.833333333333332,181
22.916666666666668,180
23,182
23.083333333333332,183
23.166666666666668,184
23.25,181
23.333333333333332,180
23.416666666666668,183
23.5,185
23.583333333333332,187
23.666666666666668,187
23.75,190
23.833333333333332,187
23.916666666666668,185
24,184
24.083333333333332,190
24.166666666666668,189
24.25,190
24.333333333333332,187
24.416666666666668,187
24.5,190
24.583333333333332,190
24.666666666666668,190
24.75,190
24.833333333333332,192
24.916666666666668,189
25,191
25.083333333333332,193
25.166666666666668,192
25.25,193
25.333333333333332,194
25.416666666666668,193
25.5,190
25.583333333333332,192
25.666666666666668,197
25.75,190
25.833333333333332,197
25.916666666666668,194
26,192
26.083333333333332,194
26.166666666666668,192
26.25,190
26.333333333333332,194
26.416666666666668,194
26.5,196
26.583333333333332,195
26.666666666666668,196
26.75,195
26.833333333333332,195
26.916666666666668,194
27,192
27.083333333333332,197
27.166666666666668,196
27.25,191
27.333333333333332,194
27.416666666666668,195
27.5,194
27.583333333333332,193
27.666666666666668,194
27.75,197
27.833333333333332,191
27.916666666666668,196
28,195
28.083333333333332,196
28.166666666666668,197
28.25,194
28.333333333333332,197
28.416666666666668,194
28.5,194
28.583333333333332,197
28.666666666666668,197
28.75,191
28.833333333333332,192
28.916666666666668,193
29,195
29.083333333333332,196
29.166666666666668,197
29.25,196
29.333333333333332,195
29.416666666666668,196
29.5,194
29.583333333333332,196
29.666666666666668,193
29.75,199
29.833333333333332,197
29.916666666666668,198
30,197
30.083333333333332,195
30.166666666666668,195
30.25,195
30.333333333333332,198
30.416666666666668,199
30.5,197
30.583333333333332,196
30.666666666666668,197
30.75,196
30.833333333333332,197
30.916666666666668,196
31,200
31.083333333333332,196
31.166666666666668,194
31.25,198
31.333333333333332,197
31.416666666666668,194
31.5,193
31.583333333333332,199
31.666666666666668,195
31.75,196
31.833333333333332,199
31.916666666666668,195
32,200
32.083333333333336,200
32.166666666666664,196
32.25,199
32.333333333333336,198
32.416666666666664,196
32.5,193
32.583333333333336,196
32.666666666666664,193
32.75,198
32.833333333333336,198
32.916666666666664,196
33,197
33.083333333333336,193
33.166666666666664,197
33.25,199
33.333333333333336,196
33.416666666666664,198
33.5,197
33.583333333333336,195
33.666666666666664,195
33.75,197
33.833333333333336,195
33.916666666666664,198
34,193
34.083333333333336,201
34.166666666666664,200
34.25,197
34.333333333333336,198
34.416666666666664,200
34.5,196
34.583333333333336,195
34.666666666666664,198
34.75,195
34.833333333333336,195
34.916666666666664,196
35,195
35.083333333333336,199
35.166666666666664,200
35.25,197
35.333333333333336,193
35.416666666666664,199
35.5,198
35.583333333333336,199
35.666666666666664,197
35.75,194
35.833333333333336,199
35.916666666666664,197
36,197
36.083333333333336,199
36.166666666666664,198
36.25,193
36.333333333333336,196
36.416666666666664,197
36.5,200
36.583333333333336,198
36.666666666666664,197
36.75,195
36.833333333333336,195
36.916666666666664,196
37,197
37.083333333333336,200
37.166666666666664,198
37.25,200
37.333333333333336,201
37.416666666666664,198
37.5,194
37.583333333333336,197
37.666666666666664,198
37.75,197
37.833333333333336,198
37.916666666666664,197
38,196
38.083333333333336,198
38.166666666666664,193
38.25,200
38.333333333333336,196
38.416666666666664,197
38.5,195
38.583333333333336,197
38.666666666666664,194
38.75,197
38.833333333333336,196
38.916666666666664,194
39,196
