"Hours since thread went live","Meiji Gekken: 1874 - Episode 8 discussion"
39.166666666666664,45
39.25,45
39.333333333333336,47
39.416666666666664,46
39.5,43
39.583333333333336,44
39.666666666666664,43
39.75,45
39.833333333333336,48
39.916666666666664,41
40,43
40.083333333333336,44
40.166666666666664,48
40.25,49
40.333333333333336,43
40.416666666666664,47
40.5,45
40.583333333333336,44
40.666666666666664,43
40.75,42
40.833333333333336,46
40.916666666666664,45
41,47
41.083333333333336,45
41.166666666666664,49
41.25,48
41.333333333333336,46
41.416666666666664,46
41.5,46
41.583333333333336,47
41.666666666666664,47
41.75,47
41.833333333333336,48
41.916666666666664,44
42,42
42.083333333333336,45
42.166666666666664,46
42.25,45
42.333333333333336,43
42.416666666666664,48
42.5,43
42.583333333333336,47
42.666666666666664,42
42.75,43
42.833333333333336,49
42.916666666666664,43
43,47
43.083333333333336,47
43.166666666666664,46
43.25,49
43.333333333333336,48
43.416666666666664,43
43.5,45
43.583333333333336,45
43.666666666666664,45
43.75,45
43.833333333333336,41
43.916666666666664,48
44,43
44.083333333333336,44
44.166666666666664,45
44.25,47
44.333333333333336,49
44.416666666666664,46
44.5,45
44.583333333333336,45
44.666666666666664,48
44.75,44
44.833333333333336,45
44.916666666666664,44
45,44
45.083333333333336,47
45.166666666666664,45
45.25,46
45.333333333333336,45
45.416666666666664,42
45.5,42
45.583333333333336,45
45.666666666666664,44
45.75,46
45.833333333333336,45
45.916666666666664,43
46,41
46.083333333333336,45
46.166666666666664,44
46.25,45
46.333333333333336,45
46.416666666666664,45
46.5,46
46.583333333333336,44
46.666666666666664,47
46.75,42
46.833333333333336,45
46.916666666666664,44
47,46
47.083333333333336,47
47.166666666666664,46
47.25,46
47.333333333333336,45
47.416666666666664,46
47.5,46
47.583333333333336,45
47.666666666666664,46
47.75,46
47.833333333333336,46
47.916666666666664,47
