"Hours since thread went live","Jujutsu Kaisen Season 2 - Episode 6 discussion"
0,7
0,15
0.08333333333333333,39
0.16666666666666666,69
0.25,94
0.3333333333333333,127
0.4166666666666667,164
0.5,199
0.5833333333333334,259
0.6666666666666666,298
0.75,361
0.8333333333333334,406
0.9166666666666666,467
1,513
1.0833333333333333,563
1.1666666666666667,608
1.25,649
1.3333333333333333,686
1.4166666666666667,739
1.5,779
1.5833333333333333,802
1.6666666666666667,857
1.75,902
1.8333333333333333,951
1.9166666666666667,983
2,1023
2.0833333333333335,1063
2.1666666666666665,1101
2.25,1153
2.3333333333333335,1198
2.4166666666666665,1234
2.5,1274
2.5833333333333335,1305
2.6666666666666665,1340
2.75,1362
2.8333333333333335,1398
2.9166666666666665,1444
3,1487
3.0833333333333335,1516
3.1666666666666665,1554
3.25,1583
3.3333333333333335,1618
3.4166666666666665,1647
3.5,1668
3.5833333333333335,1696
3.6666666666666665,1728
3.75,1757
3.8333333333333335,1793
3.9166666666666665,1828
4,1854
4.083333333333333,1886
4.166666666666667,1911
4.25,1932
4.333333333333333,1947
4.416666666666667,1977
4.5,1998
4.583333333333333,2019
4.666666666666667,2040
4.75,2063
4.833333333333333,2094
4.916666666666667,2116
5,2144
5.083333333333333,2177
5.166666666666667,2195
5.25,2222
5.333333333333333,2239
5.416666666666667,2253
5.5,2274
5.583333333333333,2303
5.666666666666667,2315
5.75,2344
5.833333333333333,2361
5.916666666666667,2377
6,2404
6.083333333333333,2437
6.166666666666667,2454
6.25,2470
6.333333333333333,2480
6.416666666666667,2497
6.5,2525
6.583333333333333,2550
6.666666666666667,2560
6.75,2574
6.833333333333333,2587
6.916666666666667,2610
7,2623
7.083333333333333,2639
7.166666666666667,2657
7.25,2679
7.333333333333333,2678
7.416666666666667,2695
7.5,2715
7.583333333333333,2723
7.666666666666667,2742
7.75,2754
7.833333333333333,2765
7.916666666666667,2791
8,2810
8.083333333333334,2823
8.166666666666666,2835
8.25,2847
8.333333333333334,2867
8.416666666666666,2871
8.5,2893
8.583333333333334,2905
8.666666666666666,2933
8.75,2940
8.833333333333334,2956
8.916666666666666,2963
9,2975
9.083333333333334,2986
9.166666666666666,3008
9.25,3024
9.333333333333334,3042
9.416666666666666,3051
9.5,3066
9.583333333333334,3084
9.666666666666666,3095
9.75,3101
9.833333333333334,3124
9.916666666666666,3131
10,3148
10.083333333333334,3163
10.166666666666666,3176
10.25,3185
10.333333333333334,3204
10.416666666666666,3219
10.5,3236
10.583333333333334,3243
10.666666666666666,3253
10.75,3267
10.833333333333334,3261
10.916666666666666,3275
11,3290
11.083333333333334,3300
11.166666666666666,3313
11.25,3315
11.333333333333334,3330
11.416666666666666,3338
11.5,3345
11.583333333333334,3353
11.666666666666666,3366
11.75,3375
11.833333333333334,3391
11.916666666666666,3397
12,3399
12.083333333333334,3407
12.166666666666666,3428
12.25,3433
12.333333333333334,3437
12.416666666666666,3453
12.5,3467
12.583333333333334,3476
12.666666666666666,3486
12.75,3494
12.833333333333334,3500
12.916666666666666,3506
13,3507
13.083333333333334,3512
13.166666666666666,3520
13.25,3528
13.333333333333334,3532
13.416666666666666,3541
13.5,3554
13.583333333333334,3555
13.666666666666666,3557
13.75,3567
13.833333333333334,3575
13.916666666666666,3576
14,3596
14.083333333333334,3590
14.166666666666666,3603
14.25,3611
14.333333333333334,3616
14.416666666666666,3622
14.5,3626
14.583333333333334,3637
14.666666666666666,3644
14.75,3647
14.833333333333334,3649
14.916666666666666,3661
15,3663
15.083333333333334,3671
15.166666666666666,3680
15.25,3677
15.333333333333334,3680
15.416666666666666,3697
15.5,3699
15.583333333333334,3699
15.666666666666666,3710
15.75,3718
15.833333333333334,3723
15.916666666666666,3725
16,3734
16.083333333333332,3732
16.166666666666668,3746
16.25,3734
16.333333333333332,3750
16.416666666666668,3755
16.5,3760
16.583333333333332,3766
16.666666666666668,3767
16.75,3779
16.833333333333332,3781
16.916666666666668,3783
17,3792
17.083333333333332,3791
17.166666666666668,3798
17.25,3803
17.333333333333332,3809
17.416666666666668,3808
17.5,3814
17.583333333333332,3814
17.666666666666668,3822
17.75,3832
17.833333333333332,3843
17.916666666666668,3838
18,3843
18.083333333333332,3843
18.166666666666668,3857
18.25,3855
18.333333333333332,3861
18.416666666666668,3860
18.5,3866
18.583333333333332,3875
18.666666666666668,3873
18.75,3869
18.833333333333332,3880
18.916666666666668,3880
19,3887
19.083333333333332,3893
19.166666666666668,3895
19.25,3896
19.333333333333332,3904
19.416666666666668,3911
19.5,3914
19.583333333333332,3912
19.666666666666668,3920
19.75,3916
19.833333333333332,3932
19.916666666666668,3926
20,3935
20.083333333333332,3929
20.166666666666668,3939
20.25,3940
20.333333333333332,3943
20.416666666666668,3941
20.5,3953
20.583333333333332,3953
20.666666666666668,3955
20.75,3960
20.833333333333332,3967
20.916666666666668,3963
21,3974
21.083333333333332,3979
21.166666666666668,3980
21.25,3988
21.333333333333332,3990
21.416666666666668,4000
21.5,3998
21.583333333333332,4000
21.666666666666668,4003
21.75,4011
21.833333333333332,4010
21.916666666666668,4019
22,4019
22.083333333333332,4031
22.166666666666668,4028
22.25,4027
22.333333333333332,4028
22.416666666666668,4036
22.5,4039
22.583333333333332,4044
22.666666666666668,4042
22.75,4051
22.833333333333332,4058
22.916666666666668,4053
23,4067
23.083333333333332,4071
23.166666666666668,4072
23.25,4077
23.333333333333332,4087
23.416666666666668,4087
23.5,4089
23.583333333333332,4095
23.666666666666668,4101
23.75,4099
23.833333333333332,4102
23.916666666666668,4110
24,4109
24.083333333333332,4117
24.166666666666668,4119
24.25,4131
24.333333333333332,4127
24.416666666666668,4138
24.5,4137
24.583333333333332,4138
24.666666666666668,4138
24.75,4145
24.833333333333332,4148
24.916666666666668,4149
25,4146
25.083333333333332,4156
25.166666666666668,4160
25.25,4158
25.416666666666668,4167
25.5,4168
25.583333333333332,4173
25.666666666666668,4166
25.75,4178
25.833333333333332,4180
25.916666666666668,4173
26,4174
26.083333333333332,4186
26.166666666666668,4182
26.25,4183
26.333333333333332,4184
26.416666666666668,4183
26.5,4192
26.583333333333332,4197
26.666666666666668,4196
26.75,4201
26.833333333333332,4200
26.916666666666668,4208
27,4205
27.083333333333332,4210
27.166666666666668,4206
27.25,4216
27.333333333333332,4218
27.416666666666668,4216
27.5,4225
27.583333333333332,4226
27.666666666666668,4226
27.75,4228
27.833333333333332,4239
27.916666666666668,4232
28,4237
28.083333333333332,4229
28.166666666666668,4235
28.25,4234
28.333333333333332,4241
28.416666666666668,4249
28.5,4246
28.583333333333332,4248
28.666666666666668,4254
28.75,4250
28.833333333333332,4250
28.916666666666668,4250
29,4256
29.083333333333332,4251
29.166666666666668,4255
29.25,4266
29.333333333333332,4266
29.416666666666668,4263
29.5,4268
29.583333333333332,4268
29.666666666666668,4268
29.75,4272
29.833333333333332,4280
29.916666666666668,4266
30,4280
30.083333333333332,4275
30.166666666666668,4284
30.25,4277
30.333333333333332,4276
30.416666666666668,4281
30.5,4276
30.583333333333332,4282
30.666666666666668,4289
30.75,4287
30.833333333333332,4293
30.916666666666668,4294
31,4290
31.083333333333332,4299
31.166666666666668,4295
31.25,4295
31.333333333333332,4302
31.416666666666668,4298
31.5,4305
31.583333333333332,4300
31.666666666666668,4309
31.75,4308
31.833333333333332,4305
31.916666666666668,4314
32,4318
32.083333333333336,4312
32.166666666666664,4312
32.25,4317
32.333333333333336,4318
32.416666666666664,4319
32.5,4312
32.583333333333336,4322
32.666666666666664,4325
32.75,4327
32.833333333333336,4332
32.916666666666664,4334
33,4321
33.083333333333336,4328
33.166666666666664,4334
33.25,4331
33.333333333333336,4331
33.416666666666664,4329
33.5,4338
33.583333333333336,4336
33.666666666666664,4336
33.75,4338
33.833333333333336,4342
33.916666666666664,4336
34,4336
34.083333333333336,4344
34.166666666666664,4342
34.25,4345
34.333333333333336,4349
34.416666666666664,4348
34.5,4348
34.583333333333336,4350
34.666666666666664,4351
34.75,4353
34.833333333333336,4353
34.916666666666664,4360
35,4354
35.083333333333336,4356
35.166666666666664,4358
35.25,4356
35.333333333333336,4360
35.416666666666664,4361
35.5,4360
35.583333333333336,4362
35.666666666666664,4361
35.75,4362
35.833333333333336,4363
35.916666666666664,4366
36,4364
36.083333333333336,4366
36.166666666666664,4367
36.25,4367
36.333333333333336,4367
36.416666666666664,4374
36.5,4375
36.583333333333336,4372
36.666666666666664,4368
36.75,4370
36.833333333333336,4372
36.916666666666664,4378
37,4375
37.083333333333336,4377
37.166666666666664,4380
37.25,4378
37.333333333333336,4376
37.416666666666664,4374
37.5,4381
37.583333333333336,4377
37.666666666666664,4374
37.75,4379
37.833333333333336,4383
37.916666666666664,4378
38,4379
38.083333333333336,4387
38.166666666666664,4382
38.25,4377
38.333333333333336,4383
38.416666666666664,4394
38.5,4389
38.583333333333336,4384
38.666666666666664,4392
38.75,4398
38.833333333333336,4396
38.916666666666664,4398
39,4400
39.083333333333336,4399
39.166666666666664,4401
39.25,4402
39.333333333333336,4402
39.416666666666664,4409
39.5,4410
39.583333333333336,4407
39.666666666666664,4402
39.75,4403
39.833333333333336,4409
39.916666666666664,4406
40,4408
40.083333333333336,4406
40.166666666666664,4414
40.25,4416
40.333333333333336,4414
40.416666666666664,4415
40.5,4413
40.583333333333336,4417
40.666666666666664,4425
40.75,4417
40.833333333333336,4421
40.916666666666664,4419
41,4421
41.083333333333336,4427
41.166666666666664,4429
41.25,4425
41.333333333333336,4428
41.416666666666664,4425
41.5,4424
41.583333333333336,4427
41.666666666666664,4427
41.75,4431
41.833333333333336,4430
41.916666666666664,4434
42,4438
42.083333333333336,4431
42.166666666666664,4434
42.25,4430
42.333333333333336,4436
42.416666666666664,4436
42.5,4433
42.583333333333336,4441
42.666666666666664,4439
42.75,4436
42.833333333333336,4440
42.916666666666664,4435
43,4432
43.083333333333336,4441
43.166666666666664,4438
43.25,4447
43.333333333333336,4448
43.416666666666664,4447
43.5,4443
43.583333333333336,4450
43.666666666666664,4444
43.75,4446
43.833333333333336,4442
43.916666666666664,4450
44,4446
44.083333333333336,4448
44.166666666666664,4456
44.25,4453
44.333333333333336,4452
44.416666666666664,4450
44.5,4460
44.583333333333336,4449
44.666666666666664,4455
44.75,4463
44.833333333333336,4459
44.916666666666664,4457
45,4464
45.083333333333336,4454
45.166666666666664,4452
45.25,4456
45.333333333333336,4461
45.416666666666664,4459
45.5,4463
45.583333333333336,4464
45.666666666666664,4472
45.75,4464
45.833333333333336,4476
45.916666666666664,4474
46,4476
46.083333333333336,4472
46.166666666666664,4475
46.25,4482
46.333333333333336,4479
46.416666666666664,4482
46.5,4475
46.583333333333336,4473
46.666666666666664,4479
46.75,4479
46.833333333333336,4485
46.916666666666664,4479
47,4477
47.083333333333336,4486
47.166666666666664,4480
47.25,4479
47.333333333333336,4488
47.416666666666664,4489
47.5,4480
47.583333333333336,4483
47.666666666666664,4477
47.75,4487
47.833333333333336,4486
47.916666666666664,4491
