"Hours since thread went live","Kyuujitsu no Warumono-san • Mr. Villain's Day Off - Episode 11 discussion"
0,0
0,0
0.08333333333333333,1
0.16666666666666666,1
0.25,2
0.3333333333333333,2
0.4166666666666667,2
0.5,2
0.5833333333333334,6
0.6666666666666666,7
0.75,11
0.8333333333333334,11
0.9166666666666666,14
1,13
1.0833333333333333,15
1.1666666666666667,16
1.25,18
1.3333333333333333,19
1.4166666666666667,20
1.5,25
1.5833333333333333,25
1.6666666666666667,26
1.75,30
1.8333333333333333,30
1.9166666666666667,33
2,32
2.0833333333333335,32
2.1666666666666665,36
2.25,34
2.3333333333333335,32
2.4166666666666665,36
2.5,36
2.5833333333333335,39
2.6666666666666665,35
2.75,41
2.8333333333333335,40
2.9166666666666665,41
3,43
3.0833333333333335,44
3.1666666666666665,43
3.25,48
3.3333333333333335,50
3.4166666666666665,46
3.5,48
3.5833333333333335,52
3.6666666666666665,51
3.75,51
3.8333333333333335,51
3.9166666666666665,54
4,52
4.083333333333333,56
4.166666666666667,55
4.25,61
4.333333333333333,55
4.416666666666667,54
4.5,55
4.583333333333333,56
4.666666666666667,56
4.75,56
4.833333333333333,59
4.916666666666667,53
5,57
5.083333333333333,57
5.166666666666667,57
5.25,56
5.333333333333333,60
5.416666666666667,62
5.5,56
5.583333333333333,56
5.666666666666667,56
5.75,58
5.833333333333333,59
5.916666666666667,59
6,57
6.083333333333333,61
6.166666666666667,57
6.25,62
6.333333333333333,58
6.416666666666667,63
6.5,63
6.583333333333333,59
6.666666666666667,67
6.75,64
6.833333333333333,67
6.916666666666667,65
7,70
7.083333333333333,69
7.166666666666667,70
7.25,71
7.333333333333333,67
7.416666666666667,70
7.5,71
7.583333333333333,76
7.666666666666667,71
7.75,73
7.833333333333333,75
7.916666666666667,76
8,74
8.083333333333334,72
8.166666666666666,76
8.25,72
8.333333333333334,76
8.416666666666666,72
8.5,74
8.583333333333334,75
8.666666666666666,79
8.75,76
8.833333333333334,80
8.916666666666666,83
9,84
9.083333333333334,84
9.166666666666666,84
9.25,82
9.333333333333334,86
9.416666666666666,82
9.5,86
9.583333333333334,84
9.666666666666666,87
9.75,86
9.833333333333334,84
9.916666666666666,89
10,91
10.083333333333334,89
10.166666666666666,90
10.25,86
10.333333333333334,89
10.416666666666666,89
10.5,89
10.583333333333334,90
10.666666666666666,85
10.75,87
10.833333333333334,85
10.916666666666666,88
11,89
11.083333333333334,90
11.166666666666666,89
11.25,91
11.333333333333334,89
11.416666666666666,89
11.5,91
11.583333333333334,91
11.666666666666666,95
11.75,92
11.833333333333334,94
11.916666666666666,91
12,95
12.083333333333334,90
12.166666666666666,89
12.25,88
12.333333333333334,93
