"Hours since thread went live","Kaijuu 8-gou • Kaiju No. 8 - Episode 6 discussion"
21.583333333333332,1789
21.666666666666668,1792
21.75,1790
21.833333333333332,1792
21.916666666666668,1792
22,1794
22.083333333333332,1792
22.166666666666668,1796
22.25,1794
22.333333333333332,1801
22.416666666666668,1801
22.5,1801
22.583333333333332,1798
22.666666666666668,1803
22.75,1805
22.833333333333332,1802
22.916666666666668,1806
23,1807
23.083333333333332,1808
23.166666666666668,1806
23.25,1819
23.333333333333332,1817
23.416666666666668,1814
23.5,1820
23.583333333333332,1821
23.666666666666668,1822
23.75,1821
23.833333333333332,1826
23.916666666666668,1830
24,1833
24.083333333333332,1826
24.166666666666668,1833
24.25,1825
24.333333333333332,1830
24.416666666666668,1834
24.5,1837
24.583333333333332,1832
24.666666666666668,1835
24.75,1842
24.833333333333332,1834
24.916666666666668,1837
25,1844
25.083333333333332,1845
25.166666666666668,1839
25.25,1840
25.333333333333332,1844
25.416666666666668,1848
25.5,1849
25.583333333333332,1849
25.666666666666668,1853
25.75,1851
25.833333333333332,1848
25.916666666666668,1857
26,1853
26.083333333333332,1854
26.166666666666668,1861
26.25,1858
26.333333333333332,1863
26.416666666666668,1855
26.5,1863
26.583333333333332,1865
26.666666666666668,1869
26.75,1867
26.833333333333332,1865
26.916666666666668,1871
27,1865
27.083333333333332,1868
27.166666666666668,1871
27.25,1875
27.333333333333332,1878
27.416666666666668,1873
27.5,1874
27.583333333333332,1871
27.666666666666668,1874
27.75,1876
27.833333333333332,1878
27.916666666666668,1878
28,1885
28.083333333333332,1883
28.166666666666668,1884
28.25,1885
28.333333333333332,1889
28.416666666666668,1886
28.5,1890
28.583333333333332,1892
28.666666666666668,1894
28.75,1895
28.833333333333332,1894
28.916666666666668,1894
29,1896
29.083333333333332,1900
29.166666666666668,1897
29.25,1902
29.333333333333332,1901
29.416666666666668,1905
29.5,1903
29.583333333333332,1909
29.666666666666668,1909
29.75,1905
29.833333333333332,1905
29.916666666666668,1911
30,1910
30.083333333333332,1909
30.166666666666668,1912
30.25,1912
30.333333333333332,1912
30.416666666666668,1909
30.5,1912
30.583333333333332,1918
30.666666666666668,1912
30.75,1911
30.833333333333332,1916
30.916666666666668,1912
31,1914
31.083333333333332,1919
31.166666666666668,1916
31.25,1913
31.333333333333332,1914
31.416666666666668,1917
31.5,1915
31.583333333333332,1919
31.666666666666668,1919
31.75,1918
31.833333333333332,1922
31.916666666666668,1920
32,1919
32.083333333333336,1918
32.166666666666664,1920
32.25,1919
32.333333333333336,1921
32.416666666666664,1924
32.5,1917
32.583333333333336,1923
32.666666666666664,1930
32.75,1931
32.833333333333336,1932
32.916666666666664,1930
33,1923
33.083333333333336,1934
33.166666666666664,1934
33.25,1932
33.333333333333336,1928
33.416666666666664,1931
33.5,1933
33.583333333333336,1935
33.666666666666664,1930
33.75,1935
33.833333333333336,1940
33.916666666666664,1937
34,1930
34.083333333333336,1940
34.166666666666664,1939
34.25,1934
34.333333333333336,1945
34.416666666666664,1938
34.5,1935
34.583333333333336,1941
34.666666666666664,1936
34.75,1935
34.833333333333336,1941
34.916666666666664,1940
35,1945
35.083333333333336,1945
35.166666666666664,1946
35.25,1943
35.333333333333336,1948
35.416666666666664,1944
35.5,1953
35.583333333333336,1947
35.666666666666664,1947
35.75,1946
35.833333333333336,1949
35.916666666666664,1953
36,1957
36.083333333333336,1955
36.166666666666664,1960
36.25,1957
36.333333333333336,1955
36.416666666666664,1957
36.5,1960
36.583333333333336,1957
36.666666666666664,1959
36.75,1962
36.833333333333336,1964
36.916666666666664,1959
37,1961
37.083333333333336,1966
37.166666666666664,1959
37.25,1967
37.333333333333336,1960
37.416666666666664,1962
37.5,1962
37.583333333333336,1966
37.666666666666664,1970
37.75,1972
37.833333333333336,1965
37.916666666666664,1972
38,1974
38.083333333333336,1969
38.166666666666664,1977
38.25,1976
38.333333333333336,1970
38.416666666666664,1977
38.5,1976
38.583333333333336,1978
38.666666666666664,1969
38.75,1974
38.833333333333336,1977
38.916666666666664,1980
39,1979
39.083333333333336,1973
39.166666666666664,1970
39.25,1977
39.333333333333336,1973
39.416666666666664,1981
39.5,1972
39.583333333333336,1980
39.666666666666664,1978
39.75,1977
39.833333333333336,1982
39.916666666666664,1975
40,1981
40.083333333333336,1977
40.166666666666664,1982
40.25,1978
40.333333333333336,1985
40.416666666666664,1984
40.5,1981
40.583333333333336,1981
40.666666666666664,1986
40.75,1980
40.833333333333336,1987
40.916666666666664,1978
41,1980
41.083333333333336,1977
41.166666666666664,1981
41.25,1985
41.333333333333336,1985
41.416666666666664,1980
41.5,1987
41.583333333333336,1990
41.666666666666664,1984
41.75,1984
41.833333333333336,1987
41.916666666666664,1984
42,1984
42.083333333333336,1986
42.166666666666664,1983
42.25,1984
42.333333333333336,1985
42.416666666666664,1989
42.5,1983
42.583333333333336,1983
42.666666666666664,1986
42.75,1984
42.833333333333336,1989
42.916666666666664,1983
43,1988
43.083333333333336,1989
43.166666666666664,1984
43.25,1986
43.333333333333336,1983
43.416666666666664,1987
43.5,1986
43.583333333333336,1988
43.666666666666664,1987
43.75,1990
43.833333333333336,1989
43.916666666666664,1987
44,1988
44.083333333333336,1987
44.166666666666664,1982
44.25,1986
44.333333333333336,1988
44.416666666666664,1984
44.5,1993
44.583333333333336,1989
44.666666666666664,1988
44.75,1986
44.833333333333336,1983
44.916666666666664,1987
45,1988
45.083333333333336,1986
45.166666666666664,1984
45.25,1989
45.333333333333336,1984
45.416666666666664,1984
45.5,1985
45.583333333333336,1986
45.666666666666664,1986
45.75,1988
45.833333333333336,1989
45.916666666666664,1989
46,1986
46.083333333333336,1986
46.166666666666664,1995
46.25,1984
46.333333333333336,1991
46.416666666666664,1991
46.5,1989
46.583333333333336,1990
46.666666666666664,1987
46.75,1994
46.833333333333336,1993
46.916666666666664,1986
47,1994
47.083333333333336,1991
47.166666666666664,1993
47.25,1990
47.333333333333336,1995
47.416666666666664,1991
47.5,1993
47.583333333333336,1989
47.666666666666664,1990
47.75,1989
47.833333333333336,1990
47.916666666666664,1991
