"Hours since thread went live","Shangri-La Frontier - Episode 22 discussion"
32,1162
32.083333333333336,1165
32.166666666666664,1168
32.25,1164
32.333333333333336,1162
32.416666666666664,1165
32.5,1163
32.583333333333336,1163
32.666666666666664,1164
32.75,1168
32.833333333333336,1162
32.916666666666664,1164
33,1161
33.083333333333336,1164
33.166666666666664,1170
33.25,1166
33.333333333333336,1164
33.416666666666664,1172
33.5,1168
33.583333333333336,1171
33.666666666666664,1169
33.75,1171
33.833333333333336,1173
33.916666666666664,1166
34,1172
34.083333333333336,1172
34.166666666666664,1172
34.25,1179
34.333333333333336,1172
34.416666666666664,1171
34.5,1178
34.583333333333336,1172
34.666666666666664,1171
34.75,1170
34.833333333333336,1170
34.916666666666664,1174
35,1170
35.083333333333336,1174
35.166666666666664,1174
35.25,1172
35.333333333333336,1171
35.416666666666664,1177
35.5,1178
35.583333333333336,1177
35.666666666666664,1177
35.75,1182
35.833333333333336,1175
35.916666666666664,1180
36,1177
36.083333333333336,1183
36.166666666666664,1180
36.25,1181
36.333333333333336,1176
36.416666666666664,1180
36.5,1178
36.583333333333336,1183
36.666666666666664,1184
36.75,1183
36.833333333333336,1187
36.916666666666664,1182
37,1179
37.083333333333336,1186
37.166666666666664,1189
37.25,1185
37.333333333333336,1182
37.416666666666664,1180
37.5,1187
37.583333333333336,1182
37.666666666666664,1180
37.75,1185
37.833333333333336,1183
37.916666666666664,1183
38,1181
38.083333333333336,1182
38.166666666666664,1179
38.25,1184
38.333333333333336,1181
38.416666666666664,1183
38.5,1183
38.583333333333336,1189
38.666666666666664,1183
38.75,1184
38.833333333333336,1187
38.916666666666664,1182
39,1187
39.083333333333336,1183
39.166666666666664,1184
39.25,1186
39.333333333333336,1182
39.416666666666664,1190
39.5,1188
39.583333333333336,1187
39.666666666666664,1186
39.75,1178
39.833333333333336,1184
39.916666666666664,1186
40,1181
40.083333333333336,1180
40.166666666666664,1180
40.25,1185
40.333333333333336,1189
40.416666666666664,1186
40.5,1186
40.583333333333336,1187
40.666666666666664,1186
40.75,1184
40.833333333333336,1186
40.916666666666664,1187
41,1187
41.083333333333336,1192
41.166666666666664,1191
41.25,1197
41.333333333333336,1194
41.416666666666664,1189
41.5,1193
41.583333333333336,1190
41.666666666666664,1193
41.75,1197
41.833333333333336,1189
41.916666666666664,1194
42,1192
42.083333333333336,1193
42.166666666666664,1193
42.25,1191
42.333333333333336,1195
42.416666666666664,1197
42.5,1191
42.583333333333336,1187
42.666666666666664,1191
42.75,1190
42.833333333333336,1189
42.916666666666664,1197
43,1200
43.083333333333336,1192
43.166666666666664,1194
43.25,1193
43.333333333333336,1194
43.416666666666664,1199
43.5,1199
43.583333333333336,1195
43.666666666666664,1191
43.75,1196
43.833333333333336,1193
43.916666666666664,1200
44,1201
44.083333333333336,1195
44.166666666666664,1193
44.25,1201
44.333333333333336,1198
44.416666666666664,1194
44.5,1197
44.583333333333336,1197
44.666666666666664,1193
44.75,1194
44.833333333333336,1198
44.916666666666664,1197
45,1197
45.083333333333336,1196
45.166666666666664,1198
45.25,1202
45.333333333333336,1203
45.416666666666664,1199
45.5,1203
45.583333333333336,1204
45.666666666666664,1196
45.75,1198
45.833333333333336,1203
45.916666666666664,1198
46,1196
46.083333333333336,1203
46.166666666666664,1205
46.25,1205
46.333333333333336,1203
46.416666666666664,1202
46.5,1202
46.583333333333336,1201
46.666666666666664,1209
46.75,1198
46.833333333333336,1203
46.916666666666664,1203
47,1202
47.083333333333336,1206
47.166666666666664,1205
47.25,1209
47.333333333333336,1204
47.416666666666664,1200
47.5,1204
47.583333333333336,1200
47.666666666666664,1202
47.75,1207
47.833333333333336,1200
47.916666666666664,1206
