"Hours since thread went live","Sasaki to Pii-chan • Sasaki and Peeps - Episode 8 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,2
0.25,4
0.3333333333333333,8
0.4166666666666667,11
0.5,11
0.5833333333333334,13
0.6666666666666666,16
0.75,17
0.8333333333333334,18
0.9166666666666666,19
1,22
1.0833333333333333,23
1.1666666666666667,28
1.25,30
1.3333333333333333,31
1.4166666666666667,34
1.5,39
1.5833333333333333,42
1.6666666666666667,42
1.75,46
1.8333333333333333,50
1.9166666666666667,54
2,56
2.0833333333333335,62
2.1666666666666665,62
2.25,70
2.3333333333333335,71
2.4166666666666665,72
2.5,72
2.5833333333333335,75
2.6666666666666665,77
2.75,80
2.8333333333333335,80
2.9166666666666665,83
3,84
3.0833333333333335,87
3.1666666666666665,95
3.25,94
3.3333333333333335,93
3.4166666666666665,95
3.5,98
3.5833333333333335,98
3.6666666666666665,103
3.75,108
3.8333333333333335,113
3.9166666666666665,114
4,114
4.083333333333333,118
4.166666666666667,120
4.25,119
4.333333333333333,123
4.416666666666667,126
4.5,126
4.583333333333333,129
4.666666666666667,124
4.75,131
4.833333333333333,130
4.916666666666667,132
5,135
5.083333333333333,140
5.166666666666667,137
5.25,144
5.333333333333333,143
5.416666666666667,144
5.5,148
5.583333333333333,148
5.666666666666667,146
5.75,151
5.833333333333333,147
5.916666666666667,147
6,148
6.083333333333333,152
6.166666666666667,152
6.25,151
6.333333333333333,155
6.416666666666667,155
6.5,157
6.583333333333333,157
6.666666666666667,158
6.75,161
6.833333333333333,162
6.916666666666667,161
7,165
7.083333333333333,165
7.166666666666667,169
7.25,172
7.333333333333333,170
7.416666666666667,173
7.5,176
7.583333333333333,174
7.666666666666667,174
7.75,171
7.833333333333333,178
7.916666666666667,181
8,183
8.083333333333334,187
8.166666666666666,187
8.25,190
8.333333333333334,188
8.416666666666666,187
8.5,190
8.583333333333334,191
8.666666666666666,189
8.75,193
8.833333333333334,189
8.916666666666666,193
9,198
9.083333333333334,194
9.166666666666666,200
9.25,199
9.333333333333334,203
9.416666666666666,198
9.5,207
9.583333333333334,202
9.666666666666666,207
9.75,206
9.833333333333334,206
9.916666666666666,209
10,211
10.083333333333334,212
10.166666666666666,217
10.25,212
10.333333333333334,212
10.416666666666666,210
10.5,215
10.583333333333334,213
10.666666666666666,214
10.75,216
10.833333333333334,215
10.916666666666666,215
11,215
11.083333333333334,218
11.166666666666666,219
11.333333333333334,217
11.416666666666666,224
11.5,221
11.583333333333334,218
11.666666666666666,222
11.75,227
11.833333333333334,224
11.916666666666666,226
12,228
12.083333333333334,226
12.166666666666666,233
12.25,233
12.333333333333334,236
12.416666666666666,232
12.5,231
12.583333333333334,236
12.666666666666666,236
12.75,237
12.833333333333334,237
12.916666666666666,240
13,238
13.083333333333334,245
13.166666666666666,245
13.25,245
13.333333333333334,243
13.416666666666666,247
13.5,246
13.583333333333334,247
13.666666666666666,251
13.75,249
13.833333333333334,250
13.916666666666666,251
14,250
14.083333333333334,252
14.166666666666666,251
14.25,255
14.333333333333334,259
14.416666666666666,253
14.5,255
14.583333333333334,256
14.666666666666666,255
14.75,259
14.833333333333334,258
14.916666666666666,262
15,265
15.083333333333334,264
15.166666666666666,262
15.25,261
15.333333333333334,262
15.416666666666666,265
15.5,263
15.583333333333334,269
15.666666666666666,265
15.75,263
15.833333333333334,267
15.916666666666666,266
16,267
16.083333333333332,266
16.166666666666668,267
16.25,271
16.333333333333332,272
16.416666666666668,272
16.5,271
16.583333333333332,273
16.666666666666668,274
16.75,271
16.833333333333332,271
16.916666666666668,271
17,278
17.083333333333332,278
17.166666666666668,273
17.25,274
17.333333333333332,274
17.416666666666668,277
17.5,281
17.583333333333332,278
17.666666666666668,277
17.75,278
17.833333333333332,277
17.916666666666668,282
18,286
18.083333333333332,282
18.166666666666668,278
18.25,286
18.333333333333332,284
18.416666666666668,283
18.5,279
18.583333333333332,285
18.666666666666668,285
18.75,284
18.833333333333332,281
18.916666666666668,281
19,287
19.083333333333332,280
19.166666666666668,283
19.25,285
19.333333333333332,289
19.416666666666668,282
19.5,286
19.583333333333332,287
19.666666666666668,286
19.75,287
19.833333333333332,289
19.916666666666668,288
20,288
20.083333333333332,289
20.166666666666668,289
20.25,286
20.333333333333332,292
20.416666666666668,290
20.5,289
20.583333333333332,286
20.666666666666668,293
20.75,290
20.833333333333332,288
20.916666666666668,288
21,290
21.083333333333332,286
21.166666666666668,290
21.25,290
21.333333333333332,292
21.416666666666668,295
21.5,292
21.583333333333332,291
21.666666666666668,292
21.75,295
21.833333333333332,295
21.916666666666668,295
22,290
22.083333333333332,289
22.166666666666668,293
22.25,290
22.333333333333332,291
22.416666666666668,295
22.5,299
22.583333333333332,296
22.666666666666668,298
22.75,296
22.833333333333332,296
22.916666666666668,297
23,299
23.083333333333332,297
23.166666666666668,298
23.25,301
23.333333333333332,295
23.416666666666668,300
23.5,296
23.583333333333332,300
23.666666666666668,301
23.75,296
23.833333333333332,299
23.916666666666668,300
24,296
24.083333333333332,300
24.166666666666668,296
24.25,298
24.333333333333332,297
24.416666666666668,295
24.5,300
24.583333333333332,303
24.666666666666668,300
24.75,300
24.833333333333332,303
24.916666666666668,300
25,299
25.083333333333332,300
25.166666666666668,299
25.25,301
25.333333333333332,296
25.416666666666668,299
25.5,302
25.583333333333332,301
25.666666666666668,297
25.75,302
25.833333333333332,301
25.916666666666668,297
26,301
26.083333333333332,299
26.166666666666668,300
26.25,300
26.333333333333332,298
26.416666666666668,300
26.5,304
26.583333333333332,304
26.666666666666668,305
26.75,303
26.833333333333332,303
26.916666666666668,305
27,305
27.083333333333332,305
27.166666666666668,302
27.25,306
27.333333333333332,304
27.416666666666668,305
27.5,307
27.583333333333332,302
27.666666666666668,307
27.75,306
27.833333333333332,308
27.916666666666668,306
28,307
28.083333333333332,310
28.166666666666668,307
28.25,305
28.333333333333332,305
28.416666666666668,304
28.5,308
28.583333333333332,311
28.666666666666668,308
28.75,306
28.833333333333332,311
28.916666666666668,306
29,307
29.083333333333332,307
29.166666666666668,310
29.25,307
29.333333333333332,306
29.416666666666668,309
29.5,310
29.583333333333332,309
29.666666666666668,309
29.75,309
29.833333333333332,307
29.916666666666668,312
30,311
30.083333333333332,310
30.166666666666668,309
30.25,313
30.333333333333332,311
30.416666666666668,313
30.5,311
30.583333333333332,312
30.666666666666668,312
30.75,310
30.833333333333332,307
30.916666666666668,312
31,310
31.083333333333332,314
31.166666666666668,312
31.25,310
31.333333333333332,308
31.416666666666668,310
31.5,314
31.583333333333332,315
31.666666666666668,309
31.75,309
31.833333333333332,314
31.916666666666668,313
32,316
32.083333333333336,310
32.166666666666664,311
32.25,310
32.333333333333336,313
32.416666666666664,314
32.5,311
32.583333333333336,313
32.666666666666664,311
32.75,314
32.833333333333336,314
32.916666666666664,313
33,316
33.083333333333336,315
33.166666666666664,317
33.25,313
33.333333333333336,311
33.416666666666664,311
33.5,310
33.583333333333336,312
33.666666666666664,314
33.75,317
33.833333333333336,313
33.916666666666664,311
34,314
34.083333333333336,315
34.166666666666664,314
34.25,314
34.333333333333336,316
34.416666666666664,312
34.5,315
34.583333333333336,315
34.666666666666664,312
34.75,312
34.833333333333336,314
34.916666666666664,312
35,313
35.083333333333336,313
35.166666666666664,313
35.25,317
35.333333333333336,312
35.416666666666664,314
35.5,316
