"Hours since thread went live","Majo to Yajuu • The Witch and the Beast - Episode 8 discussion"
39.083333333333336,316
39.166666666666664,315
39.25,320
39.333333333333336,316
39.416666666666664,317
39.5,316
39.583333333333336,320
39.666666666666664,317
39.75,315
39.833333333333336,314
39.916666666666664,321
40,316
40.083333333333336,320
40.166666666666664,314
40.25,322
40.333333333333336,317
40.416666666666664,324
40.5,323
40.583333333333336,313
40.666666666666664,319
40.75,319
40.833333333333336,318
40.916666666666664,317
41,321
41.083333333333336,317
41.166666666666664,317
41.25,315
41.333333333333336,319
41.416666666666664,319
41.5,320
41.583333333333336,320
41.666666666666664,323
41.75,321
41.833333333333336,315
41.916666666666664,323
42,322
42.083333333333336,321
42.166666666666664,315
42.25,325
42.333333333333336,325
42.416666666666664,315
42.5,316
42.583333333333336,318
42.666666666666664,322
42.75,314
42.833333333333336,320
42.916666666666664,315
43,318
43.083333333333336,318
43.166666666666664,323
43.25,318
43.333333333333336,321
43.416666666666664,322
43.5,318
43.583333333333336,319
43.666666666666664,317
43.75,322
43.833333333333336,324
43.916666666666664,318
44,318
44.083333333333336,319
44.166666666666664,321
44.25,320
44.333333333333336,322
44.416666666666664,321
44.5,319
44.583333333333336,320
44.666666666666664,317
44.75,326
44.833333333333336,316
44.916666666666664,316
45,319
45.083333333333336,319
45.166666666666664,316
45.25,321
45.333333333333336,317
45.416666666666664,325
45.5,321
45.583333333333336,322
45.666666666666664,324
45.75,320
45.833333333333336,326
45.916666666666664,324
46,315
46.083333333333336,319
46.166666666666664,327
46.25,321
46.333333333333336,324
46.416666666666664,318
46.5,320
46.583333333333336,321
46.666666666666664,323
46.75,323
46.833333333333336,322
46.916666666666664,322
47,318
47.083333333333336,318
47.166666666666664,326
47.25,324
47.333333333333336,320
47.416666666666664,327
47.5,326
47.583333333333336,319
47.666666666666664,326
47.75,324
47.833333333333336,323
47.916666666666664,319
