"Hours since thread went live","Shingeki no Kyojin: The Final Season - Episode 74 discussion"
21.166666666666668,15292
21.25,15291
21.333333333333332,15296
21.416666666666668,15307
21.5,15314
21.583333333333332,15321
21.666666666666668,15327
21.75,15328
21.833333333333332,15339
21.916666666666668,15340
22,15351
22.083333333333332,15354
22.166666666666668,15364
22.25,15370
22.333333333333332,15375
22.416666666666668,15382
22.5,15384
22.583333333333332,15403
22.666666666666668,15409
22.75,15417
22.833333333333332,15421
22.916666666666668,15432
23,15449
23.083333333333332,15445
23.166666666666668,15462
23.25,15470
23.333333333333332,15470
23.416666666666668,15485
23.5,15494
23.583333333333332,15498
23.666666666666668,15512
23.75,15514
23.833333333333332,15530
23.916666666666668,15536
24,15545
24.083333333333332,15553
24.166666666666668,15557
24.25,15568
24.333333333333332,15574
24.416666666666668,15576
24.5,15592
24.583333333333332,15598
24.666666666666668,15613
24.75,15612
24.833333333333332,15625
24.916666666666668,15633
25,15642
25.083333333333332,15646
25.166666666666668,15657
25.25,15663
25.333333333333332,15665
25.416666666666668,15664
25.5,15669
25.583333333333332,15676
25.666666666666668,15682
25.75,15691
25.833333333333332,15696
25.916666666666668,15697
26,15707
26.083333333333332,15707
26.166666666666668,15717
26.25,15730
26.333333333333332,15727
26.416666666666668,15726
26.5,15731
26.583333333333332,15737
26.666666666666668,15743
26.75,15745
26.833333333333332,15755
26.916666666666668,15758
27,15766
27.083333333333332,15764
27.166666666666668,15778
27.25,15779
27.333333333333332,15778
27.416666666666668,15781
27.5,15789
27.583333333333332,15794
27.666666666666668,15799
27.75,15806
27.833333333333332,15810
27.916666666666668,15822
28,15822
28.083333333333332,15826
28.166666666666668,15832
28.25,15838
28.333333333333332,15835
28.416666666666668,15847
28.5,15846
28.583333333333332,15855
28.666666666666668,15855
28.75,15865
28.833333333333332,15866
28.916666666666668,15880
29,15881
29.083333333333332,15883
29.166666666666668,15882
29.25,15883
29.333333333333332,15893
29.416666666666668,15896
29.5,15895
29.583333333333332,15900
29.666666666666668,15909
29.75,15914
29.833333333333332,15903
29.916666666666668,15914
30,15915
30.083333333333332,15923
30.166666666666668,15927
30.25,15939
30.333333333333332,15932
30.416666666666668,15944
30.5,15946
30.583333333333332,15958
30.666666666666668,15962
30.75,15959
30.833333333333332,15966
30.916666666666668,15963
31,15969
31.083333333333332,15973
31.166666666666668,15981
31.25,15983
31.333333333333332,15980
31.416666666666668,15989
31.5,15989
31.583333333333332,15990
31.666666666666668,15989
31.75,16004
31.833333333333332,16002
31.916666666666668,16006
32,16015
32.083333333333336,16012
32.166666666666664,16016
32.25,16025
32.333333333333336,16018
32.416666666666664,16027
32.5,16023
32.583333333333336,16036
32.666666666666664,16039
32.75,16044
32.833333333333336,16045
32.916666666666664,16049
33,16050
33.083333333333336,16052
33.166666666666664,16058
33.25,16065
33.333333333333336,16061
33.416666666666664,16062
33.5,16066
33.583333333333336,16068
33.666666666666664,16071
33.75,16077
33.833333333333336,16076
33.916666666666664,16076
34,16082
34.083333333333336,16085
34.166666666666664,16083
34.25,16096
34.333333333333336,16090
34.416666666666664,16093
34.5,16098
34.583333333333336,16098
34.666666666666664,16105
34.75,16106
34.833333333333336,16103
34.916666666666664,16106
35,16108
35.083333333333336,16111
35.166666666666664,16117
35.25,16114
35.333333333333336,16112
35.416666666666664,16116
35.5,16123
35.583333333333336,16124
35.666666666666664,16124
35.75,16124
35.833333333333336,16130
35.916666666666664,16125
36,16133
36.083333333333336,16136
36.166666666666664,16148
36.25,16145
36.333333333333336,16149
36.416666666666664,16152
36.5,16154
36.583333333333336,16162
36.666666666666664,16154
36.75,16167
36.833333333333336,16165
36.916666666666664,16163
37,16170
37.083333333333336,16163
37.166666666666664,16170
37.25,16168
37.333333333333336,16167
37.416666666666664,16175
37.5,16176
37.583333333333336,16182
37.666666666666664,16176
37.75,16178
37.833333333333336,16180
37.916666666666664,16187
38,16189
38.083333333333336,16189
38.166666666666664,16192
38.25,16193
38.333333333333336,16196
38.416666666666664,16193
38.5,16190
38.583333333333336,16197
38.666666666666664,16200
38.75,16192
38.833333333333336,16192
38.916666666666664,16191
39,16196
39.083333333333336,16200
39.166666666666664,16205
39.25,16205
39.333333333333336,16208
39.416666666666664,16207
39.5,16213
39.583333333333336,16208
39.666666666666664,16214
39.75,16222
39.833333333333336,16218
39.916666666666664,16216
40,16223
40.083333333333336,16220
40.166666666666664,16223
40.25,16218
40.333333333333336,16218
40.416666666666664,16217
40.5,16217
40.583333333333336,16224
40.666666666666664,16225
40.75,16228
40.833333333333336,16233
40.916666666666664,16235
41,16231
41.083333333333336,16240
41.166666666666664,16238
41.25,16242
41.333333333333336,16242
41.416666666666664,16246
41.5,16251
41.583333333333336,16250
41.666666666666664,16248
41.75,16249
41.833333333333336,16248
41.916666666666664,16255
42,16253
42.083333333333336,16263
42.166666666666664,16259
42.25,16261
42.333333333333336,16261
42.416666666666664,16254
42.5,16258
42.583333333333336,16262
42.666666666666664,16262
42.75,16257
42.833333333333336,16270
42.916666666666664,16267
43,16276
43.083333333333336,16269
43.166666666666664,16269
43.25,16271
43.333333333333336,16272
43.416666666666664,16271
43.5,16278
43.583333333333336,16278
43.666666666666664,16279
43.75,16277
43.833333333333336,16281
43.916666666666664,16281
44,16281
44.083333333333336,16283
44.166666666666664,16280
44.25,16276
44.333333333333336,16291
44.416666666666664,16286
44.5,16282
44.583333333333336,16288
44.666666666666664,16293
44.75,16291
44.833333333333336,16290
44.916666666666664,16282
45,16297
45.083333333333336,16288
45.166666666666664,16292
45.25,16295
45.333333333333336,16291
45.416666666666664,16294
45.5,16300
45.583333333333336,16293
45.666666666666664,16301
45.75,16298
45.833333333333336,16303
45.916666666666664,16307
46,16303
46.083333333333336,16305
46.166666666666664,16314
46.25,16308
46.333333333333336,16313
46.416666666666664,16307
46.5,16311
46.583333333333336,16316
46.666666666666664,16312
46.75,16310
46.833333333333336,16318
46.916666666666664,16324
47,16317
47.083333333333336,16316
47.166666666666664,16321
47.25,16331
47.333333333333336,16322
47.416666666666664,16327
47.5,16329
47.583333333333336,16326
47.666666666666664,16329
47.75,16327
47.833333333333336,16327
47.916666666666664,16334
