"Hours since thread went live","Dog Signal - Episode 17 discussion"
35.666666666666664,13
35.75,13
35.833333333333336,14
35.916666666666664,13
36,14
36.083333333333336,15
36.166666666666664,13
36.25,14
36.333333333333336,11
36.416666666666664,14
36.5,13
36.583333333333336,14
36.666666666666664,14
36.75,16
36.833333333333336,14
36.916666666666664,15
37,16
37.083333333333336,15
37.166666666666664,14
37.25,13
37.333333333333336,12
37.416666666666664,14
37.5,14
37.583333333333336,16
37.666666666666664,15
37.75,12
37.833333333333336,15
37.916666666666664,15
38,15
38.083333333333336,14
38.166666666666664,13
38.25,14
38.333333333333336,15
38.416666666666664,15
38.5,15
38.583333333333336,14
38.666666666666664,12
38.75,15
38.833333333333336,15
38.916666666666664,15
39,15
39.083333333333336,16
39.166666666666664,15
39.25,13
39.333333333333336,15
39.416666666666664,13
39.5,15
39.583333333333336,13
39.666666666666664,16
39.75,15
39.833333333333336,16
39.916666666666664,15
40,13
40.083333333333336,14
40.166666666666664,13
40.25,15
40.333333333333336,13
40.416666666666664,14
40.5,14
40.583333333333336,13
40.666666666666664,13
40.75,13
40.833333333333336,13
40.916666666666664,13
41,13
41.083333333333336,14
41.166666666666664,13
41.25,15
41.333333333333336,13
41.416666666666664,14
41.5,13
41.583333333333336,14
41.666666666666664,14
41.75,13
41.833333333333336,15
41.916666666666664,14
42,14
42.083333333333336,15
42.166666666666664,16
42.25,16
42.333333333333336,12
42.416666666666664,15
42.5,16
42.583333333333336,15
42.666666666666664,14
42.75,14
42.833333333333336,15
42.916666666666664,15
43,14
43.083333333333336,15
43.166666666666664,14
43.25,12
43.333333333333336,15
43.416666666666664,14
43.5,14
43.583333333333336,16
43.666666666666664,16
43.75,14
43.833333333333336,16
43.916666666666664,13
44,15
44.083333333333336,15
44.166666666666664,13
44.25,13
44.333333333333336,15
44.416666666666664,12
44.5,14
44.583333333333336,14
44.666666666666664,14
44.75,15
44.833333333333336,13
44.916666666666664,15
45,14
45.083333333333336,14
45.166666666666664,14
45.25,15
45.333333333333336,16
45.416666666666664,16
45.5,14
45.583333333333336,14
45.666666666666664,15
45.75,16
45.833333333333336,13
45.916666666666664,14
46,14
46.083333333333336,15
46.166666666666664,15
46.25,13
46.333333333333336,16
46.416666666666664,15
46.5,13
46.583333333333336,16
46.666666666666664,12
46.75,16
46.833333333333336,16
46.916666666666664,14
47,13
47.083333333333336,16
47.166666666666664,14
47.25,16
47.333333333333336,14
47.416666666666664,15
47.5,13
47.583333333333336,12
47.666666666666664,12
47.75,12
47.833333333333336,16
47.916666666666664,14
