"Hours since thread went live","Bucchigiri?! - Episode 8 discussion"
0,1
0,3
0.08333333333333333,5
0.16666666666666666,4
0.25,5
0.3333333333333333,5
0.4166666666666667,5
0.5,6
0.5833333333333334,5
0.6666666666666666,10
0.75,10
0.8333333333333334,13
0.9166666666666666,15
1,16
1.0833333333333333,18
1.1666666666666667,17
1.25,20
1.3333333333333333,23
1.4166666666666667,23
1.5,27
1.5833333333333333,28
1.6666666666666667,31
1.75,35
1.8333333333333333,34
1.9166666666666667,35
2,38
2.0833333333333335,36
2.1666666666666665,39
2.25,40
2.3333333333333335,38
2.4166666666666665,39
2.5,38
2.5833333333333335,40
2.6666666666666665,41
2.75,45
2.8333333333333335,44
2.9166666666666665,42
3,45
3.0833333333333335,44
3.1666666666666665,48
3.25,46
3.3333333333333335,49
3.4166666666666665,53
3.5,52
3.5833333333333335,57
3.6666666666666665,55
3.75,58
3.8333333333333335,56
3.9166666666666665,54
4,58
4.083333333333333,58
4.166666666666667,61
4.25,62
4.333333333333333,63
4.416666666666667,66
4.5,65
4.583333333333333,72
4.666666666666667,70
4.75,73
4.833333333333333,70
4.916666666666667,69
5,71
5.083333333333333,73
5.166666666666667,73
5.25,76
5.333333333333333,77
5.416666666666667,76
5.5,75
5.583333333333333,80
5.666666666666667,76
5.75,76
5.833333333333333,75
5.916666666666667,79
6,80
6.083333333333333,83
6.166666666666667,84
6.25,87
6.333333333333333,84
6.416666666666667,85
6.5,83
6.583333333333333,83
6.666666666666667,88
6.75,93
6.833333333333333,88
6.916666666666667,91
7,94
7.083333333333333,87
7.166666666666667,90
7.25,90
7.333333333333333,90
7.416666666666667,90
7.5,88
7.583333333333333,86
7.666666666666667,89
7.75,90
7.833333333333333,93
7.916666666666667,92
8,91
8.083333333333334,94
8.166666666666666,97
8.25,99
8.333333333333334,93
8.416666666666666,98
8.5,95
8.583333333333334,93
8.666666666666666,95
8.75,103
8.833333333333334,98
8.916666666666666,99
9,96
9.083333333333334,102
9.166666666666666,99
9.25,101
9.333333333333334,101
9.416666666666666,104
9.5,100
9.583333333333334,99
9.666666666666666,104
9.75,99
9.833333333333334,102
9.916666666666666,107
10,101
10.083333333333334,107
10.166666666666666,100
10.25,101
10.333333333333334,105
10.416666666666666,108
10.5,105
10.583333333333334,106
10.666666666666666,107
10.75,111
10.833333333333334,106
10.916666666666666,109
11,107
11.083333333333334,109
11.166666666666666,110
11.25,110
11.333333333333334,110
11.416666666666666,113
11.5,110
11.583333333333334,114
11.666666666666666,114
11.75,117
11.833333333333334,119
11.916666666666666,116
12,112
12.083333333333334,114
12.166666666666666,116
12.25,117
12.333333333333334,119
12.416666666666666,117
12.5,118
12.583333333333334,119
12.666666666666666,121
12.75,119
12.833333333333334,124
12.916666666666666,124
13,120
13.083333333333334,120
13.166666666666666,120
13.25,121
13.333333333333334,122
13.416666666666666,123
13.5,123
13.583333333333334,126
13.666666666666666,121
13.75,120
13.833333333333334,122
13.916666666666666,121
14,120
14.083333333333334,123
14.166666666666666,123
14.25,127
14.333333333333334,124
14.416666666666666,125
14.5,127
14.583333333333334,124
14.666666666666666,123
14.75,122
14.833333333333334,122
14.916666666666666,127
15,130
15.083333333333334,123
15.166666666666666,128
15.25,128
15.333333333333334,128
15.416666666666666,128
15.5,129
15.583333333333334,129
15.666666666666666,129
15.75,126
15.833333333333334,125
15.916666666666666,125
16,129
16.083333333333332,127
16.166666666666668,126
16.25,127
16.333333333333332,130
16.416666666666668,125
16.5,128
16.583333333333332,127
16.666666666666668,127
16.75,128
16.833333333333332,124
16.916666666666668,125
17,130
17.083333333333332,130
17.166666666666668,132
17.25,128
17.333333333333332,129
17.416666666666668,134
17.5,132
17.583333333333332,131
17.666666666666668,133
17.75,135
17.833333333333332,134
17.916666666666668,132
18,137
18.083333333333332,130
18.166666666666668,130
18.25,130
18.333333333333332,134
18.416666666666668,134
18.5,133
18.583333333333332,133
18.666666666666668,137
18.75,135
18.833333333333332,133
18.916666666666668,135
19,135
19.083333333333332,133
19.166666666666668,134
19.25,140
19.333333333333332,135
19.416666666666668,142
19.5,138
19.583333333333332,140
19.666666666666668,140
19.75,140
19.833333333333332,139
19.916666666666668,139
20,141
20.083333333333332,138
20.166666666666668,137
20.25,139
20.333333333333332,138
20.416666666666668,141
20.5,139
20.583333333333332,139
20.666666666666668,138
20.75,138
20.833333333333332,143
20.916666666666668,143
21,136
21.083333333333332,139
21.166666666666668,139
21.25,141
21.333333333333332,141
21.416666666666668,137
21.5,139
21.583333333333332,144
21.666666666666668,142
21.75,139
21.833333333333332,145
21.916666666666668,141
22,144
22.083333333333332,143
22.166666666666668,141
22.25,145
22.333333333333332,139
22.416666666666668,144
22.5,145
22.583333333333332,147
22.666666666666668,139
22.75,144
22.833333333333332,144
22.916666666666668,145
23,143
23.083333333333332,145
23.166666666666668,146
23.25,146
23.333333333333332,149
23.416666666666668,145
23.5,145
23.583333333333332,151
23.666666666666668,147
23.75,149
23.833333333333332,148
23.916666666666668,148
24,147
24.083333333333332,145
24.166666666666668,151
24.25,149
24.333333333333332,148
24.416666666666668,147
24.5,149
24.583333333333332,150
24.666666666666668,148
24.75,147
24.833333333333332,148
24.916666666666668,146
25,143
25.083333333333332,147
25.166666666666668,149
25.25,150
25.333333333333332,146
25.416666666666668,152
25.5,146
25.583333333333332,149
25.666666666666668,152
25.75,149
25.833333333333332,149
25.916666666666668,146
26,150
26.083333333333332,149
26.166666666666668,151
26.25,145
26.333333333333332,149
26.416666666666668,148
26.5,148
