"Hours since thread went live","Mahou Shoujo ni Akogarete • Gushing over Magical Girls - Episode 11 discussion"
12.666666666666666,1100
12.75,1102
12.833333333333334,1096
12.916666666666666,1105
13,1099
13.083333333333334,1107
13.166666666666666,1108
13.25,1110
13.333333333333334,1118
13.416666666666666,1126
13.5,1123
13.583333333333334,1131
13.666666666666666,1136
13.75,1128
13.833333333333334,1134
13.916666666666666,1138
14,1146
14.083333333333334,1140
14.166666666666666,1144
14.25,1153
14.333333333333334,1150
14.416666666666666,1157
14.5,1159
14.583333333333334,1157
14.666666666666666,1165
14.75,1167
14.833333333333334,1165
14.916666666666666,1175
15,1179
15.083333333333334,1177
15.166666666666666,1185
15.25,1187
15.333333333333334,1187
15.416666666666666,1189
15.5,1194
15.583333333333334,1196
15.666666666666666,1199
15.75,1209
15.833333333333334,1202
15.916666666666666,1205
16,1214
16.083333333333332,1214
16.166666666666668,1213
16.25,1224
16.333333333333332,1225
16.416666666666668,1227
16.5,1224
16.583333333333332,1225
16.666666666666668,1230
16.75,1225
16.833333333333332,1232
16.916666666666668,1241
17,1238
17.083333333333332,1237
17.166666666666668,1245
17.25,1245
17.333333333333332,1248
17.416666666666668,1247
17.5,1256
17.583333333333332,1258
17.666666666666668,1260
17.75,1261
17.833333333333332,1266
17.916666666666668,1265
18,1265
18.083333333333332,1275
18.166666666666668,1278
18.25,1273
18.333333333333332,1283
18.416666666666668,1281
18.5,1278
18.583333333333332,1290
18.666666666666668,1291
18.75,1294
18.833333333333332,1296
18.916666666666668,1291
19,1295
19.083333333333332,1302
19.166666666666668,1308
19.25,1311
19.333333333333332,1316
19.416666666666668,1317
19.5,1318
19.583333333333332,1323
19.666666666666668,1325
19.75,1322
19.833333333333332,1325
19.916666666666668,1333
20,1333
20.083333333333332,1330
20.166666666666668,1332
20.25,1339
20.333333333333332,1345
20.416666666666668,1346
20.5,1348
20.583333333333332,1343
20.666666666666668,1347
20.75,1346
20.833333333333332,1350
20.916666666666668,1353
21,1361
21.083333333333332,1363
21.166666666666668,1361
21.25,1369
21.333333333333332,1371
21.416666666666668,1370
21.5,1373
21.583333333333332,1376
21.666666666666668,1385
21.75,1378
21.833333333333332,1386
21.916666666666668,1381
22,1389
22.083333333333332,1383
