"Hours since thread went live","Ragna Crimson - Episode 19 discussion"
33.666666666666664,385
33.75,390
33.833333333333336,386
33.916666666666664,386
34,386
34.083333333333336,392
34.166666666666664,393
34.25,391
34.333333333333336,382
34.416666666666664,383
34.5,389
34.583333333333336,388
34.666666666666664,392
34.75,387
34.833333333333336,388
34.916666666666664,388
35,385
35.083333333333336,393
35.166666666666664,393
35.25,394
35.333333333333336,389
35.416666666666664,385
35.5,391
35.583333333333336,395
35.666666666666664,390
35.75,391
35.833333333333336,392
35.916666666666664,393
36,389
36.083333333333336,388
36.166666666666664,389
36.25,394
36.333333333333336,391
36.416666666666664,395
36.5,390
36.583333333333336,392
36.666666666666664,394
36.75,392
36.833333333333336,389
36.916666666666664,390
37,391
37.083333333333336,390
37.166666666666664,388
37.25,394
37.333333333333336,392
37.416666666666664,388
37.5,387
37.583333333333336,393
37.666666666666664,397
37.75,395
37.833333333333336,393
37.916666666666664,388
38,395
38.083333333333336,397
38.166666666666664,394
38.25,389
38.333333333333336,389
38.416666666666664,392
38.5,389
38.583333333333336,398
38.666666666666664,393
38.75,397
38.833333333333336,390
38.916666666666664,392
39,392
39.083333333333336,396
39.166666666666664,393
39.25,396
39.333333333333336,395
39.416666666666664,389
39.5,395
39.583333333333336,391
39.666666666666664,392
39.75,390
39.833333333333336,394
39.916666666666664,395
40,393
40.083333333333336,393
40.166666666666664,392
40.25,394
40.333333333333336,393
40.416666666666664,395
40.5,393
40.583333333333336,398
40.666666666666664,391
40.75,391
40.833333333333336,391
40.916666666666664,398
41,397
41.083333333333336,391
41.166666666666664,392
41.25,395
41.333333333333336,399
41.416666666666664,395
41.5,398
41.583333333333336,394
41.666666666666664,395
41.75,397
41.833333333333336,396
41.916666666666664,399
42,395
42.083333333333336,396
42.166666666666664,392
42.25,397
42.333333333333336,399
42.416666666666664,401
42.5,392
42.583333333333336,397
42.666666666666664,397
42.75,391
42.833333333333336,392
42.916666666666664,390
43,396
43.083333333333336,397
43.166666666666664,397
43.25,396
43.333333333333336,399
43.416666666666664,397
43.5,394
43.583333333333336,397
43.666666666666664,396
43.75,397
43.833333333333336,396
43.916666666666664,394
44,398
44.083333333333336,397
44.166666666666664,401
44.25,400
44.333333333333336,399
44.416666666666664,399
44.5,398
44.583333333333336,398
44.666666666666664,394
44.75,395
44.833333333333336,400
44.916666666666664,400
45,400
45.083333333333336,393
45.166666666666664,398
45.25,397
45.333333333333336,401
45.416666666666664,393
45.5,400
45.583333333333336,398
45.666666666666664,401
45.75,396
45.833333333333336,400
45.916666666666664,396
46,393
46.083333333333336,396
46.166666666666664,397
46.25,401
46.333333333333336,398
46.416666666666664,402
46.5,400
46.583333333333336,400
46.666666666666664,402
46.75,400
