"Hours since thread went live","Vinland Saga Season 2 - Episode 24 discussion - FINAL"
0,6
0,6
0.08333333333333333,19
0.16666666666666666,35
0.25,54
0.3333333333333333,72
0.4166666666666667,105
0.5,146
0.5833333333333334,189
0.6666666666666666,232
0.75,285
0.8333333333333334,326
0.9166666666666666,380
1,415
1.0833333333333333,458
1.1666666666666667,502
1.25,546
1.3333333333333333,592
1.4166666666666667,631
1.5,685
1.5833333333333333,730
1.6666666666666667,774
1.75,835
1.8333333333333333,878
1.9166666666666667,917
2,971
2.0833333333333335,1023
2.1666666666666665,1050
2.25,1084
2.3333333333333335,1123
2.4166666666666665,1165
2.5,1204
2.5833333333333335,1248
2.6666666666666665,1291
2.75,1338
2.8333333333333335,1375
2.9166666666666665,1408
3,1443
3.0833333333333335,1485
3.1666666666666665,1513
3.25,1554
3.3333333333333335,1586
3.4166666666666665,1628
3.5,1661
3.5833333333333335,1690
3.6666666666666665,1717
3.75,1750
3.8333333333333335,1771
3.9166666666666665,1809
4,1829
4.083333333333333,1866
4.166666666666667,1895
4.25,1914
4.333333333333333,1941
4.416666666666667,1953
4.5,1979
4.583333333333333,2010
4.666666666666667,2025
4.75,2052
4.833333333333333,2080
4.916666666666667,2108
5,2142
5.083333333333333,2164
5.166666666666667,2197
5.25,2215
5.333333333333333,2236
5.416666666666667,2262
5.5,2291
5.583333333333333,2318
5.666666666666667,2340
5.75,2372
5.833333333333333,2391
5.916666666666667,2418
6,2444
6.083333333333333,2462
6.166666666666667,2479
6.25,2516
6.333333333333333,2530
6.416666666666667,2554
6.5,2572
6.583333333333333,2596
6.666666666666667,2618
6.75,2633
6.833333333333333,2655
6.916666666666667,2676
7,2698
7.083333333333333,2713
7.166666666666667,2732
7.25,2762
7.333333333333333,2779
7.416666666666667,2800
7.5,2814
7.583333333333333,2831
7.666666666666667,2848
7.75,2860
7.833333333333333,2875
7.916666666666667,2886
8,2914
8.083333333333334,2924
8.166666666666666,2945
8.25,2954
8.333333333333334,2968
8.416666666666666,2988
8.5,3002
8.583333333333334,3019
8.666666666666666,3041
8.75,3056
8.833333333333334,3083
8.916666666666666,3088
9,3118
9.083333333333334,3136
9.166666666666666,3149
9.25,3163
9.333333333333334,3184
9.416666666666666,3193
9.5,3204
9.583333333333334,3220
9.666666666666666,3234
9.75,3257
9.833333333333334,3263
9.916666666666666,3271
10,3283
10.083333333333334,3304
10.166666666666666,3316
10.25,3314
10.333333333333334,3339
10.416666666666666,3350
10.5,3362
10.583333333333334,3385
10.666666666666666,3390
10.75,3408
10.833333333333334,3427
10.916666666666666,3423
11,3447
11.083333333333334,3466
11.166666666666666,3470
11.25,3479
11.333333333333334,3498
11.416666666666666,3512
11.5,3524
11.583333333333334,3526
11.666666666666666,3550
11.75,3564
11.833333333333334,3567
11.916666666666666,3593
12,3595
12.083333333333334,3602
12.166666666666666,3620
12.25,3629
12.333333333333334,3634
12.416666666666666,3647
12.5,3657
12.583333333333334,3661
12.666666666666666,3680
12.75,3688
12.833333333333334,3701
12.916666666666666,3712
13,3723
13.083333333333334,3729
13.166666666666666,3744
13.25,3755
13.333333333333334,3760
13.416666666666666,3773
13.5,3774
13.583333333333334,3778
13.666666666666666,3793
13.75,3804
13.833333333333334,3819
13.916666666666666,3836
14,3845
14.083333333333334,3856
14.166666666666666,3873
14.25,3877
14.333333333333334,3889
14.416666666666666,3903
14.5,3899
14.583333333333334,3919
14.666666666666666,3910
14.75,3917
14.833333333333334,3922
14.916666666666666,3926
15,3937
15.083333333333334,3946
15.166666666666666,3948
15.25,3945
15.333333333333334,3952
15.416666666666666,3957
15.5,3966
15.583333333333334,3970
15.666666666666666,3976
15.75,3990
15.833333333333334,3989
15.916666666666666,4002
16,4009
16.083333333333332,4020
16.166666666666668,4024
16.25,4027
16.333333333333332,4037
16.416666666666668,4035
16.5,4047
16.583333333333332,4046
16.666666666666668,4058
16.75,4052
16.833333333333332,4068
16.916666666666668,4060
17,4080
17.083333333333332,4079
17.166666666666668,4089
17.25,4092
17.333333333333332,4093
17.416666666666668,4096
