"Hours since thread went live","Vinland Saga Season 2 - Episode 24 discussion - FINAL"
17.5,4093
17.583333333333332,4100
17.666666666666668,4103
17.75,4107
17.833333333333332,4117
17.916666666666668,4129
18,4127
18.083333333333332,4136
18.166666666666668,4140
18.25,4147
18.333333333333332,4148
18.416666666666668,4156
18.5,4163
18.583333333333332,4169
18.666666666666668,4176
18.75,4183
18.833333333333332,4177
18.916666666666668,4188
19,4200
19.083333333333332,4199
19.166666666666668,4205
19.25,4216
19.333333333333332,4214
19.416666666666668,4211
19.5,4219
19.583333333333332,4228
19.666666666666668,4224
19.75,4230
19.833333333333332,4228
19.916666666666668,4243
20,4251
20.083333333333332,4244
20.166666666666668,4254
20.25,4265
20.333333333333332,4261
20.416666666666668,4262
20.5,4271
20.583333333333332,4277
20.666666666666668,4288
20.75,4288
20.833333333333332,4299
20.916666666666668,4293
21,4300
21.083333333333332,4309
21.166666666666668,4312
21.25,4307
21.333333333333332,4309
21.416666666666668,4321
21.5,4322
21.583333333333332,4328
21.666666666666668,4333
21.75,4343
21.833333333333332,4330
21.916666666666668,4339
22,4347
22.083333333333332,4346
22.166666666666668,4346
22.25,4349
22.333333333333332,4355
22.416666666666668,4357
22.5,4360
22.583333333333332,4369
22.666666666666668,4360
22.75,4366
22.833333333333332,4369
22.916666666666668,4380
23,4375
23.083333333333332,4382
23.166666666666668,4390
23.25,4398
23.333333333333332,4398
23.416666666666668,4408
23.5,4409
23.583333333333332,4414
23.666666666666668,4414
23.75,4424
23.833333333333332,4425
23.916666666666668,4426
24,4442
24.083333333333332,4438
24.166666666666668,4433
24.25,4443
24.333333333333332,4455
24.416666666666668,4463
24.5,4461
24.583333333333332,4458
24.666666666666668,4471
24.75,4470
24.833333333333332,4472
24.916666666666668,4482
25,4482
25.083333333333332,4482
25.166666666666668,4495
25.25,4498
25.333333333333332,4508
25.416666666666668,4507
25.5,4509
25.583333333333332,4516
25.666666666666668,4516
25.75,4520
25.833333333333332,4526
25.916666666666668,4524
26,4532
26.083333333333332,4544
26.166666666666668,4538
26.25,4546
26.333333333333332,4551
26.416666666666668,4553
26.5,4551
26.583333333333332,4555
26.666666666666668,4565
26.75,4563
26.833333333333332,4570
26.916666666666668,4569
27,4579
27.083333333333332,4583
27.166666666666668,4584
27.25,4589
27.333333333333332,4591
27.416666666666668,4596
27.5,4602
27.583333333333332,4604
27.666666666666668,4609
27.75,4614
27.833333333333332,4616
27.916666666666668,4612
28,4616
28.083333333333332,4619
28.166666666666668,4615
28.25,4621
28.333333333333332,4622
28.416666666666668,4627
28.5,4633
28.583333333333332,4635
28.666666666666668,4638
28.75,4634
28.833333333333332,4646
28.916666666666668,4640
29,4650
29.083333333333332,4651
29.166666666666668,4652
29.25,4659
29.333333333333332,4658
29.416666666666668,4667
29.5,4661
29.583333333333332,4664
29.666666666666668,4677
29.75,4672
29.833333333333332,4671
29.916666666666668,4679
30,4685
30.083333333333332,4682
30.166666666666668,4685
30.25,4683
30.333333333333332,4697
30.416666666666668,4694
30.5,4695
30.583333333333332,4693
30.666666666666668,4698
30.75,4704
30.833333333333332,4705
30.916666666666668,4705
31,4715
31.083333333333332,4711
31.166666666666668,4718
31.25,4715
31.333333333333332,4715
31.416666666666668,4719
31.5,4716
31.583333333333332,4721
31.666666666666668,4730
31.75,4736
31.833333333333332,4733
31.916666666666668,4730
32,4743
32.083333333333336,4734
32.166666666666664,4743
32.25,4747
32.333333333333336,4744
32.416666666666664,4753
32.5,4749
32.583333333333336,4754
32.666666666666664,4746
32.75,4754
32.833333333333336,4757
32.916666666666664,4761
33,4759
33.083333333333336,4757
33.166666666666664,4770
33.25,4766
33.333333333333336,4762
33.416666666666664,4778
33.5,4776
33.583333333333336,4776
33.666666666666664,4777
33.75,4772
33.833333333333336,4778
33.916666666666664,4790
34,4790
34.083333333333336,4783
34.166666666666664,4794
34.25,4791
34.333333333333336,4791
34.416666666666664,4794
34.5,4794
34.583333333333336,4803
34.666666666666664,4797
34.75,4807
34.833333333333336,4805
34.916666666666664,4800
35,4799
35.083333333333336,4805
35.166666666666664,4806
35.25,4806
35.333333333333336,4817
35.416666666666664,4815
35.5,4810
35.583333333333336,4816
35.666666666666664,4814
35.75,4818
35.833333333333336,4818
35.916666666666664,4814
36,4827
36.083333333333336,4821
36.166666666666664,4826
36.25,4819
36.333333333333336,4823
36.416666666666664,4829
36.5,4820
36.583333333333336,4826
36.666666666666664,4827
36.75,4832
36.833333333333336,4825
36.916666666666664,4828
37,4834
37.083333333333336,4828
37.166666666666664,4840
37.25,4835
37.333333333333336,4837
37.416666666666664,4835
37.5,4837
37.583333333333336,4837
37.666666666666664,4835
37.75,4842
37.833333333333336,4842
37.916666666666664,4844
38,4839
38.083333333333336,4838
38.166666666666664,4850
38.25,4844
38.333333333333336,4850
38.416666666666664,4848
38.5,4849
38.583333333333336,4858
38.666666666666664,4854
38.75,4856
38.833333333333336,4854
38.916666666666664,4857
39,4853
39.083333333333336,4854
39.166666666666664,4866
39.25,4855
39.333333333333336,4863
39.416666666666664,4858
39.5,4862
39.583333333333336,4867
39.666666666666664,4867
39.75,4873
39.833333333333336,4870
39.916666666666664,4869
40,4875
40.083333333333336,4879
40.166666666666664,4876
40.25,4874
40.333333333333336,4881
40.416666666666664,4879
40.5,4874
40.583333333333336,4884
40.666666666666664,4876
40.75,4881
40.833333333333336,4884
40.916666666666664,4889
41,4881
41.083333333333336,4880
41.166666666666664,4882
41.25,4885
41.333333333333336,4888
41.416666666666664,4887
41.5,4883
41.583333333333336,4885
41.666666666666664,4896
41.75,4890
41.833333333333336,4889
41.916666666666664,4887
42,4898
42.083333333333336,4894
42.166666666666664,4884
42.25,4894
42.333333333333336,4898
42.416666666666664,4884
42.5,4888
42.583333333333336,4890
42.666666666666664,4899
42.75,4891
42.833333333333336,4904
42.916666666666664,4894
43,4897
43.083333333333336,4897
43.166666666666664,4906
43.25,4900
43.333333333333336,4893
43.416666666666664,4894
43.5,4896
43.583333333333336,4893
43.666666666666664,4901
43.75,4906
43.833333333333336,4904
43.916666666666664,4909
44,4901
44.083333333333336,4906
44.166666666666664,4900
44.25,4910
44.333333333333336,4905
44.416666666666664,4905
44.5,4909
44.583333333333336,4912
44.666666666666664,4906
44.75,4910
44.833333333333336,4915
44.916666666666664,4911
45,4905
45.083333333333336,4909
45.166666666666664,4911
45.25,4914
45.333333333333336,4906
45.416666666666664,4910
45.5,4918
45.583333333333336,4913
45.666666666666664,4919
45.75,4918
45.833333333333336,4913
45.916666666666664,4915
46,4917
46.083333333333336,4914
46.166666666666664,4920
46.25,4923
46.333333333333336,4920
46.416666666666664,4923
46.5,4926
46.583333333333336,4922
46.666666666666664,4924
46.75,4932
46.833333333333336,4923
46.916666666666664,4928
47,4926
47.083333333333336,4931
47.166666666666664,4935
47.25,4935
47.333333333333336,4931
47.416666666666664,4933
47.5,4933
47.583333333333336,4942
47.666666666666664,4937
47.75,4941
47.833333333333336,4942
47.916666666666664,4940
