"Hours since thread went live","Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou sareru • The Strongest Tank's Labyrinth Raids: A Tank with a Rare 9999 Resistance Skill Got Kicked from the Hero's Party - Episode 9 discussion"
32.666666666666664,97
32.75,96
32.833333333333336,100
32.916666666666664,96
33,95
33.083333333333336,98
33.166666666666664,99
33.25,98
33.333333333333336,96
33.416666666666664,98
33.5,95
33.583333333333336,96
33.666666666666664,96
33.75,98
33.833333333333336,100
33.916666666666664,100
34,96
34.083333333333336,96
34.166666666666664,96
34.25,97
34.333333333333336,95
34.416666666666664,99
34.5,98
34.583333333333336,95
34.666666666666664,97
34.75,97
34.833333333333336,97
34.916666666666664,95
35,101
35.083333333333336,99
35.166666666666664,99
35.25,97
35.333333333333336,96
35.416666666666664,94
35.5,95
35.583333333333336,98
35.666666666666664,99
35.75,101
35.833333333333336,102
35.916666666666664,100
36,98
36.083333333333336,99
36.166666666666664,102
36.25,101
36.333333333333336,99
36.416666666666664,103
36.5,99
36.583333333333336,99
36.666666666666664,102
36.75,101
36.833333333333336,99
36.916666666666664,98
37,98
37.083333333333336,100
37.166666666666664,97
37.25,101
37.333333333333336,99
37.416666666666664,96
37.5,97
37.583333333333336,102
37.666666666666664,100
37.75,99
37.833333333333336,99
37.916666666666664,98
38,98
38.083333333333336,99
38.166666666666664,100
38.25,102
38.333333333333336,101
38.416666666666664,100
38.5,98
38.583333333333336,100
38.666666666666664,99
38.75,100
38.833333333333336,98
38.916666666666664,99
39,100
39.083333333333336,98
39.166666666666664,99
39.25,102
39.333333333333336,100
39.416666666666664,101
39.5,98
39.583333333333336,98
39.666666666666664,100
39.75,102
39.833333333333336,102
39.916666666666664,98
40,97
40.083333333333336,99
40.166666666666664,103
40.25,102
40.333333333333336,104
40.416666666666664,100
40.5,99
40.583333333333336,101
40.666666666666664,98
40.75,104
40.833333333333336,101
40.916666666666664,100
41,102
41.083333333333336,101
41.166666666666664,100
41.25,101
41.333333333333336,100
41.416666666666664,97
41.5,100
41.583333333333336,98
41.666666666666664,102
41.75,98
41.833333333333336,98
41.916666666666664,99
42,100
42.083333333333336,102
42.166666666666664,101
42.25,103
42.333333333333336,99
42.416666666666664,100
42.5,103
42.583333333333336,99
42.666666666666664,102
42.75,100
42.833333333333336,101
42.916666666666664,99
43,101
43.083333333333336,103
43.166666666666664,100
43.25,101
43.333333333333336,103
43.416666666666664,100
43.5,102
43.583333333333336,97
43.666666666666664,100
43.75,100
43.833333333333336,102
43.916666666666664,102
44,97
44.083333333333336,100
44.166666666666664,101
44.25,102
44.333333333333336,102
44.416666666666664,99
44.5,100
44.583333333333336,100
44.666666666666664,103
44.75,101
44.833333333333336,102
44.916666666666664,103
45,103
45.083333333333336,102
45.166666666666664,102
45.25,101
45.333333333333336,103
45.416666666666664,102
45.5,104
45.583333333333336,102
45.666666666666664,102
45.75,101
45.833333333333336,101
45.916666666666664,100
46,101
46.083333333333336,102
46.166666666666664,99
46.25,104
46.333333333333336,102
46.416666666666664,103
46.5,102
46.583333333333336,103
46.666666666666664,102
46.75,106
46.833333333333336,105
46.916666666666664,103
47,100
47.083333333333336,103
47.166666666666664,99
47.25,106
47.333333333333336,99
47.416666666666664,104
47.5,100
47.583333333333336,106
47.666666666666664,99
47.75,102
47.833333333333336,103
47.916666666666664,101
