"Hours since thread went live","Oi! Tonbo • Tonbo! - Episode 6 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,4
0.25,4
0.3333333333333333,4
0.4166666666666667,5
0.5,9
0.5833333333333334,9
0.6666666666666666,9
0.75,9
0.8333333333333334,10
0.9166666666666666,10
1,9
1.0833333333333333,10
1.1666666666666667,11
1.25,11
1.3333333333333333,11
1.4166666666666667,11
1.5,11
1.5833333333333333,12
1.6666666666666667,14
1.75,13
1.8333333333333333,14
1.9166666666666667,14
2,13
2.0833333333333335,14
2.1666666666666665,13
2.25,14
2.3333333333333335,14
2.4166666666666665,15
2.5,15
2.5833333333333335,17
2.6666666666666665,17
2.75,16
2.8333333333333335,17
2.9166666666666665,17
3,16
3.0833333333333335,17
3.1666666666666665,18
3.25,18
3.3333333333333335,18
3.4166666666666665,18
3.5,19
3.5833333333333335,19
3.6666666666666665,21
3.75,21
3.8333333333333335,21
3.9166666666666665,22
4,23
4.083333333333333,23
4.166666666666667,23
4.25,23
4.333333333333333,22
4.416666666666667,23
4.5,23
4.583333333333333,25
4.666666666666667,25
4.75,27
4.833333333333333,28
4.916666666666667,25
5,26
5.083333333333333,28
5.166666666666667,28
5.25,29
5.333333333333333,27
5.416666666666667,26
5.5,27
5.583333333333333,27
5.666666666666667,26
5.75,29
5.833333333333333,26
5.916666666666667,28
6,26
6.083333333333333,28
6.166666666666667,27
6.25,27
6.333333333333333,30
6.416666666666667,28
6.5,28
6.583333333333333,27
6.666666666666667,30
6.75,28
6.833333333333333,29
6.916666666666667,28
7,29
7.083333333333333,29
7.166666666666667,27
7.25,29
7.333333333333333,29
7.416666666666667,30
7.5,29
7.583333333333333,30
7.666666666666667,29
7.75,29
7.833333333333333,29
7.916666666666667,27
8,29
8.083333333333334,28
8.166666666666666,28
8.25,29
8.333333333333334,30
8.416666666666666,29
8.5,30
8.583333333333334,30
8.666666666666666,31
8.75,27
8.833333333333334,28
8.916666666666666,29
9,30
9.083333333333334,31
9.166666666666666,32
9.25,27
9.333333333333334,28
9.416666666666666,29
9.5,31
9.583333333333334,31
9.666666666666666,29
9.75,28
9.833333333333334,34
9.916666666666666,30
10,31
10.083333333333334,29
10.166666666666666,31
10.25,33
10.333333333333334,28
10.416666666666666,31
10.5,32
10.583333333333334,29
10.666666666666666,31
10.75,30
10.833333333333334,33
10.916666666666666,32
11,30
11.083333333333334,29
11.166666666666666,31
11.25,30
11.333333333333334,34
11.416666666666666,37
11.5,36
11.583333333333334,37
11.666666666666666,35
11.75,35
11.833333333333334,38
11.916666666666666,36
12,35
12.083333333333334,33
12.166666666666666,39
12.25,36
12.333333333333334,38
12.416666666666666,37
12.5,37
12.583333333333334,39
12.666666666666666,37
12.75,35
12.833333333333334,37
12.916666666666666,38
13,43
13.083333333333334,40
13.166666666666666,44
13.25,44
13.333333333333334,41
13.416666666666666,39
13.5,41
13.583333333333334,40
13.666666666666666,43
13.75,42
13.833333333333334,45
13.916666666666666,44
14,43
14.083333333333334,43
14.166666666666666,45
14.25,43
14.333333333333334,42
14.416666666666666,44
14.5,44
14.583333333333334,46
14.666666666666666,46
14.75,45
14.833333333333334,46
14.916666666666666,46
15,46
15.083333333333334,43
15.166666666666666,45
15.25,46
15.333333333333334,47
15.416666666666666,46
15.5,47
15.583333333333334,49
15.666666666666666,45
15.75,49
15.833333333333334,45
15.916666666666666,50
16,49
16.083333333333332,49
16.166666666666668,47
16.25,51
16.333333333333332,52
16.416666666666668,49
16.5,50
16.583333333333332,52
16.666666666666668,50
16.75,49
16.833333333333332,50
16.916666666666668,49
17,52
17.083333333333332,50
17.166666666666668,50
17.25,50
17.333333333333332,54
17.416666666666668,54
17.5,54
17.583333333333332,52
17.666666666666668,52
17.75,53
17.833333333333332,56
17.916666666666668,53
18,57
18.083333333333332,53
18.166666666666668,56
18.25,55
18.333333333333332,56
18.416666666666668,54
18.5,53
18.583333333333332,56
18.666666666666668,54
18.75,56
18.833333333333332,55
18.916666666666668,54
19,58
19.083333333333332,54
19.166666666666668,56
19.25,55
19.333333333333332,56
19.416666666666668,57
19.5,55
19.583333333333332,56
19.666666666666668,59
19.75,58
19.833333333333332,55
19.916666666666668,56
20,58
20.083333333333332,55
20.166666666666668,59
20.25,57
20.333333333333332,59
20.416666666666668,59
20.5,57
20.583333333333332,56
20.666666666666668,56
20.75,58
20.833333333333332,57
20.916666666666668,58
21,58
21.083333333333332,57
21.166666666666668,54
21.25,57
21.333333333333332,54
21.416666666666668,57
21.5,59
21.583333333333332,55
21.666666666666668,58
21.75,58
