"Hours since thread went live","Mob Psycho 100 Season 3 - Episode 12 discussion"
0,2
0.08333333333333333,14
0.16666666666666666,25
0.25,39
0.3333333333333333,62
0.4166666666666667,109
0.5,142
0.5833333333333334,168
0.6666666666666666,197
0.75,234
0.8333333333333334,259
0.9166666666666666,288
1,324
1.0833333333333333,357
1.1666666666666667,389
1.25,433
1.3333333333333333,476
1.4166666666666667,517
1.5,583
1.5833333333333333,639
1.6666666666666667,697
1.75,757
1.8333333333333333,828
1.9166666666666667,908
2,959
2.0833333333333335,1057
2.1666666666666665,1114
2.25,1179
2.3333333333333335,1241
2.4166666666666665,1292
2.5,1366
2.5833333333333335,1445
2.6666666666666665,1501
2.75,1561
2.8333333333333335,1629
2.9166666666666665,1697
3,1763
3.0833333333333335,1844
3.1666666666666665,1928
3.25,1978
3.3333333333333335,2060
3.4166666666666665,2130
3.5,2186
3.5833333333333335,2245
3.6666666666666665,2312
3.75,2369
3.8333333333333335,2437
3.9166666666666665,2483
4,2538
4.083333333333333,2605
4.166666666666667,2678
4.25,2717
4.333333333333333,2771
4.416666666666667,2809
4.5,2843
4.583333333333333,2891
4.666666666666667,2948
4.75,3005
4.833333333333333,3050
4.916666666666667,3105
5,3163
5.083333333333333,3201
5.166666666666667,3253
5.25,3309
5.333333333333333,3365
5.416666666666667,3411
5.5,3462
5.583333333333333,3514
5.666666666666667,3557
5.75,3604
5.833333333333333,3642
5.916666666666667,3686
6,3722
6.083333333333333,3774
6.166666666666667,3810
6.25,3855
6.333333333333333,3893
6.416666666666667,3933
6.5,3963
6.583333333333333,4011
6.666666666666667,4044
6.75,4087
6.833333333333333,4126
6.916666666666667,4173
7,4212
7.083333333333333,4248
7.166666666666667,4287
7.25,4330
7.333333333333333,4374
7.416666666666667,4403
7.5,4448
7.583333333333333,4468
7.666666666666667,4502
7.75,4538
7.833333333333333,4579
7.916666666666667,4615
8,4647
8.083333333333334,4685
8.166666666666666,4730
8.25,4740
8.333333333333334,4777
8.416666666666666,4815
8.5,4843
8.583333333333334,4883
8.666666666666666,4916
8.75,4943
8.833333333333334,4982
8.916666666666666,5008
9,5046
9.083333333333334,5073
9.166666666666666,5100
9.25,5131
9.333333333333334,5170
9.416666666666666,5204
9.5,5233
9.583333333333334,5267
9.666666666666666,5311
9.75,5320
9.833333333333334,5350
9.916666666666666,5388
10,5425
10.083333333333334,5444
10.166666666666666,5477
10.25,5513
10.333333333333334,5549
10.416666666666666,5568
10.5,5593
10.583333333333334,5613
10.666666666666666,5640
10.75,5659
10.833333333333334,5694
10.916666666666666,5717
11,5746
11.083333333333334,5790
11.166666666666666,5812
11.25,5847
11.333333333333334,5866
11.416666666666666,5887
11.5,5905
11.583333333333334,5934
11.666666666666666,5967
11.75,5986
11.833333333333334,6013
11.916666666666666,6045
12,6066
12.083333333333334,6089
12.166666666666666,6127
12.25,6144
12.333333333333334,6182
12.416666666666666,6208
12.5,6239
12.583333333333334,6259
12.666666666666666,6282
12.75,6312
12.833333333333334,6333
12.916666666666666,6351
13,6370
13.083333333333334,6397
13.166666666666666,6409
13.25,6427
13.333333333333334,6454
13.416666666666666,6484
13.5,6515
13.583333333333334,6540
13.666666666666666,6553
13.75,6571
13.833333333333334,6596
13.916666666666666,6619
14,6631
14.083333333333334,6648
14.166666666666666,6662
14.25,6695
14.333333333333334,6713
14.416666666666666,6730
14.5,6748
14.583333333333334,6771
14.666666666666666,6782
14.75,6813
14.833333333333334,6825
14.916666666666666,6846
15,6856
15.083333333333334,6884
15.166666666666666,6912
15.25,6924
15.333333333333334,6946
15.416666666666666,6956
15.5,6969
15.583333333333334,6984
15.666666666666666,6990
15.75,7012
15.833333333333334,7023
15.916666666666666,7033
16,7045
16.083333333333332,7068
16.166666666666668,7072
16.25,7092
16.333333333333332,7104
16.416666666666668,7125
16.5,7139
16.583333333333332,7156
16.666666666666668,7157
16.75,7177
16.833333333333332,7201
16.916666666666668,7210
17,7221
17.083333333333332,7246
17.166666666666668,7254
17.25,7275
17.333333333333332,7285
17.416666666666668,7289
17.5,7305
17.583333333333332,7315
17.666666666666668,7320
17.75,7341
17.833333333333332,7351
17.916666666666668,7357
18,7381
18.083333333333332,7382
18.166666666666668,7394
18.25,7404
18.333333333333332,7411
18.416666666666668,7426
18.5,7425
18.583333333333332,7439
18.666666666666668,7451
18.75,7460
18.833333333333332,7471
18.916666666666668,7472
19,7487
19.083333333333332,7492
19.166666666666668,7505
19.25,7502
19.333333333333332,7518
19.416666666666668,7526
19.5,7532
19.583333333333332,7540
19.666666666666668,7551
19.75,7557
19.833333333333332,7568
19.916666666666668,7575
20,7574
20.083333333333332,7583
20.166666666666668,7594
20.25,7599
20.333333333333332,7613
20.416666666666668,7624
20.5,7639
20.583333333333332,7633
20.666666666666668,7646
20.75,7659
20.833333333333332,7667
20.916666666666668,7682
21,7690
21.083333333333332,7702
21.166666666666668,7715
21.25,7716
21.333333333333332,7733
21.416666666666668,7737
21.5,7744
21.583333333333332,7750
21.666666666666668,7757
21.75,7767
21.833333333333332,7770
21.916666666666668,7780
22,7786
22.083333333333332,7797
22.166666666666668,7801
22.25,7811
22.333333333333332,7820
22.416666666666668,7825
22.5,7840
22.583333333333332,7846
22.666666666666668,7858
22.75,7865
22.833333333333332,7885
22.916666666666668,7882
23,7890
23.083333333333332,7899
23.166666666666668,7906
23.25,7915
23.333333333333332,7928
23.416666666666668,7940
23.5,7948
23.583333333333332,7965
23.666666666666668,7973
23.75,7986
23.833333333333332,7991
23.916666666666668,8004
24,8006
24.083333333333332,8016
24.166666666666668,8019
24.25,8031
24.333333333333332,8031
24.416666666666668,8038
24.5,8047
24.583333333333332,8049
24.666666666666668,8063
24.75,8057
24.833333333333332,8074
24.916666666666668,8078
25,8076
25.083333333333332,8094
25.166666666666668,8087
25.25,8099
25.333333333333332,8109
25.416666666666668,8120
25.5,8139
25.583333333333332,8137
25.666666666666668,8145
25.75,8145
25.833333333333332,8154
25.916666666666668,8161
26,8178
26.083333333333332,8183
26.166666666666668,8186
26.25,8199
26.333333333333332,8201
26.416666666666668,8211
26.5,8207
26.583333333333332,8220
26.666666666666668,8223
26.75,8235
26.833333333333332,8232
26.916666666666668,8233
27,8240
27.083333333333332,8242
27.166666666666668,8237
27.25,8236
27.333333333333332,8246
27.416666666666668,8250
27.5,8253
27.583333333333332,8263
27.666666666666668,8267
27.75,8275
27.833333333333332,8277
27.916666666666668,8282
28,8278
28.083333333333332,8278
28.166666666666668,8289
28.25,8282
28.333333333333332,8287
28.416666666666668,8299
28.5,8300
28.583333333333332,8309
28.666666666666668,8314
28.75,8317
28.833333333333332,8314
28.916666666666668,8317
29,8322
29.083333333333332,8325
29.166666666666668,8339
29.25,8333
29.333333333333332,8350
29.416666666666668,8351
29.5,8353
29.583333333333332,8360
29.666666666666668,8359
29.75,8357
29.833333333333332,8358
29.916666666666668,8368
30,8373
30.083333333333332,8369
30.166666666666668,8375
30.25,8375
30.333333333333332,8387
30.416666666666668,8392
30.5,8388
30.583333333333332,8400
30.666666666666668,8399
30.75,8408
30.833333333333332,8411
30.916666666666668,8421
31,8422
31.083333333333332,8423
31.166666666666668,8432
31.25,8431
31.333333333333332,8435
31.416666666666668,8435
31.5,8436
31.583333333333332,8441
31.666666666666668,8447
31.75,8447
31.833333333333332,8457
31.916666666666668,8456
32,8462
32.083333333333336,8466
32.166666666666664,8460
32.25,8469
32.333333333333336,8470
32.416666666666664,8472
32.5,8483
32.583333333333336,8478
32.666666666666664,8483
32.75,8491
32.833333333333336,8494
32.916666666666664,8496
33,8502
33.083333333333336,8506
33.166666666666664,8500
33.25,8502
33.333333333333336,8499
33.416666666666664,8506
33.5,8522
33.583333333333336,8516
33.666666666666664,8518
33.75,8519
33.833333333333336,8529
33.916666666666664,8523
34,8536
34.083333333333336,8539
34.166666666666664,8539
34.25,8549
34.333333333333336,8548
34.416666666666664,8547
34.5,8556
34.583333333333336,8562
34.666666666666664,8562
34.75,8570
34.833333333333336,8570
34.916666666666664,8572
35,8579
35.083333333333336,8583
35.166666666666664,8587
35.25,8592
35.333333333333336,8583
35.416666666666664,8593
35.5,8592
35.583333333333336,8599
35.666666666666664,8608
35.75,8602
35.833333333333336,8600
35.916666666666664,8604
36,8597
36.083333333333336,8599
36.166666666666664,8600
36.25,8605
36.333333333333336,8608
36.416666666666664,8612
36.5,8618
36.583333333333336,8621
36.666666666666664,8616
36.75,8617
36.833333333333336,8627
36.916666666666664,8630
37,8636
37.083333333333336,8638
37.166666666666664,8634
37.25,8639
37.333333333333336,8646
37.416666666666664,8641
37.5,8647
37.583333333333336,8649
37.666666666666664,8643
37.75,8655
37.833333333333336,8660
37.916666666666664,8657
38,8663
38.083333333333336,8662
38.166666666666664,8665
38.25,8671
38.333333333333336,8664
38.416666666666664,8676
38.5,8668
38.583333333333336,8685
38.666666666666664,8683
38.75,8682
38.833333333333336,8679
38.916666666666664,8682
39,8682
39.083333333333336,8696
39.166666666666664,8702
39.25,8698
39.333333333333336,8699
39.416666666666664,8696
39.5,8697
39.583333333333336,8700
39.666666666666664,8705
39.75,8695
39.833333333333336,8707
39.916666666666664,8702
40,8708
40.083333333333336,8711
40.166666666666664,8704
40.25,8705
40.333333333333336,8701
40.416666666666664,8709
40.5,8710
40.583333333333336,8708
40.666666666666664,8716
40.75,8718
40.833333333333336,8723
40.916666666666664,8717
41,8717
41.083333333333336,8722
41.166666666666664,8724
41.25,8734
41.333333333333336,8724
41.416666666666664,8731
41.5,8727
41.583333333333336,8732
41.666666666666664,8734
41.75,8736
41.833333333333336,8745
41.916666666666664,8740
42,8736
42.083333333333336,8743
42.166666666666664,8752
42.25,8745
42.333333333333336,8749
42.416666666666664,8756
42.5,8752
42.583333333333336,8746
42.666666666666664,8752
42.75,8758
42.833333333333336,8753
42.916666666666664,8760
43,8758
43.083333333333336,8761
43.166666666666664,8766
43.25,8764
43.333333333333336,8763
43.416666666666664,8772
43.5,8766
43.583333333333336,8771
43.666666666666664,8772
43.75,8766
43.833333333333336,8769
43.916666666666664,8771
44,8769
44.083333333333336,8775
44.166666666666664,8769
44.25,8771
44.333333333333336,8769
44.416666666666664,8774
44.5,8775
44.583333333333336,8779
44.666666666666664,8779
44.75,8786
44.833333333333336,8779
44.916666666666664,8793
45,8783
45.083333333333336,8790
45.166666666666664,8784
45.25,8784
45.333333333333336,8784
45.416666666666664,8798
45.5,8788
45.583333333333336,8792
45.666666666666664,8795
45.75,8803
45.833333333333336,8799
45.916666666666664,8804
46,8794
46.083333333333336,8803
46.166666666666664,8804
46.25,8804
46.333333333333336,8808
46.416666666666664,8814
46.5,8815
46.583333333333336,8812
46.666666666666664,8814
46.75,8820
46.833333333333336,8821
46.916666666666664,8828
47,8828
47.083333333333336,8835
47.166666666666664,8835
47.25,8840
47.333333333333336,8837
47.416666666666664,8841
47.5,8842
47.583333333333336,8843
47.666666666666664,8845
47.75,8843
47.833333333333336,8850
47.916666666666664,8847
