"Hours since thread went live","Hananoi-kun to Koi no Yamai • A Condition Called Love - Episode 1 discussion"
26.75,502
26.833333333333332,503
26.916666666666668,504
27,503
27.083333333333332,508
27.166666666666668,500
27.25,507
27.333333333333332,499
27.416666666666668,502
27.5,510
27.583333333333332,504
27.666666666666668,502
27.75,505
27.833333333333332,506
27.916666666666668,509
28,505
28.083333333333332,500
28.166666666666668,506
28.25,509
28.333333333333332,504
28.416666666666668,510
28.5,506
28.583333333333332,505
28.666666666666668,505
28.75,510
28.833333333333332,509
28.916666666666668,507
29,504
29.083333333333332,501
29.166666666666668,509
29.25,506
29.333333333333332,506
29.416666666666668,511
29.5,507
29.583333333333332,502
29.666666666666668,511
29.75,514
29.833333333333332,512
29.916666666666668,509
30,514
30.083333333333332,504
30.166666666666668,512
30.25,510
30.333333333333332,515
30.416666666666668,509
30.5,514
30.583333333333332,505
30.666666666666668,508
30.75,510
30.833333333333332,509
30.916666666666668,507
31,511
31.083333333333332,509
31.166666666666668,508
31.25,509
31.333333333333332,515
31.416666666666668,512
31.5,508
31.583333333333332,512
31.666666666666668,515
31.75,511
31.833333333333332,513
31.916666666666668,514
32,507
32.083333333333336,509
32.166666666666664,515
32.25,515
32.333333333333336,507
32.416666666666664,516
32.5,506
32.583333333333336,512
32.666666666666664,508
32.75,512
32.833333333333336,518
32.916666666666664,514
33,513
33.083333333333336,511
33.166666666666664,510
33.25,514
33.333333333333336,519
33.416666666666664,513
33.5,516
33.583333333333336,514
33.666666666666664,515
33.75,516
33.833333333333336,510
33.916666666666664,521
34,520
34.083333333333336,514
34.166666666666664,516
34.25,520
34.333333333333336,513
34.416666666666664,517
34.5,518
34.583333333333336,518
34.666666666666664,517
34.75,511
34.833333333333336,511
34.916666666666664,514
35,512
35.083333333333336,516
35.166666666666664,518
35.25,517
35.333333333333336,516
35.416666666666664,516
35.5,515
35.583333333333336,512
35.666666666666664,518
35.75,515
35.833333333333336,513
35.916666666666664,518
36,512
36.083333333333336,514
36.166666666666664,520
36.25,517
36.333333333333336,515
36.416666666666664,512
36.5,511
36.583333333333336,510
36.666666666666664,519
36.75,515
36.833333333333336,519
36.916666666666664,511
37,519
37.083333333333336,515
37.166666666666664,517
37.25,517
37.333333333333336,517
37.416666666666664,514
37.5,524
37.583333333333336,514
37.666666666666664,523
37.75,520
37.833333333333336,522
37.916666666666664,522
38,516
38.083333333333336,513
38.166666666666664,515
38.25,516
38.333333333333336,521
38.416666666666664,514
38.5,520
38.583333333333336,519
38.666666666666664,520
38.75,522
38.833333333333336,518
38.916666666666664,520
39,517
39.083333333333336,518
39.166666666666664,519
39.25,517
39.333333333333336,522
39.416666666666664,524
39.5,518
39.583333333333336,520
39.666666666666664,514
39.75,518
39.833333333333336,520
39.916666666666664,517
40,519
40.083333333333336,523
40.166666666666664,522
40.25,518
40.333333333333336,524
40.416666666666664,521
40.5,520
40.583333333333336,527
40.666666666666664,524
40.75,524
40.833333333333336,524
40.916666666666664,519
41,527
41.083333333333336,522
41.166666666666664,518
41.25,523
41.333333333333336,523
41.416666666666664,522
41.5,524
41.583333333333336,519
41.666666666666664,521
41.75,522
41.833333333333336,529
41.916666666666664,522
42,525
42.083333333333336,524
42.166666666666664,521
42.25,521
42.333333333333336,521
42.416666666666664,523
42.5,524
42.583333333333336,523
42.666666666666664,528
42.75,524
42.833333333333336,519
42.916666666666664,522
43,521
43.083333333333336,525
43.166666666666664,528
43.25,524
43.333333333333336,521
43.416666666666664,524
43.5,528
43.583333333333336,524
43.666666666666664,526
43.75,522
43.833333333333336,523
43.916666666666664,525
44,527
44.083333333333336,526
44.166666666666664,522
44.25,521
44.333333333333336,522
44.416666666666664,527
44.5,526
44.583333333333336,527
44.666666666666664,527
44.75,529
44.833333333333336,522
44.916666666666664,528
45,526
45.083333333333336,525
45.166666666666664,527
45.25,527
45.333333333333336,528
45.416666666666664,528
45.5,528
45.583333333333336,528
45.666666666666664,528
45.75,529
45.833333333333336,528
45.916666666666664,522
46,529
46.083333333333336,531
46.166666666666664,526
46.25,527
46.333333333333336,531
