"Hours since thread went live","Nozomanu Fushi no Boukensha • The Unwanted Undead Adventurer - Episode 11 discussion"
12.333333333333334,346
12.416666666666666,348
12.5,350
12.583333333333334,356
12.666666666666666,351
12.75,355
12.833333333333334,353
12.916666666666666,359
13,354
13.083333333333334,354
13.166666666666666,353
13.25,361
13.333333333333334,355
13.416666666666666,357
13.5,361
13.583333333333334,364
13.666666666666666,366
13.75,360
13.833333333333334,369
13.916666666666666,370
14,367
14.083333333333334,378
14.166666666666666,375
14.25,377
14.333333333333334,375
14.416666666666666,380
14.5,378
14.583333333333334,374
14.666666666666666,375
14.75,378
14.833333333333334,382
14.916666666666666,378
15,381
15.083333333333334,384
15.166666666666666,377
15.25,381
15.333333333333334,383
15.416666666666666,382
15.5,386
15.583333333333334,388
15.666666666666666,386
15.75,390
15.833333333333334,389
15.916666666666666,396
16,393
16.083333333333332,393
16.166666666666668,393
16.25,391
16.333333333333332,399
16.416666666666668,400
16.5,394
16.583333333333332,393
16.666666666666668,403
16.75,398
16.833333333333332,401
16.916666666666668,404
17,403
17.083333333333332,405
17.166666666666668,403
17.25,403
17.333333333333332,402
17.416666666666668,397
17.5,404
17.583333333333332,403
17.666666666666668,403
17.75,407
17.833333333333332,408
17.916666666666668,406
18,411
18.083333333333332,410
18.166666666666668,413
18.25,410
18.333333333333332,415
18.416666666666668,416
18.5,417
18.583333333333332,413
18.666666666666668,420
18.75,415
18.833333333333332,418
18.916666666666668,418
19,419
19.083333333333332,416
19.166666666666668,414
19.25,415
19.333333333333332,412
19.416666666666668,416
19.5,416
19.583333333333332,416
19.666666666666668,414
19.75,413
19.833333333333332,419
19.916666666666668,415
20,413
20.083333333333332,421
20.166666666666668,418
20.25,422
20.333333333333332,417
20.416666666666668,412
20.5,417
20.583333333333332,424
20.666666666666668,421
20.75,418
20.833333333333332,420
20.916666666666668,424
21,424
21.083333333333332,416
21.166666666666668,426
21.25,426
21.333333333333332,422
21.416666666666668,426
21.5,424
21.583333333333332,425
21.666666666666668,423
21.75,422
21.833333333333332,422
21.916666666666668,430
22,421
22.083333333333332,420
22.166666666666668,422
22.25,422
22.333333333333332,424
22.416666666666668,427
22.5,425
22.583333333333332,425
22.666666666666668,427
22.75,426
22.833333333333332,428
22.916666666666668,428
23,426
23.083333333333332,434
23.166666666666668,431
23.25,430
23.333333333333332,430
23.416666666666668,433
23.5,432
23.583333333333332,429
23.666666666666668,435
23.75,429
23.833333333333332,431
23.916666666666668,434
24,436
24.083333333333332,432
24.166666666666668,436
24.25,439
24.333333333333332,438
24.416666666666668,439
24.5,437
24.583333333333332,446
24.666666666666668,440
24.75,445
24.833333333333332,446
24.916666666666668,447
25,449
25.083333333333332,451
25.166666666666668,445
25.25,448
25.333333333333332,453
25.416666666666668,446
25.5,446
25.583333333333332,453
25.666666666666668,448
25.75,454
25.833333333333332,451
25.916666666666668,451
26,454
26.083333333333332,451
26.166666666666668,461
26.25,453
26.333333333333332,458
26.416666666666668,454
26.5,460
26.583333333333332,459
26.666666666666668,460
26.75,459
26.833333333333332,458
26.916666666666668,461
27,465
27.083333333333332,460
27.166666666666668,459
27.25,461
27.333333333333332,463
27.416666666666668,462
27.5,464
27.583333333333332,461
27.666666666666668,456
27.75,466
27.833333333333332,462
27.916666666666668,464
28,462
28.083333333333332,465
28.166666666666668,458
28.25,466
28.333333333333332,463
28.416666666666668,459
28.5,462
28.583333333333332,463
28.666666666666668,463
28.75,462
28.833333333333332,468
28.916666666666668,464
29,462
29.083333333333332,460
29.166666666666668,460
29.25,459
29.333333333333332,460
29.416666666666668,464
29.5,460
29.583333333333332,460
29.666666666666668,465
29.75,465
29.833333333333332,468
29.916666666666668,463
30,462
30.083333333333332,464
30.166666666666668,463
30.25,466
30.333333333333332,462
30.416666666666668,468
30.5,468
30.583333333333332,465
30.666666666666668,469
30.75,464
30.833333333333332,464
30.916666666666668,461
31,462
31.083333333333332,464
31.166666666666668,465
31.25,468
31.333333333333332,462
31.416666666666668,466
31.5,460
31.583333333333332,469
31.666666666666668,467
31.75,462
31.833333333333332,467
31.916666666666668,466
32,461
32.083333333333336,468
32.166666666666664,465
32.25,463
32.333333333333336,471
32.416666666666664,468
32.5,464
32.583333333333336,470
32.666666666666664,466
32.75,465
32.833333333333336,468
32.916666666666664,464
33,466
33.083333333333336,467
33.166666666666664,467
33.25,469
33.333333333333336,466
33.416666666666664,467
33.5,464
33.583333333333336,467
33.666666666666664,468
33.75,470
33.833333333333336,467
33.916666666666664,466
34,469
34.083333333333336,470
34.166666666666664,468
34.25,463
34.333333333333336,462
34.416666666666664,465
34.5,461
34.583333333333336,470
34.666666666666664,465
34.75,471
34.833333333333336,465
34.916666666666664,470
35,468
35.083333333333336,467
35.166666666666664,466
35.25,472
35.333333333333336,467
35.416666666666664,472
35.5,468
35.583333333333336,468
35.666666666666664,466
35.75,467
35.833333333333336,465
35.916666666666664,465
36,464
36.083333333333336,465
36.166666666666664,464
36.25,465
36.333333333333336,470
36.416666666666664,463
36.5,465
36.583333333333336,469
36.666666666666664,466
36.75,468
36.833333333333336,471
36.916666666666664,466
37,461
37.083333333333336,462
37.166666666666664,465
37.25,464
37.333333333333336,463
37.416666666666664,471
37.5,470
37.583333333333336,469
37.666666666666664,470
37.75,468
37.833333333333336,467
37.916666666666664,468
38,466
38.083333333333336,471
38.166666666666664,468
38.25,471
38.333333333333336,464
38.416666666666664,467
38.5,471
38.583333333333336,471
38.666666666666664,462
38.75,472
38.833333333333336,470
38.916666666666664,464
39,463
39.083333333333336,472
39.166666666666664,468
39.25,466
39.333333333333336,470
39.416666666666664,465
39.5,469
39.583333333333336,475
39.666666666666664,473
39.75,475
39.833333333333336,476
39.916666666666664,472
40,471
40.083333333333336,477
40.166666666666664,474
40.25,474
40.333333333333336,472
40.416666666666664,479
40.5,475
40.583333333333336,475
40.666666666666664,474
40.75,469
40.833333333333336,474
40.916666666666664,472
41,474
41.083333333333336,477
41.166666666666664,477
41.25,474
41.333333333333336,477
41.416666666666664,475
41.5,472
41.583333333333336,479
41.666666666666664,478
41.75,474
41.833333333333336,479
41.916666666666664,470
42,473
42.083333333333336,476
42.166666666666664,480
42.25,477
42.333333333333336,476
42.416666666666664,473
42.5,477
42.583333333333336,478
42.666666666666664,473
42.75,475
42.833333333333336,477
42.916666666666664,474
43,473
43.083333333333336,477
43.166666666666664,478
43.25,476
43.333333333333336,477
43.416666666666664,478
43.5,475
43.583333333333336,480
43.666666666666664,478
43.75,479
43.833333333333336,471
43.916666666666664,480
44,474
44.083333333333336,481
44.166666666666664,477
44.25,475
44.333333333333336,478
44.416666666666664,478
44.5,483
44.583333333333336,475
44.666666666666664,484
44.75,480
44.833333333333336,482
44.916666666666664,479
45,475
45.083333333333336,481
45.166666666666664,482
45.25,481
45.333333333333336,480
45.416666666666664,486
45.5,479
45.583333333333336,481
45.666666666666664,480
45.75,480
45.833333333333336,479
45.916666666666664,481
46,477
46.083333333333336,479
46.166666666666664,481
46.25,488
46.333333333333336,488
46.416666666666664,481
46.5,482
46.583333333333336,485
46.666666666666664,484
46.75,482
46.833333333333336,486
46.916666666666664,487
47,480
47.083333333333336,481
47.166666666666664,484
47.25,482
47.333333333333336,483
47.416666666666664,477
47.5,482
47.583333333333336,485
47.666666666666664,486
47.75,484
47.833333333333336,484
47.916666666666664,483
