"Hours since thread went live","Shuumatsu Train Doko e Iku? • Train to the End of the World - Episode 3 discussion"
0,5
0.08333333333333333,5
0.16666666666666666,7
0.25,12
0.3333333333333333,16
0.4166666666666667,20
0.5,30
0.5833333333333334,33
0.6666666666666666,36
0.75,43
0.8333333333333334,47
0.9166666666666666,54
1,62
1.0833333333333333,71
1.1666666666666667,77
1.25,85
1.3333333333333333,90
1.4166666666666667,95
1.5,100
1.5833333333333333,107
1.6666666666666667,114
1.75,119
1.8333333333333333,119
1.9166666666666667,126
2,130
2.0833333333333335,136
2.1666666666666665,143
2.25,150
2.3333333333333335,158
2.4166666666666665,166
2.5,178
2.5833333333333335,184
2.6666666666666665,185
2.75,187
2.8333333333333335,194
2.9166666666666665,203
3,209
3.0833333333333335,214
3.1666666666666665,224
3.25,230
3.3333333333333335,236
3.4166666666666665,242
3.5,251
3.5833333333333335,249
3.6666666666666665,258
3.75,263
3.8333333333333335,273
3.9166666666666665,281
4,288
4.083333333333333,289
4.166666666666667,301
4.25,304
4.333333333333333,314
4.416666666666667,317
4.5,324
4.583333333333333,323
4.666666666666667,332
4.75,339
4.833333333333333,333
4.916666666666667,339
5,347
5.083333333333333,350
5.166666666666667,351
5.25,360
5.333333333333333,362
5.416666666666667,368
5.5,379
5.583333333333333,385
5.666666666666667,389
5.75,391
5.833333333333333,397
5.916666666666667,395
6,402
6.083333333333333,397
6.166666666666667,409
6.25,415
6.333333333333333,419
6.416666666666667,419
6.5,416
6.583333333333333,423
6.666666666666667,423
6.75,429
6.833333333333333,433
6.916666666666667,439
7,445
7.083333333333333,438
7.166666666666667,440
7.25,453
7.333333333333333,458
7.416666666666667,460
7.5,464
7.583333333333333,461
7.666666666666667,468
7.75,474
7.833333333333333,483
7.916666666666667,473
8,484
8.083333333333334,484
8.166666666666666,485
8.25,492
8.333333333333334,493
8.416666666666666,496
8.5,504
8.583333333333334,510
8.666666666666666,514
8.75,523
8.833333333333334,527
8.916666666666666,529
9,528
9.083333333333334,535
9.166666666666666,532
9.25,534
9.333333333333334,544
9.416666666666666,547
9.5,549
9.583333333333334,554
9.666666666666666,555
9.75,560
9.833333333333334,560
9.916666666666666,564
10,565
10.083333333333334,574
10.166666666666666,572
10.25,579
10.333333333333334,582
10.416666666666666,585
10.5,586
10.583333333333334,587
10.666666666666666,587
10.75,594
11.166666666666666,600
11.25,604
11.333333333333334,603
11.416666666666666,605
11.5,612
11.583333333333334,619
11.666666666666666,612
11.75,616
11.833333333333334,617
11.916666666666666,624
12,626
12.083333333333334,625
12.166666666666666,624
12.25,630
12.333333333333334,633
12.416666666666666,634
12.5,633
12.583333333333334,640
12.666666666666666,647
12.75,650
12.833333333333334,649
12.916666666666666,653
13,655
13.083333333333334,658
13.166666666666666,659
13.25,663
13.333333333333334,668
13.416666666666666,668
13.5,666
13.583333333333334,670
13.666666666666666,672
13.75,674
13.833333333333334,674
13.916666666666666,680
14,670
14.083333333333334,679
14.166666666666666,684
14.25,681
14.333333333333334,686
14.416666666666666,689
14.5,691
14.583333333333334,689
14.666666666666666,700
14.75,697
14.833333333333334,702
14.916666666666666,703
15,702
15.083333333333334,703
15.166666666666666,705
15.25,711
15.333333333333334,711
15.416666666666666,713
15.5,706
15.583333333333334,712
15.666666666666666,713
15.75,719
15.833333333333334,721
15.916666666666666,722
16,724
16.083333333333332,727
16.166666666666668,733
16.25,733
16.333333333333332,739
16.416666666666668,743
16.5,752
16.583333333333332,750
16.666666666666668,748
16.75,750
16.833333333333332,749
16.916666666666668,752
17,754
17.083333333333332,755
17.166666666666668,753
17.25,755
17.333333333333332,759
17.416666666666668,760
17.5,755
17.583333333333332,762
17.666666666666668,760
17.75,762
17.833333333333332,767
17.916666666666668,768
18,768
18.083333333333332,771
18.166666666666668,770
18.25,772
18.333333333333332,770
18.416666666666668,775
18.5,778
18.583333333333332,776
18.666666666666668,777
18.75,774
18.833333333333332,781
18.916666666666668,777
19,781
19.083333333333332,780
19.166666666666668,783
19.25,780
19.333333333333332,790
19.416666666666668,788
19.5,792
19.583333333333332,786
19.666666666666668,793
19.75,797
19.833333333333332,792
19.916666666666668,792
20,793
20.083333333333332,792
20.166666666666668,795
20.25,798
20.333333333333332,795
20.416666666666668,796
20.5,800
20.583333333333332,793
20.666666666666668,798
20.75,800
20.833333333333332,802
20.916666666666668,803
21,802
21.083333333333332,813
21.166666666666668,804
21.25,811
21.333333333333332,804
21.416666666666668,814
21.5,816
21.583333333333332,807
21.666666666666668,813
21.75,809
21.833333333333332,820
21.916666666666668,813
22,817
22.083333333333332,819
22.166666666666668,816
22.25,816
22.333333333333332,815
22.416666666666668,818
22.5,824
22.583333333333332,822
22.666666666666668,824
22.75,824
22.833333333333332,825
22.916666666666668,828
23,828
23.083333333333332,828
23.166666666666668,830
23.25,828
23.333333333333332,829
23.416666666666668,829
23.5,835
23.583333333333332,833
23.666666666666668,833
23.75,836
23.833333333333332,831
23.916666666666668,839
24,837
24.083333333333332,836
24.166666666666668,838
24.25,840
24.333333333333332,838
24.416666666666668,842
24.5,844
24.583333333333332,838
24.666666666666668,841
24.75,848
24.833333333333332,841
24.916666666666668,842
25,844
25.083333333333332,846
25.166666666666668,843
25.25,844
25.333333333333332,845
25.416666666666668,849
25.5,855
25.583333333333332,847
25.666666666666668,847
25.75,854
25.833333333333332,853
25.916666666666668,854
26,854
26.083333333333332,848
26.166666666666668,852
26.25,854
26.333333333333332,856
26.416666666666668,860
26.5,860
26.583333333333332,857
26.666666666666668,860
26.75,866
26.833333333333332,862
26.916666666666668,859
27,866
27.083333333333332,865
27.166666666666668,866
27.25,861
27.333333333333332,868
27.416666666666668,865
27.5,869
27.583333333333332,864
27.666666666666668,871
27.75,867
27.833333333333332,863
27.916666666666668,869
28,862
28.083333333333332,867
