"Hours since thread went live","Tensei Shitara Slime Datta Ken Season 3 • That Time I Got Reincarnated as a Slime Season 3 - Episode 2 discussion"
0,2
0,2
0.08333333333333333,6
0.16666666666666666,11
0.25,15
0.3333333333333333,28
0.4166666666666667,37
0.5,49
0.5833333333333334,57
0.6666666666666666,66
0.75,70
0.8333333333333334,80
0.9166666666666666,97
1,114
1.0833333333333333,121
1.1666666666666667,140
1.25,155
1.3333333333333333,167
1.4166666666666667,180
1.5,196
1.5833333333333333,208
1.6666666666666667,222
1.75,228
1.8333333333333333,239
1.9166666666666667,250
2,264
2.0833333333333335,268
2.1666666666666665,278
2.25,286
2.3333333333333335,298
2.4166666666666665,311
2.5,322
2.5833333333333335,335
2.6666666666666665,345
2.75,345
2.8333333333333335,359
2.9166666666666665,372
3,373
3.0833333333333335,388
3.1666666666666665,406
3.25,410
3.3333333333333335,419
3.4166666666666665,428
3.5,435
3.5833333333333335,445
3.6666666666666665,464
3.75,480
3.8333333333333335,484
3.9166666666666665,497
4,503
4.083333333333333,512
4.166666666666667,517
4.25,528
4.333333333333333,530
4.416666666666667,538
4.5,545
4.583333333333333,550
4.666666666666667,558
4.75,562
4.833333333333333,570
4.916666666666667,585
5,600
5.083333333333333,604
5.166666666666667,617
5.25,621
5.333333333333333,625
5.416666666666667,638
5.5,656
5.583333333333333,654
5.666666666666667,667
5.75,677
5.833333333333333,685
5.916666666666667,698
6,707
6.083333333333333,711
6.166666666666667,716
6.25,725
6.333333333333333,736
6.416666666666667,740
6.5,754
6.583333333333333,753
6.666666666666667,767
6.75,769
6.833333333333333,774
6.916666666666667,786
7,783
7.083333333333333,792
7.166666666666667,805
7.25,806
7.333333333333333,819
7.416666666666667,825
7.5,827
7.583333333333333,843
7.666666666666667,854
7.75,859
7.833333333333333,865
7.916666666666667,878
8,886
8.083333333333334,886
8.166666666666666,888
8.25,881
8.333333333333334,889
8.416666666666666,894
8.5,896
8.583333333333334,905
8.666666666666666,916
8.75,921
8.833333333333334,931
8.916666666666666,940
9,947
9.083333333333334,956
9.166666666666666,957
9.25,964
9.333333333333334,966
9.416666666666666,974
9.5,977
9.583333333333334,990
9.666666666666666,992
9.75,996
9.833333333333334,1007
9.916666666666666,1001
10,1009
10.083333333333334,1014
10.166666666666666,1019
10.25,1028
10.333333333333334,1037
10.416666666666666,1036
10.5,1054
10.583333333333334,1060
10.666666666666666,1061
10.75,1067
10.833333333333334,1075
10.916666666666666,1082
11,1083
11.083333333333334,1092
11.166666666666666,1099
11.25,1106
11.333333333333334,1109
11.416666666666666,1114
11.5,1116
11.583333333333334,1121
11.666666666666666,1120
11.75,1128
11.833333333333334,1130
11.916666666666666,1139
12,1144
12.083333333333334,1147
12.166666666666666,1156
12.25,1161
12.333333333333334,1167
12.416666666666666,1169
12.5,1169
12.583333333333334,1173
12.666666666666666,1177
12.75,1179
12.833333333333334,1185
12.916666666666666,1183
13,1190
13.083333333333334,1188
13.166666666666666,1196
13.25,1198
13.333333333333334,1204
13.416666666666666,1216
13.5,1217
13.583333333333334,1218
13.666666666666666,1220
13.75,1230
13.833333333333334,1234
13.916666666666666,1242
14,1239
14.083333333333334,1241
14.166666666666666,1243
14.25,1250
14.333333333333334,1253
14.416666666666666,1257
14.5,1257
14.583333333333334,1263
14.666666666666666,1261
14.75,1264
14.833333333333334,1267
14.916666666666666,1278
15,1278
15.083333333333334,1280
15.166666666666666,1285
15.25,1287
15.333333333333334,1293
15.416666666666666,1292
15.5,1294
15.583333333333334,1293
15.666666666666666,1300
15.75,1305
15.833333333333334,1304
15.916666666666666,1308
16,1313
16.083333333333332,1315
16.166666666666668,1312
16.25,1312
