"Hours since thread went live","Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo • The 100 Girlfriends Who Really, Really, Really, Really, Really Love You - Episode 2 discussion"
0,1
0,4
0.08333333333333333,7
0.16666666666666666,16
0.25,26
0.3333333333333333,41
0.4166666666666667,66
0.5,86
0.5833333333333334,106
0.6666666666666666,127
0.75,145
0.8333333333333334,171
0.9166666666666666,205
1,230
1.0833333333333333,245
1.1666666666666667,270
1.25,292
1.3333333333333333,312
1.4166666666666667,333
1.5,354
1.5833333333333333,380
1.6666666666666667,405
1.75,422
1.8333333333333333,446
1.9166666666666667,464
2,495
2.0833333333333335,516
2.1666666666666665,539
2.25,565
2.3333333333333335,586
2.4166666666666665,607
2.5,626
2.5833333333333335,646
2.6666666666666665,664
2.75,693
2.8333333333333335,713
2.9166666666666665,737
3,756
3.0833333333333335,773
3.1666666666666665,785
3.25,802
3.3333333333333335,819
3.4166666666666665,840
3.5,853
3.5833333333333335,865
3.6666666666666665,889
3.75,897
3.8333333333333335,921
3.9166666666666665,928
4,944
4.083333333333333,963
4.166666666666667,983
4.25,996
4.333333333333333,1012
4.416666666666667,1024
4.5,1044
4.583333333333333,1063
4.666666666666667,1087
4.75,1088
4.833333333333333,1107
4.916666666666667,1128
5,1139
5.083333333333333,1152
5.166666666666667,1169
5.25,1185
5.333333333333333,1188
5.416666666666667,1201
5.5,1207
5.583333333333333,1226
5.666666666666667,1247
5.75,1251
5.833333333333333,1259
5.916666666666667,1273
6,1288
6.083333333333333,1298
6.166666666666667,1314
6.25,1323
6.333333333333333,1329
6.416666666666667,1339
6.5,1347
6.583333333333333,1363
6.666666666666667,1372
6.75,1381
6.833333333333333,1388
6.916666666666667,1398
7,1417
7.083333333333333,1429
7.166666666666667,1441
7.25,1448
7.333333333333333,1460
7.416666666666667,1471
7.5,1483
7.583333333333333,1496
7.666666666666667,1507
7.75,1514
7.833333333333333,1529
7.916666666666667,1542
8,1542
8.083333333333334,1548
8.166666666666666,1558
8.25,1567
8.333333333333334,1584
8.416666666666666,1589
8.5,1596
8.583333333333334,1598
8.666666666666666,1597
8.75,1606
8.833333333333334,1610
8.916666666666666,1614
9,1621
9.083333333333334,1629
9.166666666666666,1646
9.25,1657
9.333333333333334,1655
9.416666666666666,1673
9.5,1679
9.583333333333334,1683
9.666666666666666,1691
9.75,1692
9.833333333333334,1704
9.916666666666666,1704
10,1711
10.083333333333334,1725
10.166666666666666,1728
10.25,1738
10.333333333333334,1747
10.416666666666666,1747
10.5,1754
10.583333333333334,1764
10.666666666666666,1770
10.75,1775
10.833333333333334,1782
10.916666666666666,1787
11,1788
11.083333333333334,1796
11.166666666666666,1798
11.25,1804
11.333333333333334,1805
11.416666666666666,1818
11.5,1820
11.583333333333334,1835
11.666666666666666,1838
11.75,1846
11.833333333333334,1858
11.916666666666666,1862
12,1870
12.083333333333334,1880
12.166666666666666,1887
12.25,1894
12.333333333333334,1900
12.416666666666666,1903
12.5,1915
12.583333333333334,1920
12.666666666666666,1920
12.75,1928
12.833333333333334,1931
12.916666666666666,1934
13,1952
13.083333333333334,1967
13.166666666666666,1973
13.25,1975
13.333333333333334,1980
13.416666666666666,1984
13.5,1987
13.583333333333334,1991
13.666666666666666,1997
13.75,2001
13.833333333333334,2012
13.916666666666666,2014
14,2005
14.083333333333334,2023
14.166666666666666,2025
14.25,2037
14.333333333333334,2037
14.416666666666666,2038
14.5,2044
14.583333333333334,2050
14.666666666666666,2051
14.75,2057
14.833333333333334,2056
14.916666666666666,2069
15,2076
15.083333333333334,2082
15.166666666666666,2080
15.25,2092
15.333333333333334,2093
15.416666666666666,2091
15.5,2094
15.583333333333334,2106
15.666666666666666,2104
15.75,2111
15.833333333333334,2114
15.916666666666666,2115
16,2118
16.083333333333332,2127
16.166666666666668,2131
16.25,2130
16.333333333333332,2140
16.416666666666668,2144
16.5,2151
16.583333333333332,2151
16.666666666666668,2161
16.75,2166
16.833333333333332,2168
16.916666666666668,2171
17,2177
17.083333333333332,2178
17.166666666666668,2185
17.25,2186
17.333333333333332,2190
17.416666666666668,2193
17.5,2198
17.583333333333332,2198
17.666666666666668,2202
17.75,2199
17.833333333333332,2197
17.916666666666668,2203
18,2205
18.083333333333332,2207
18.166666666666668,2205
18.25,2213
18.333333333333332,2218
18.416666666666668,2223
18.5,2224
18.583333333333332,2222
18.666666666666668,2226
18.75,2229
18.833333333333332,2229
18.916666666666668,2236
19,2237
19.083333333333332,2246
19.166666666666668,2251
19.25,2253
19.333333333333332,2255
19.416666666666668,2257
19.5,2256
19.583333333333332,2256
19.666666666666668,2262
19.75,2264
19.833333333333332,2264
19.916666666666668,2269
20,2272
20.083333333333332,2271
20.166666666666668,2271
20.25,2276
20.333333333333332,2280
20.416666666666668,2280
20.5,2284
20.583333333333332,2290
20.666666666666668,2300
20.75,2303
20.833333333333332,2304
20.916666666666668,2305
21,2301
