"Hours since thread went live","Kingdom Season 5 - Episode 8 discussion"
0,1
0,2
0.08333333333333333,2
0.16666666666666666,1
0.25,1
0.3333333333333333,2
0.4166666666666667,3
0.5,5
0.5833333333333334,4
0.6666666666666666,6
0.75,10
0.8333333333333334,14
0.9166666666666666,13
1,14
1.0833333333333333,16
1.1666666666666667,16
1.25,18
1.3333333333333333,18
1.4166666666666667,18
1.5,18
1.5833333333333333,19
1.6666666666666667,19
1.75,22
1.8333333333333333,21
1.9166666666666667,23
2,24
2.0833333333333335,23
2.1666666666666665,27
2.25,30
2.3333333333333335,30
2.4166666666666665,31
2.5,30
2.5833333333333335,35
2.6666666666666665,35
2.75,35
2.8333333333333335,33
2.9166666666666665,39
3,36
3.0833333333333335,38
3.1666666666666665,36
3.25,38
3.3333333333333335,42
3.4166666666666665,39
3.5,41
3.5833333333333335,40
3.6666666666666665,42
3.75,46
3.8333333333333335,43
3.9166666666666665,42
4,49
4.083333333333333,47
4.166666666666667,45
4.25,45
4.333333333333333,48
4.416666666666667,47
4.5,50
4.583333333333333,52
4.666666666666667,53
4.75,47
4.833333333333333,48
4.916666666666667,46
5,46
5.083333333333333,49
5.166666666666667,52
5.25,53
5.333333333333333,53
5.416666666666667,51
5.5,50
5.583333333333333,51
5.666666666666667,51
5.75,49
5.833333333333333,52
5.916666666666667,53
6,51
6.083333333333333,50
6.166666666666667,51
6.25,52
6.333333333333333,47
6.416666666666667,52
6.5,52
6.583333333333333,53
6.666666666666667,52
6.75,56
6.833333333333333,53
6.916666666666667,57
7,54
7.083333333333333,56
7.166666666666667,53
7.25,59
7.333333333333333,56
7.416666666666667,58
7.5,57
7.583333333333333,57
7.666666666666667,57
7.75,56
7.833333333333333,59
7.916666666666667,59
8,58
8.083333333333334,57
8.166666666666666,61
8.25,63
8.333333333333334,59
8.416666666666666,60
8.5,64
8.583333333333334,63
8.666666666666666,62
8.75,64
8.833333333333334,62
8.916666666666666,60
9,65
9.083333333333334,63
9.166666666666666,65
9.25,65
9.333333333333334,63
9.416666666666666,63
9.5,66
9.583333333333334,65
9.666666666666666,67
9.75,67
9.833333333333334,65
9.916666666666666,68
10,66
10.083333333333334,65
10.166666666666666,70
10.25,73
10.333333333333334,70
10.416666666666666,71
10.5,69
10.583333333333334,74
10.666666666666666,74
10.75,70
10.833333333333334,74
10.916666666666666,68
11,69
11.083333333333334,73
11.166666666666666,72
11.25,73
11.333333333333334,75
11.416666666666666,74
11.5,73
11.583333333333334,74
11.666666666666666,76
11.75,75
11.833333333333334,78
11.916666666666666,77
12,77
12.083333333333334,72
12.166666666666666,77
12.25,76
12.333333333333334,74
12.416666666666666,76
12.5,77
12.583333333333334,78
12.666666666666666,77
12.75,77
12.833333333333334,77
12.916666666666666,84
13,79
13.083333333333334,81
13.166666666666666,82
13.25,78
13.333333333333334,80
13.416666666666666,81
13.5,81
13.583333333333334,80
13.666666666666666,80
13.75,82
13.833333333333334,79
13.916666666666666,82
14,85
14.083333333333334,84
14.166666666666666,79
14.25,84
14.333333333333334,83
14.416666666666666,85
14.5,80
14.583333333333334,82
14.666666666666666,84
14.75,84
14.833333333333334,80
14.916666666666666,82
15,83
15.083333333333334,87
15.166666666666666,86
15.25,85
15.333333333333334,81
15.416666666666666,88
15.5,82
15.583333333333334,88
15.666666666666666,85
15.75,88
15.833333333333334,91
15.916666666666666,85
16,89
16.083333333333332,90
16.166666666666668,88
16.25,85
16.333333333333332,90
16.416666666666668,92
16.5,94
16.583333333333332,93
16.666666666666668,94
16.75,92
16.833333333333332,94
16.916666666666668,90
17,92
17.083333333333332,94
17.166666666666668,90
17.25,90
17.333333333333332,92
17.416666666666668,94
17.5,89
17.583333333333332,87
17.666666666666668,91
17.75,93
17.833333333333332,91
17.916666666666668,89
18,86
18.083333333333332,90
18.166666666666668,91
18.25,95
18.333333333333332,92
18.416666666666668,91
18.5,91
18.583333333333332,88
18.666666666666668,94
18.75,90
18.833333333333332,92
18.916666666666668,92
19,93
19.083333333333332,89
19.166666666666668,90
19.25,93
19.333333333333332,91
19.416666666666668,93
19.5,94
19.583333333333332,93
19.666666666666668,96
19.75,94
19.833333333333332,92
19.916666666666668,93
20,99
20.083333333333332,97
20.166666666666668,99
20.25,99
20.333333333333332,97
20.416666666666668,96
20.5,95
20.583333333333332,98
20.666666666666668,100
20.75,101
20.833333333333332,97
20.916666666666668,102
21,104
21.083333333333332,104
21.166666666666668,101
21.25,99
21.333333333333332,98
21.416666666666668,101
21.5,103
21.583333333333332,99
21.666666666666668,100
21.75,99
21.833333333333332,104
21.916666666666668,103
22,100
22.083333333333332,99
22.166666666666668,101
22.25,103
22.333333333333332,104
22.416666666666668,100
22.5,104
22.583333333333332,106
22.666666666666668,103
22.75,102
22.833333333333332,103
22.916666666666668,102
23,102
23.083333333333332,104
23.166666666666668,103
23.25,101
23.333333333333332,102
23.416666666666668,103
23.5,106
23.583333333333332,101
23.666666666666668,107
23.75,102
23.833333333333332,102
23.916666666666668,100
24,103
24.083333333333332,103
24.166666666666668,105
24.25,103
24.333333333333332,103
24.416666666666668,108
24.5,107
24.583333333333332,101
24.666666666666668,106
24.75,105
24.833333333333332,106
24.916666666666668,103
25,103
25.083333333333332,105
25.166666666666668,106
25.25,106
25.333333333333332,104
25.416666666666668,111
25.5,107
25.583333333333332,111
25.666666666666668,104
25.75,107
25.833333333333332,106
25.916666666666668,109
26,105
26.083333333333332,110
26.166666666666668,112
26.25,109
26.333333333333332,109
26.416666666666668,109
26.5,110
26.583333333333332,111
26.666666666666668,111
26.75,109
26.833333333333332,107
26.916666666666668,111
27,110
27.083333333333332,110
27.166666666666668,113
27.25,112
27.333333333333332,110
27.416666666666668,111
27.5,109
27.583333333333332,112
27.666666666666668,111
27.75,110
27.833333333333332,113
27.916666666666668,106
28,114
28.083333333333332,110
28.166666666666668,113
28.25,106
28.333333333333332,111
28.416666666666668,113
28.5,111
28.583333333333332,109
28.666666666666668,113
28.75,111
28.833333333333332,112
28.916666666666668,112
29,111
29.083333333333332,107
29.166666666666668,110
29.25,113
29.333333333333332,112
29.416666666666668,107
29.5,109
29.583333333333332,109
29.666666666666668,110
29.75,109
29.833333333333332,110
29.916666666666668,112
30,109
30.083333333333332,111
30.166666666666668,111
30.25,110
30.333333333333332,113
30.416666666666668,111
30.5,114
30.583333333333332,112
30.666666666666668,108
30.75,111
30.833333333333332,108
30.916666666666668,112
31,111
31.083333333333332,111
31.166666666666668,109
31.25,111
31.333333333333332,109
31.416666666666668,110
31.5,108
31.583333333333332,111
31.666666666666668,109
31.75,114
31.833333333333332,112
31.916666666666668,112
32,110
32.083333333333336,110
32.166666666666664,112
32.25,108
32.333333333333336,115
32.416666666666664,113
32.5,112
32.583333333333336,111
32.666666666666664,109
32.75,115
32.833333333333336,113
32.916666666666664,111
33,111
33.083333333333336,115
33.166666666666664,111
33.25,113
33.333333333333336,116
33.416666666666664,117
33.5,116
33.583333333333336,114
