"Hours since thread went live","High Card Season 2 - Episode 20 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,1
0.25,1
0.3333333333333333,2
0.4166666666666667,3
0.5,4
0.5833333333333334,4
0.6666666666666666,6
0.75,8
0.8333333333333334,7
0.9166666666666666,7
1,8
1.0833333333333333,9
1.1666666666666667,11
1.25,14
1.3333333333333333,14
1.4166666666666667,13
1.5,16
1.5833333333333333,17
1.6666666666666667,17
1.75,18
1.8333333333333333,17
1.9166666666666667,17
2,20
2.0833333333333335,20
2.1666666666666665,23
2.25,25
2.3333333333333335,24
2.4166666666666665,25
2.5,26
2.5833333333333335,27
2.6666666666666665,29
2.75,31
2.8333333333333335,29
2.9166666666666665,31
3,34
3.0833333333333335,33
3.1666666666666665,32
3.25,34
3.3333333333333335,34
3.4166666666666665,34
3.5,38
3.5833333333333335,40
3.6666666666666665,35
3.75,36
3.8333333333333335,39
3.9166666666666665,40
4,38
4.083333333333333,40
4.166666666666667,43
4.25,42
4.333333333333333,44
4.416666666666667,43
4.5,42
4.583333333333333,46
4.666666666666667,43
4.75,45
4.833333333333333,49
4.916666666666667,45
5,46
5.083333333333333,50
5.166666666666667,47
5.25,48
5.333333333333333,47
5.416666666666667,48
5.5,49
5.583333333333333,50
5.666666666666667,53
5.833333333333333,49
5.916666666666667,49
6,55
6.083333333333333,53
6.166666666666667,55
6.25,54
6.333333333333333,53
6.416666666666667,57
6.5,54
6.583333333333333,55
6.666666666666667,53
6.75,55
6.833333333333333,56
6.916666666666667,58
7,56
7.083333333333333,56
7.166666666666667,56
7.25,53
7.333333333333333,57
7.416666666666667,57
7.5,56
7.583333333333333,56
7.666666666666667,57
7.75,57
7.833333333333333,54
7.916666666666667,59
8,58
8.083333333333334,62
8.166666666666666,60
8.25,55
8.333333333333334,64
8.416666666666666,61
8.5,57
8.583333333333334,63
8.666666666666666,64
8.75,64
8.833333333333334,64
8.916666666666666,64
9,64
9.083333333333334,68
9.166666666666666,63
9.25,65
9.333333333333334,67
9.416666666666666,68
9.5,68
9.583333333333334,68
9.666666666666666,67
9.75,71
9.833333333333334,70
9.916666666666666,68
10,68
10.083333333333334,72
10.166666666666666,67
10.25,68
10.333333333333334,73
10.416666666666666,70
10.5,69
10.583333333333334,66
10.666666666666666,69
10.75,71
10.833333333333334,74
10.916666666666666,70
11,66
11.083333333333334,68
11.166666666666666,71
11.25,72
11.333333333333334,72
11.416666666666666,70
11.5,67
11.583333333333334,70
11.666666666666666,74
11.75,69
11.833333333333334,73
11.916666666666666,70
12,71
12.083333333333334,72
12.166666666666666,74
12.25,71
12.333333333333334,75
12.416666666666666,74
12.5,73
12.583333333333334,72
12.666666666666666,73
12.75,74
12.833333333333334,74
12.916666666666666,79
13,79
13.083333333333334,76
13.166666666666666,79
13.25,74
13.333333333333334,76
13.416666666666666,75
13.5,79
13.583333333333334,81
13.666666666666666,77
13.75,76
13.833333333333334,79
13.916666666666666,80
14,79
14.083333333333334,75
14.166666666666666,80
14.25,77
14.333333333333334,75
14.416666666666666,80
14.5,75
14.583333333333334,78
14.666666666666666,76
14.75,80
14.833333333333334,79
14.916666666666666,76
15,78
15.083333333333334,78
15.166666666666666,75
15.25,81
15.333333333333334,77
15.416666666666666,80
15.5,75
15.583333333333334,77
15.666666666666666,81
15.75,78
15.833333333333334,78
15.916666666666666,80
16,77
16.083333333333332,79
16.166666666666668,83
16.25,79
16.333333333333332,78
16.416666666666668,81
16.5,78
16.583333333333332,79
16.666666666666668,79
16.75,78
16.833333333333332,79
16.916666666666668,80
17,79
17.083333333333332,85
17.166666666666668,83
17.25,81
17.333333333333332,81
17.416666666666668,82
17.5,81
17.583333333333332,82
17.666666666666668,85
17.75,86
17.833333333333332,82
17.916666666666668,81
18,85
18.083333333333332,82
18.166666666666668,82
18.25,83
18.333333333333332,87
18.416666666666668,88
18.5,84
18.583333333333332,84
18.666666666666668,84
18.75,81
18.833333333333332,84
18.916666666666668,87
19,83
19.083333333333332,82
19.166666666666668,87
19.25,85
19.333333333333332,89
19.416666666666668,89
19.5,89
19.583333333333332,91
19.666666666666668,86
19.75,84
19.833333333333332,89
19.916666666666668,89
20,86
20.083333333333332,88
20.166666666666668,87
20.25,88
20.333333333333332,86
20.416666666666668,89
20.5,89
20.583333333333332,90
20.666666666666668,88
20.75,89
20.833333333333332,92
20.916666666666668,85
21,88
21.083333333333332,85
21.166666666666668,91
21.25,86
21.333333333333332,88
21.416666666666668,90
21.5,90
21.583333333333332,91
21.666666666666668,90
21.75,90
21.833333333333332,88
21.916666666666668,88
