"Hours since thread went live","Zom 100: Zombie ni Naru made ni Shitai 100 no Koto • Zom 100: Bucket List of the Dead - Episode 4 discussion"
0,1
0.08333333333333333,3
0.16666666666666666,3
0.25,4
0.3333333333333333,6
0.4166666666666667,6
0.5,8
0.5833333333333334,11
0.6666666666666666,16
0.75,19
0.8333333333333334,22
0.9166666666666666,27
1,32
1.0833333333333333,34
1.1666666666666667,40
1.25,44
1.3333333333333333,46
1.4166666666666667,46
1.5,47
1.5833333333333333,47
1.6666666666666667,49
1.75,48
1.8333333333333333,49
1.9166666666666667,50
2,49
2.0833333333333335,51
2.1666666666666665,50
2.25,50
2.3333333333333335,50
2.4166666666666665,51
2.5,50
2.5833333333333335,54
2.6666666666666665,53
2.75,54
2.8333333333333335,53
2.9166666666666665,54
3,53
3.0833333333333335,51
3.1666666666666665,53
3.25,54
3.3333333333333335,54
3.4166666666666665,52
3.5,50
3.5833333333333335,51
3.6666666666666665,53
3.75,54
3.8333333333333335,55
3.9166666666666665,57
4,53
4.083333333333333,55
4.166666666666667,54
4.25,53
4.333333333333333,52
4.416666666666667,50
4.5,52
4.583333333333333,57
4.666666666666667,53
4.75,54
4.833333333333333,55
4.916666666666667,53
5,53
5.083333333333333,51
5.166666666666667,55
5.25,52
5.333333333333333,52
5.416666666666667,49
5.5,53
5.583333333333333,52
5.666666666666667,51
5.75,57
5.833333333333333,56
5.916666666666667,52
6,55
6.083333333333333,63
6.166666666666667,64
6.25,69
6.333333333333333,75
6.416666666666667,83
6.5,88
6.583333333333333,95
6.666666666666667,104
6.75,113
6.833333333333333,115
6.916666666666667,126
7,137
7.083333333333333,147
7.166666666666667,157
7.25,166
7.333333333333333,181
7.416666666666667,189
7.5,198
7.583333333333333,219
7.666666666666667,222
7.75,239
7.833333333333333,240
7.916666666666667,256
8,265
8.083333333333334,271
8.166666666666666,281
8.25,294
8.333333333333334,295
8.416666666666666,306
8.5,322
8.583333333333334,339
8.666666666666666,344
8.75,357
8.833333333333334,365
8.916666666666666,378
9,388
9.083333333333334,401
9.166666666666666,415
9.25,433
9.333333333333334,437
9.416666666666666,443
9.5,458
9.583333333333334,472
9.666666666666666,475
9.75,489
9.833333333333334,500
9.916666666666666,511
10,526
10.083333333333334,538
10.166666666666666,559
10.25,569
10.333333333333334,593
10.416666666666666,609
10.5,621
10.583333333333334,637
10.666666666666666,651
10.75,656
10.833333333333334,668
10.916666666666666,676
11,691
11.083333333333334,708
11.166666666666666,721
11.25,730
11.333333333333334,738
11.416666666666666,753
11.5,754
11.583333333333334,774
11.666666666666666,782
11.75,801
11.833333333333334,810
11.916666666666666,822
12,826
12.083333333333334,836
12.166666666666666,851
12.25,858
12.333333333333334,872
12.416666666666666,873
12.5,885
12.583333333333334,896
12.666666666666666,909
12.75,920
12.833333333333334,932
12.916666666666666,942
13,951
13.083333333333334,962
13.166666666666666,970
13.25,970
13.333333333333334,984
13.416666666666666,999
13.5,1006
13.583333333333334,1024
13.666666666666666,1030
13.75,1047
13.833333333333334,1059
13.916666666666666,1066
14,1082
14.083333333333334,1093
14.166666666666666,1107
14.25,1114
14.333333333333334,1122
14.416666666666666,1133
14.5,1142
14.583333333333334,1149
14.666666666666666,1156
14.75,1168
14.833333333333334,1179
14.916666666666666,1194
15,1197
15.083333333333334,1208
15.166666666666666,1222
15.25,1232
15.333333333333334,1244
15.416666666666666,1251
15.5,1261
15.583333333333334,1277
15.666666666666666,1287
15.75,1296
15.833333333333334,1302
15.916666666666666,1316
16,1323
16.083333333333332,1323
16.166666666666668,1330
16.25,1334
16.333333333333332,1346
16.416666666666668,1348
16.5,1364
16.583333333333332,1369
16.666666666666668,1389
16.75,1395
16.833333333333332,1408
16.916666666666668,1418
17,1425
17.083333333333332,1434
17.166666666666668,1434
17.25,1451
17.333333333333332,1456
17.416666666666668,1460
17.5,1472
17.583333333333332,1479
17.666666666666668,1489
17.75,1496
17.833333333333332,1503
17.916666666666668,1514
18,1517
18.083333333333332,1529
18.166666666666668,1538
18.25,1545
18.333333333333332,1551
18.416666666666668,1567
18.5,1571
18.583333333333332,1578
18.666666666666668,1581
18.75,1587
18.833333333333332,1588
18.916666666666668,1597
19,1604
19.083333333333332,1611
19.166666666666668,1614
19.25,1622
19.333333333333332,1627
19.416666666666668,1635
19.5,1644
19.583333333333332,1657
19.666666666666668,1662
19.75,1673
19.833333333333332,1678
19.916666666666668,1679
20,1688
20.083333333333332,1690
20.166666666666668,1696
20.25,1705
20.333333333333332,1711
20.416666666666668,1719
20.5,1720
20.583333333333332,1737
20.666666666666668,1738
20.75,1740
20.833333333333332,1742
20.916666666666668,1739
21,1757
21.083333333333332,1763
21.166666666666668,1767
21.25,1773
21.333333333333332,1776
21.416666666666668,1779
21.5,1787
21.583333333333332,1789
21.666666666666668,1800
21.75,1810
21.833333333333332,1810
21.916666666666668,1808
