"Hours since thread went live","Undead Unluck - Episode 22 discussion"
30.25,668
30.333333333333332,667
30.416666666666668,667
30.5,666
30.583333333333332,673
30.666666666666668,671
30.75,673
30.833333333333332,670
30.916666666666668,669
31,671
31.083333333333332,671
31.166666666666668,673
31.25,669
31.333333333333332,670
31.416666666666668,673
31.5,676
31.583333333333332,675
31.666666666666668,674
31.75,680
31.833333333333332,673
31.916666666666668,676
32,679
32.083333333333336,679
32.166666666666664,681
32.25,678
32.333333333333336,672
32.416666666666664,680
32.5,679
32.583333333333336,676
32.666666666666664,676
32.75,671
32.833333333333336,677
32.916666666666664,679
33,675
33.083333333333336,672
33.166666666666664,675
33.25,682
33.333333333333336,680
33.416666666666664,679
33.5,673
33.583333333333336,677
33.666666666666664,680
33.75,677
33.833333333333336,682
33.916666666666664,676
34,674
34.083333333333336,676
34.166666666666664,681
34.25,682
34.333333333333336,674
34.416666666666664,678
34.5,677
34.583333333333336,680
34.666666666666664,678
34.75,680
34.833333333333336,677
34.916666666666664,676
35,679
35.083333333333336,681
35.166666666666664,679
35.25,683
35.333333333333336,681
35.416666666666664,673
35.5,676
35.583333333333336,675
35.666666666666664,680
35.75,680
35.833333333333336,678
35.916666666666664,678
36,681
36.083333333333336,678
36.166666666666664,675
36.25,680
36.333333333333336,677
36.416666666666664,680
36.5,677
36.583333333333336,683
36.666666666666664,683
36.75,678
36.833333333333336,682
36.916666666666664,685
37,684
37.083333333333336,685
37.166666666666664,683
37.25,682
37.333333333333336,686
37.416666666666664,686
37.5,682
37.583333333333336,682
37.666666666666664,683
37.75,684
37.833333333333336,678
37.916666666666664,683
38,684
38.083333333333336,684
38.166666666666664,680
38.25,682
38.333333333333336,680
38.416666666666664,683
38.5,686
38.583333333333336,685
38.666666666666664,683
38.75,682
38.833333333333336,687
38.916666666666664,691
39,686
39.083333333333336,689
39.166666666666664,690
39.25,684
39.333333333333336,688
39.416666666666664,686
39.5,684
39.583333333333336,683
39.666666666666664,692
39.75,689
39.833333333333336,687
39.916666666666664,690
40,690
40.083333333333336,686
40.166666666666664,688
40.25,687
40.333333333333336,691
40.416666666666664,689
40.5,683
40.583333333333336,686
40.666666666666664,692
40.75,685
40.833333333333336,688
40.916666666666664,688
41,690
41.083333333333336,695
41.166666666666664,691
41.25,693
41.333333333333336,687
41.416666666666664,685
41.5,690
41.583333333333336,692
41.666666666666664,689
41.75,689
41.833333333333336,689
41.916666666666664,690
42,685
42.083333333333336,692
42.166666666666664,693
42.25,695
42.333333333333336,689
42.416666666666664,692
42.5,690
42.583333333333336,686
42.666666666666664,692
42.75,691
42.833333333333336,694
42.916666666666664,692
43,696
43.083333333333336,689
43.166666666666664,697
43.25,693
43.333333333333336,692
43.416666666666664,697
43.5,698
43.583333333333336,695
43.666666666666664,695
43.75,690
43.833333333333336,692
43.916666666666664,693
44,697
44.083333333333336,696
44.166666666666664,699
44.25,696
44.333333333333336,691
44.416666666666664,693
44.5,696
44.583333333333336,699
44.666666666666664,696
44.75,698
44.833333333333336,697
44.916666666666664,700
45,697
45.083333333333336,703
45.166666666666664,699
45.25,694
45.333333333333336,699
45.416666666666664,699
45.5,698
45.583333333333336,696
45.666666666666664,701
45.75,704
45.833333333333336,699
45.916666666666664,703
46,702
46.083333333333336,697
46.166666666666664,704
46.25,701
46.333333333333336,702
46.416666666666664,706
46.5,699
46.583333333333336,700
46.666666666666664,707
46.75,708
46.833333333333336,703
46.916666666666664,702
47,702
47.083333333333336,703
47.166666666666664,702
47.25,706
47.333333333333336,704
47.416666666666664,703
47.5,706
47.583333333333336,700
47.666666666666664,705
47.75,709
47.833333333333336,707
47.916666666666664,705
