"Hours since thread went live","Kimetsu no Yaiba: Yuukaku-hen - Episode 6 discussion"
0,3
0.08333333333333333,20
0.16666666666666666,57
0.25,111
0.3333333333333333,159
0.4166666666666667,226
0.5,304
0.5833333333333334,394
0.6666666666666666,471
0.75,549
0.8333333333333334,637
0.9166666666666666,748
1,838
1.0833333333333333,918
1.1666666666666667,1012
1.25,1091
1.3333333333333333,1195
1.4166666666666667,1274
1.5,1366
1.5833333333333333,1465
1.6666666666666667,1533
1.75,1623
1.8333333333333333,1713
1.9166666666666667,1816
2,1898
2.0833333333333335,1988
2.1666666666666665,2079
2.25,2170
2.3333333333333335,2247
2.4166666666666665,2333
2.5,2414
2.5833333333333335,2493
2.6666666666666665,2577
2.75,2655
2.8333333333333335,2748
2.9166666666666665,2812
3,2889
3.0833333333333335,2949
3.1666666666666665,3030
3.25,3099
3.3333333333333335,3172
3.4166666666666665,3224
3.5,3312
3.5833333333333335,3369
3.6666666666666665,3439
3.75,3499
3.8333333333333335,3576
3.9166666666666665,3646
4,3694
4.083333333333333,3756
4.166666666666667,3829
4.25,3879
4.333333333333333,3921
4.416666666666667,4001
4.5,4047
4.583333333333333,4122
4.666666666666667,4185
4.75,4246
4.833333333333333,4314
4.916666666666667,4383
5,4439
5.083333333333333,4485
5.166666666666667,4533
5.25,4593
5.333333333333333,4649
5.416666666666667,4714
5.5,4763
5.583333333333333,4836
5.666666666666667,4899
5.75,4934
5.833333333333333,4981
5.916666666666667,5018
6,5070
6.083333333333333,5116
6.166666666666667,5149
6.25,5206
6.333333333333333,5252
6.416666666666667,5286
6.5,5304
6.583333333333333,5338
6.666666666666667,5391
6.75,5410
6.833333333333333,5447
6.916666666666667,5503
7,5531
7.083333333333333,5568
7.166666666666667,5594
7.25,5643
7.333333333333333,5675
7.416666666666667,5704
7.5,5726
7.583333333333333,5755
7.666666666666667,5796
7.75,5818
7.833333333333333,5851
7.916666666666667,5882
8,5902
8.083333333333334,5927
8.166666666666666,5965
8.25,5989
8.333333333333334,6020
8.416666666666666,6049
8.5,6082
8.583333333333334,6116
8.666666666666666,6141
8.75,6161
8.833333333333334,6188
8.916666666666666,6219
9,6238
9.083333333333334,6265
9.166666666666666,6301
9.25,6325
9.333333333333334,6355
9.416666666666666,6383
9.5,6403
9.583333333333334,6423
9.666666666666666,6439
