"Hours since thread went live","Ninja Kamui - Episode 11 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,2
0.6666666666666666,3
0.75,3
0.8333333333333334,4
0.9166666666666666,4
1,4
1.0833333333333333,4
1.1666666666666667,4
1.25,3
1.3333333333333333,5
1.4166666666666667,4
1.5,4
1.5833333333333333,5
1.6666666666666667,4
1.75,5
1.8333333333333333,7
1.9166666666666667,8
2,8
2.0833333333333335,7
2.1666666666666665,8
2.25,7
2.3333333333333335,8
2.4166666666666665,9
2.5,8
2.5833333333333335,9
2.6666666666666665,9
2.75,12
2.8333333333333335,13
2.9166666666666665,14
3,13
3.0833333333333335,13
3.1666666666666665,13
3.25,15
3.3333333333333335,15
3.4166666666666665,13
3.5,15
3.5833333333333335,14
3.6666666666666665,15
3.75,15
3.8333333333333335,19
3.9166666666666665,16
4,16
4.083333333333333,20
4.166666666666667,18
4.25,21
4.333333333333333,21
4.416666666666667,20
4.5,19
4.583333333333333,22
4.666666666666667,22
4.75,19
4.833333333333333,22
4.916666666666667,21
5,24
5.083333333333333,26
5.166666666666667,26
5.25,26
5.333333333333333,28
5.416666666666667,25
5.5,27
5.583333333333333,26
5.666666666666667,29
5.75,28
5.833333333333333,30
5.916666666666667,31
6,30
6.083333333333333,36
6.166666666666667,35
6.25,38
6.333333333333333,36
6.416666666666667,35
6.5,34
6.583333333333333,39
6.666666666666667,35
6.75,41
6.833333333333333,43
6.916666666666667,35
7,35
7.083333333333333,36
7.166666666666667,38
7.25,39
7.333333333333333,43
7.416666666666667,44
7.5,40
7.583333333333333,42
7.666666666666667,41
7.75,41
7.833333333333333,45
7.916666666666667,47
8,44
8.083333333333334,44
8.166666666666666,41
8.25,46
8.333333333333334,49
8.416666666666666,46
8.5,47
8.583333333333334,48
8.666666666666666,49
8.75,48
8.833333333333334,47
8.916666666666666,48
9,54
9.083333333333334,50
9.166666666666666,52
9.25,54
9.333333333333334,48
9.416666666666666,50
9.5,57
9.583333333333334,52
9.666666666666666,52
9.75,55
9.833333333333334,51
9.916666666666666,53
10,58
10.083333333333334,58
10.166666666666666,53
10.25,58
10.333333333333334,54
10.416666666666666,55
10.5,57
10.583333333333334,59
10.666666666666666,60
10.75,59
10.833333333333334,61
10.916666666666666,57
11,57
11.083333333333334,60
11.166666666666666,60
11.25,61
11.333333333333334,61
11.416666666666666,58
11.5,61
11.583333333333334,66
11.666666666666666,64
11.75,63
11.833333333333334,64
11.916666666666666,63
12,68
12.083333333333334,65
12.166666666666666,66
12.25,64
12.333333333333334,65
12.416666666666666,68
12.5,68
12.583333333333334,68
12.666666666666666,68
12.75,70
12.833333333333334,70
12.916666666666666,70
13,71
13.083333333333334,71
13.166666666666666,72
13.25,70
13.333333333333334,69
13.416666666666666,68
13.5,68
13.583333333333334,70
13.666666666666666,76
13.75,74
13.833333333333334,74
13.916666666666666,70
14,73
14.083333333333334,71
14.166666666666666,71
14.25,72
14.333333333333334,72
14.416666666666666,71
14.5,69
14.583333333333334,76
14.666666666666666,78
14.75,77
14.833333333333334,74
14.916666666666666,74
15,77
15.083333333333334,79
15.166666666666666,76
15.25,78
15.333333333333334,75
15.416666666666666,78
15.5,77
15.583333333333334,76
15.666666666666666,76
15.75,76
15.833333333333334,76
15.916666666666666,80
16,77
16.083333333333332,79
16.166666666666668,82
16.25,81
16.333333333333332,81
16.416666666666668,81
16.5,80
16.666666666666668,79
16.75,79
16.833333333333332,80
16.916666666666668,81
17,82
17.083333333333332,85
17.166666666666668,82
17.25,84
17.333333333333332,81
17.416666666666668,86
17.5,82
17.583333333333332,82
17.666666666666668,85
17.75,83
17.833333333333332,87
17.916666666666668,87
18,85
18.083333333333332,89
18.166666666666668,83
18.25,89
18.333333333333332,91
18.416666666666668,85
18.5,89
18.583333333333332,92
18.666666666666668,91
18.75,88
18.833333333333332,88
18.916666666666668,91
19,90
19.083333333333332,92
19.166666666666668,89
19.25,92
19.333333333333332,89
19.416666666666668,90
19.5,90
19.583333333333332,94
19.666666666666668,89
19.75,89
19.833333333333332,90
19.916666666666668,92
20,90
20.083333333333332,88
20.166666666666668,92
20.25,90
20.333333333333332,91
20.416666666666668,95
20.5,90
20.583333333333332,88
20.666666666666668,88
20.75,92
20.833333333333332,90
20.916666666666668,95
21,89
21.083333333333332,96
21.166666666666668,92
21.25,89
21.333333333333332,93
21.416666666666668,95
21.5,92
21.583333333333332,96
21.666666666666668,90
21.75,96
21.833333333333332,89
21.916666666666668,96
22,89
22.083333333333332,94
22.166666666666668,94
22.25,92
22.333333333333332,94
22.416666666666668,91
22.5,94
22.583333333333332,94
22.666666666666668,93
22.75,92
22.833333333333332,96
22.916666666666668,96
23,94
23.083333333333332,97
23.166666666666668,92
23.25,95
23.333333333333332,98
23.416666666666668,96
23.5,94
23.583333333333332,97
23.666666666666668,94
23.75,96
23.833333333333332,95
23.916666666666668,95
24,95
24.083333333333332,100
24.166666666666668,99
24.25,98
24.333333333333332,96
24.416666666666668,98
24.5,94
24.583333333333332,101
24.666666666666668,97
24.75,97
24.833333333333332,98
24.916666666666668,94
25,95
25.083333333333332,97
25.166666666666668,94
25.25,96
25.333333333333332,96
25.416666666666668,96
25.5,99
25.583333333333332,101
25.666666666666668,97
25.75,95
25.833333333333332,98
25.916666666666668,97
26,101
26.083333333333332,100
26.166666666666668,97
26.25,98
26.333333333333332,100
26.416666666666668,98
26.5,100
26.583333333333332,99
26.666666666666668,96
26.75,98
26.833333333333332,100
26.916666666666668,95
27,97
27.083333333333332,97
27.166666666666668,98
27.25,100
27.333333333333332,100
27.416666666666668,97
27.5,97
27.583333333333332,99
27.666666666666668,100
27.75,95
27.833333333333332,99
27.916666666666668,100
28,99
28.083333333333332,97
28.166666666666668,97
28.25,100
28.333333333333332,98
28.416666666666668,101
28.5,100
28.583333333333332,97
28.666666666666668,98
28.75,98
28.833333333333332,99
28.916666666666668,102
29,99
29.083333333333332,99
29.166666666666668,98
29.25,102
29.333333333333332,102
29.416666666666668,103
29.5,106
29.583333333333332,101
29.666666666666668,105
29.75,105
29.833333333333332,101
29.916666666666668,102
30,101
30.083333333333332,103
30.166666666666668,103
30.25,102
30.333333333333332,99
30.416666666666668,104
30.5,102
30.583333333333332,106
30.666666666666668,100
30.75,101
30.833333333333332,103
30.916666666666668,101
31,101
31.083333333333332,100
31.166666666666668,103
31.25,100
31.333333333333332,105
31.416666666666668,98
31.5,100
31.583333333333332,102
31.666666666666668,99
31.75,100
31.833333333333332,104
31.916666666666668,101
32,98
32.083333333333336,100
32.166666666666664,100
32.25,103
32.333333333333336,106
32.416666666666664,98
32.5,103
32.583333333333336,100
32.666666666666664,104
32.75,99
32.833333333333336,99
32.916666666666664,105
33,104
33.083333333333336,103
33.166666666666664,104
33.25,102
33.333333333333336,103
33.416666666666664,103
33.5,104
33.583333333333336,101
33.666666666666664,106
33.75,100
33.833333333333336,102
33.916666666666664,106
34,103
34.083333333333336,104
34.166666666666664,105
34.25,102
34.333333333333336,102
34.416666666666664,102
34.5,101
34.583333333333336,106
34.666666666666664,103
34.75,106
34.833333333333336,105
34.916666666666664,105
35,104
35.083333333333336,106
35.166666666666664,106
35.25,103
35.333333333333336,102
35.416666666666664,106
35.5,106
35.583333333333336,101
35.666666666666664,106
35.75,106
35.833333333333336,104
35.916666666666664,105
36,102
36.083333333333336,105
36.166666666666664,105
36.25,105
36.333333333333336,102
36.416666666666664,106
36.5,105
36.583333333333336,105
36.666666666666664,104
36.75,102
36.833333333333336,108
36.916666666666664,103
37,107
37.083333333333336,103
37.166666666666664,107
37.25,108
37.333333333333336,108
37.416666666666664,108
37.5,106
37.583333333333336,106
37.666666666666664,109
37.75,108
37.833333333333336,105
37.916666666666664,107
38,105
38.083333333333336,105
38.166666666666664,106
38.25,103
38.333333333333336,102
38.416666666666664,104
38.5,104
38.583333333333336,108
38.666666666666664,106
38.75,109
38.833333333333336,104
38.916666666666664,105
39,107
39.083333333333336,106
39.75,103
39.833333333333336,108
