"Hours since thread went live","Boukyaku Battery • Oblivion Battery - Episode 2 discussion"
23.333333333333332,94
23.416666666666668,94
23.5,94
23.583333333333332,95
23.666666666666668,92
23.75,96
23.833333333333332,92
23.916666666666668,93
24,96
24.083333333333332,100
24.166666666666668,97
24.25,98
24.333333333333332,96
24.416666666666668,95
24.5,95
24.583333333333332,97
24.666666666666668,95
24.75,94
24.833333333333332,98
24.916666666666668,94
25,95
25.083333333333332,92
25.166666666666668,93
25.25,92
25.333333333333332,99
25.416666666666668,93
25.5,94
25.583333333333332,99
25.666666666666668,96
25.75,99
25.833333333333332,96
25.916666666666668,96
26,98
26.083333333333332,99
26.166666666666668,98
26.25,98
26.333333333333332,94
26.416666666666668,102
26.5,98
26.583333333333332,98
26.666666666666668,101
26.75,96
26.833333333333332,99
26.916666666666668,102
27,101
27.083333333333332,95
27.166666666666668,96
27.25,98
27.333333333333332,97
27.416666666666668,101
27.5,98
27.583333333333332,97
27.666666666666668,98
27.75,100
27.833333333333332,100
27.916666666666668,95
28,102
28.083333333333332,101
28.166666666666668,96
28.25,101
28.333333333333332,98
28.416666666666668,97
28.5,97
28.583333333333332,100
28.666666666666668,100
28.75,98
28.833333333333332,98
28.916666666666668,96
29,98
29.083333333333332,98
29.166666666666668,97
29.25,96
29.333333333333332,102
29.416666666666668,102
29.5,102
29.583333333333332,100
29.666666666666668,101
29.75,102
29.833333333333332,100
29.916666666666668,99
30,99
30.083333333333332,100
30.166666666666668,98
30.25,97
30.333333333333332,97
30.416666666666668,101
30.5,101
30.583333333333332,98
30.666666666666668,101
30.75,97
30.833333333333332,95
30.916666666666668,101
31,96
31.083333333333332,100
31.166666666666668,100
31.25,100
31.333333333333332,100
31.416666666666668,99
31.5,100
31.583333333333332,97
31.666666666666668,99
31.75,96
31.833333333333332,101
31.916666666666668,101
32,100
32.083333333333336,97
32.166666666666664,98
32.25,101
32.333333333333336,100
32.416666666666664,95
32.5,99
32.583333333333336,99
32.666666666666664,100
32.75,103
32.833333333333336,102
32.916666666666664,99
33,99
33.083333333333336,95
33.166666666666664,96
33.25,96
33.333333333333336,100
33.416666666666664,101
33.5,99
33.583333333333336,100
33.666666666666664,100
33.75,102
33.833333333333336,99
33.916666666666664,95
34,103
34.083333333333336,97
34.166666666666664,99
34.25,101
34.333333333333336,101
34.416666666666664,95
34.5,98
34.583333333333336,99
34.666666666666664,100
34.75,102
34.833333333333336,98
34.916666666666664,98
35,101
35.083333333333336,98
35.166666666666664,102
