"Hours since thread went live","Kingdom Season 5 - Episode 9 discussion"
0,2
0,2
0.08333333333333333,1
0.16666666666666666,2
0.25,1
0.3333333333333333,2
0.4166666666666667,3
0.5,3
0.5833333333333334,5
0.6666666666666666,7
0.75,8
0.8333333333333334,10
0.9166666666666666,11
1,11
1.0833333333333333,11
1.1666666666666667,12
1.25,13
1.3333333333333333,15
1.4166666666666667,18
1.5,19
1.5833333333333333,21
1.6666666666666667,22
1.75,25
1.8333333333333333,27
1.9166666666666667,29
2,31
2.0833333333333335,34
2.1666666666666665,34
2.25,34
2.3333333333333335,37
2.4166666666666665,39
2.5,38
2.5833333333333335,40
2.6666666666666665,39
2.75,42
2.8333333333333335,44
2.9166666666666665,39
3,41
3.0833333333333335,41
3.1666666666666665,41
3.25,43
3.3333333333333335,45
3.4166666666666665,45
3.5,46
3.5833333333333335,45
3.6666666666666665,45
3.75,48
3.8333333333333335,48
3.9166666666666665,50
4,51
4.083333333333333,49
4.166666666666667,51
4.25,48
4.333333333333333,53
4.416666666666667,54
4.5,49
4.583333333333333,50
4.666666666666667,48
4.75,53
4.833333333333333,55
4.916666666666667,50
5,50
5.083333333333333,55
5.166666666666667,55
5.25,51
5.333333333333333,54
5.416666666666667,55
5.5,58
5.583333333333333,54
5.666666666666667,56
5.75,55
5.833333333333333,58
5.916666666666667,54
6,59
6.083333333333333,61
6.166666666666667,59
6.25,57
6.333333333333333,59
6.416666666666667,62
6.5,60
6.583333333333333,56
6.666666666666667,64
6.75,64
6.833333333333333,63
6.916666666666667,63
7,61
7.083333333333333,62
7.166666666666667,58
7.25,63
7.333333333333333,63
7.416666666666667,66
7.5,67
7.583333333333333,65
7.666666666666667,65
7.75,68
7.833333333333333,71
7.916666666666667,72
8,71
8.083333333333334,70
8.166666666666666,72
8.25,70
8.333333333333334,71
8.416666666666666,69
8.5,72
8.583333333333334,71
8.666666666666666,74
8.75,76
8.833333333333334,72
8.916666666666666,78
9,78
9.083333333333334,74
9.166666666666666,78
9.25,76
9.333333333333334,75
9.416666666666666,80
9.5,77
9.583333333333334,81
9.666666666666666,81
9.75,78
9.833333333333334,79
9.916666666666666,82
10,84
10.083333333333334,85
10.166666666666666,87
10.25,87
10.333333333333334,90
10.416666666666666,90
10.5,86
10.583333333333334,86
10.666666666666666,87
10.75,87
10.833333333333334,88
10.916666666666666,88
11,90
11.083333333333334,90
11.166666666666666,89
11.25,90
11.333333333333334,89
11.416666666666666,93
11.5,93
11.583333333333334,94
11.666666666666666,94
11.75,93
11.833333333333334,94
11.916666666666666,94
12,90
12.083333333333334,96
12.166666666666666,97
12.25,98
12.333333333333334,99
12.416666666666666,100
12.5,93
12.583333333333334,96
12.666666666666666,101
12.75,99
12.833333333333334,99
12.916666666666666,102
13,97
13.083333333333334,105
13.166666666666666,102
13.25,105
13.333333333333334,101
13.416666666666666,99
13.5,105
13.583333333333334,106
13.666666666666666,102
13.75,108
13.833333333333334,104
13.916666666666666,107
14,103
14.083333333333334,102
14.166666666666666,105
14.25,105
14.333333333333334,103
14.416666666666666,104
14.5,108
14.583333333333334,106
14.666666666666666,110
14.75,107
14.833333333333334,108
14.916666666666666,108
15,111
15.083333333333334,108
15.166666666666666,111
15.25,106
15.333333333333334,110
15.416666666666666,108
15.5,107
15.583333333333334,108
15.666666666666666,109
15.75,110
15.833333333333334,107
15.916666666666666,109
16,108
16.083333333333332,111
16.166666666666668,113
16.25,110
16.333333333333332,107
16.416666666666668,109
16.5,111
16.583333333333332,116
16.666666666666668,111
16.75,112
16.833333333333332,109
16.916666666666668,115
17,114
17.083333333333332,115
17.166666666666668,114
17.25,114
17.333333333333332,117
