"Hours since thread went live","Shingeki no Kyojin: The Final Season - Episode 75 discussion - FINAL"
18.833333333333332,17027
18.916666666666668,17038
19,17053
19.083333333333332,17065
19.166666666666668,17080
19.25,17088
19.333333333333332,17093
19.416666666666668,17096
19.5,17117
19.583333333333332,17129
19.666666666666668,17143
19.75,17161
19.833333333333332,17176
19.916666666666668,17174
20,17187
20.083333333333332,17203
20.166666666666668,17223
20.25,17230
20.333333333333332,17250
20.416666666666668,17257
20.5,17269
20.583333333333332,17278
20.666666666666668,17279
20.75,17288
20.833333333333332,17297
20.916666666666668,17316
21,17331
21.083333333333332,17346
21.166666666666668,17360
21.25,17360
21.333333333333332,17377
21.416666666666668,17383
21.5,17387
21.583333333333332,17410
21.666666666666668,17414
21.75,17432
21.833333333333332,17436
21.916666666666668,17444
22,17457
22.083333333333332,17457
22.166666666666668,17475
22.25,17486
22.333333333333332,17491
22.416666666666668,17508
22.5,17522
22.583333333333332,17538
22.666666666666668,17550
22.75,17556
22.833333333333332,17570
22.916666666666668,17571
23,17581
23.083333333333332,17582
23.166666666666668,17585
23.25,17600
23.333333333333332,17598
23.416666666666668,17614
23.5,17627
23.583333333333332,17629
23.666666666666668,17636
23.75,17645
23.833333333333332,17649
23.916666666666668,17658
24,17670
24.083333333333332,17675
24.166666666666668,17681
24.25,17692
24.333333333333332,17700
24.416666666666668,17701
24.5,17711
24.583333333333332,17724
24.666666666666668,17731
24.75,17740
24.833333333333332,17754
24.916666666666668,17767
25,17771
25.083333333333332,17785
25.166666666666668,17782
25.25,17801
25.333333333333332,17794
25.416666666666668,17801
25.5,17816
25.583333333333332,17821
25.666666666666668,17829
25.75,17837
25.833333333333332,17840
25.916666666666668,17849
26,17845
26.083333333333332,17861
26.166666666666668,17855
26.25,17875
26.333333333333332,17869
26.416666666666668,17886
26.5,17886
26.583333333333332,17891
26.666666666666668,17895
26.75,17904
26.833333333333332,17904
26.916666666666668,17909
27,17923
27.083333333333332,17925
27.166666666666668,17932
27.25,17930
27.333333333333332,17938
27.416666666666668,17955
27.5,17952
27.583333333333332,17966
27.666666666666668,17957
27.75,17967
27.833333333333332,17980
27.916666666666668,17979
28,17995
28.083333333333332,17999
28.166666666666668,18002
28.25,18007
28.333333333333332,18015
28.416666666666668,18018
28.5,18027
28.583333333333332,18032
28.666666666666668,18036
28.75,18047
28.833333333333332,18045
28.916666666666668,18049
29,18050
29.083333333333332,18054
29.166666666666668,18055
29.25,18065
29.333333333333332,18072
29.416666666666668,18070
29.5,18082
29.583333333333332,18080
29.666666666666668,18090
29.75,18088
29.833333333333332,18087
29.916666666666668,18097
30,18090
30.083333333333332,18097
30.166666666666668,18103
30.25,18110
30.333333333333332,18108
30.416666666666668,18112
30.5,18118
30.583333333333332,18121
30.666666666666668,18120
30.75,18128
30.833333333333332,18138
30.916666666666668,18137
31,18142
31.083333333333332,18145
31.166666666666668,18148
31.25,18148
31.333333333333332,18147
31.416666666666668,18157
31.5,18150
31.583333333333332,18164
31.666666666666668,18168
31.75,18163
31.833333333333332,18174
31.916666666666668,18181
32,18171
32.083333333333336,18179
32.166666666666664,18179
32.25,18176
32.333333333333336,18186
32.416666666666664,18187
32.5,18196
32.583333333333336,18198
32.666666666666664,18205
32.75,18203
32.833333333333336,18214
32.916666666666664,18215
33,18216
33.083333333333336,18215
33.166666666666664,18222
33.25,18219
33.333333333333336,18224
33.416666666666664,18232
33.5,18235
33.583333333333336,18228
33.666666666666664,18236
33.75,18241
33.833333333333336,18237
33.916666666666664,18245
34,18249
34.083333333333336,18249
34.166666666666664,18247
34.25,18254
34.333333333333336,18264
34.416666666666664,18260
34.5,18270
34.583333333333336,18266
34.666666666666664,18264
34.75,18271
34.833333333333336,18272
34.916666666666664,18278
35,18281
35.083333333333336,18281
35.166666666666664,18279
35.25,18283
35.333333333333336,18288
35.416666666666664,18299
35.5,18295
35.583333333333336,18290
35.666666666666664,18303
35.75,18305
35.833333333333336,18309
35.916666666666664,18306
36,18305
36.083333333333336,18305
36.166666666666664,18304
36.25,18307
36.333333333333336,18307
36.416666666666664,18314
36.5,18321
36.583333333333336,18323
36.666666666666664,18316
36.75,18322
36.833333333333336,18324
36.916666666666664,18323
37,18326
37.083333333333336,18322
37.166666666666664,18331
37.25,18336
37.333333333333336,18330
37.416666666666664,18340
37.5,18334
37.583333333333336,18347
37.666666666666664,18339
37.75,18346
37.833333333333336,18347
37.916666666666664,18350
38,18351
38.083333333333336,18357
38.166666666666664,18355
38.25,18349
38.333333333333336,18351
38.416666666666664,18351
38.5,18352
38.583333333333336,18356
38.666666666666664,18366
38.75,18363
38.833333333333336,18355
38.916666666666664,18366
39,18363
39.083333333333336,18363
39.166666666666664,18371
39.25,18372
39.333333333333336,18374
39.416666666666664,18368
39.5,18375
39.583333333333336,18372
39.666666666666664,18375
39.75,18374
39.833333333333336,18372
39.916666666666664,18382
40,18379
40.083333333333336,18383
40.166666666666664,18379
40.25,18383
40.333333333333336,18385
40.416666666666664,18394
40.5,18391
40.583333333333336,18390
40.666666666666664,18394
40.75,18391
40.833333333333336,18390
40.916666666666664,18397
41,18395
41.083333333333336,18397
41.166666666666664,18392
41.25,18400
41.333333333333336,18400
41.416666666666664,18402
41.5,18404
41.583333333333336,18402
41.666666666666664,18408
41.75,18412
41.833333333333336,18404
41.916666666666664,18413
42,18406
42.083333333333336,18417
42.166666666666664,18411
42.25,18410
42.333333333333336,18412
42.416666666666664,18412
42.5,18413
42.583333333333336,18415
42.666666666666664,18412
42.75,18418
42.833333333333336,18423
42.916666666666664,18419
43,18427
43.083333333333336,18424
43.166666666666664,18420
43.25,18432
43.333333333333336,18431
43.416666666666664,18425
43.5,18426
43.583333333333336,18433
43.666666666666664,18428
43.75,18435
43.833333333333336,18439
43.916666666666664,18436
44,18441
44.083333333333336,18440
44.166666666666664,18443
44.25,18444
44.333333333333336,18447
44.416666666666664,18451
44.5,18440
44.583333333333336,18444
44.666666666666664,18450
44.75,18454
44.833333333333336,18446
44.916666666666664,18454
45,18446
45.083333333333336,18443
45.166666666666664,18457
45.25,18455
45.333333333333336,18455
45.416666666666664,18459
45.5,18455
45.583333333333336,18462
45.666666666666664,18459
45.75,18457
45.833333333333336,18463
45.916666666666664,18464
46,18457
46.083333333333336,18460
46.166666666666664,18455
46.25,18455
46.333333333333336,18462
46.416666666666664,18460
46.5,18467
46.583333333333336,18471
46.666666666666664,18461
46.75,18462
46.833333333333336,18466
46.916666666666664,18472
47,18469
47.083333333333336,18473
47.166666666666664,18474
47.25,18474
47.333333333333336,18483
47.416666666666664,18480
47.5,18487
47.583333333333336,18486
47.666666666666664,18489
47.75,18489
47.833333333333336,18487
47.916666666666664,18490
