"Hours since thread went live","Boukyaku Battery • Oblivion Battery - Episode 5 discussion"
0,1
0,4
0.08333333333333333,5
0.16666666666666666,5
0.25,4
0.3333333333333333,5
0.4166666666666667,6
0.5,6
0.5833333333333334,7
0.6666666666666666,7
0.75,8
0.8333333333333334,9
0.9166666666666666,10
1,12
1.0833333333333333,12
1.1666666666666667,16
1.25,16
1.3333333333333333,14
1.4166666666666667,16
1.5,16
1.5833333333333333,18
1.6666666666666667,19
1.75,20
1.8333333333333333,20
1.9166666666666667,19
2,20
2.0833333333333335,20
2.1666666666666665,20
2.25,20
2.3333333333333335,19
2.4166666666666665,22
2.5,23
2.5833333333333335,24
2.6666666666666665,26
2.75,26
2.8333333333333335,24
2.9166666666666665,26
3,27
3.0833333333333335,26
3.1666666666666665,27
3.25,25
3.3333333333333335,28
3.4166666666666665,29
3.5,29
3.5833333333333335,28
3.6666666666666665,28
3.75,28
3.8333333333333335,31
3.9166666666666665,30
4,32
4.083333333333333,36
4.166666666666667,30
4.25,35
4.333333333333333,34
4.416666666666667,32
4.5,37
4.583333333333333,39
4.666666666666667,38
4.75,34
4.833333333333333,37
4.916666666666667,39
5,40
5.083333333333333,41
5.166666666666667,39
5.25,43
5.333333333333333,40
5.416666666666667,39
5.5,40
5.583333333333333,41
5.666666666666667,41
5.75,43
5.833333333333333,45
5.916666666666667,41
6,40
6.083333333333333,42
6.166666666666667,41
6.25,44
6.333333333333333,45
6.416666666666667,49
6.5,46
6.583333333333333,47
6.666666666666667,48
6.75,49
6.833333333333333,48
6.916666666666667,43
7,48
7.083333333333333,49
7.166666666666667,47
7.25,45
7.333333333333333,48
7.416666666666667,49
7.5,48
7.583333333333333,45
7.666666666666667,45
7.75,51
7.833333333333333,51
7.916666666666667,46
8,52
8.083333333333334,47
8.166666666666666,49
8.25,50
8.333333333333334,52
8.416666666666666,51
8.5,52
8.583333333333334,54
8.666666666666666,53
8.75,56
8.833333333333334,58
8.916666666666666,51
9,55
9.083333333333334,54
9.166666666666666,59
9.25,59
9.333333333333334,59
9.416666666666666,60
9.5,61
9.583333333333334,61
9.666666666666666,62
9.75,61
9.833333333333334,63
9.916666666666666,62
10,65
10.083333333333334,65
10.166666666666666,69
10.25,66
10.333333333333334,69
10.416666666666666,69
10.5,67
10.583333333333334,69
10.666666666666666,70
10.75,69
10.833333333333334,71
10.916666666666666,69
11,69
11.083333333333334,73
11.166666666666666,71
11.25,74
11.333333333333334,71
11.416666666666666,70
11.5,69
11.583333333333334,76
11.666666666666666,72
11.75,75
11.833333333333334,72
11.916666666666666,71
12,71
12.083333333333334,72
12.166666666666666,71
12.25,71
12.333333333333334,75
12.416666666666666,75
12.5,77
12.583333333333334,74
12.666666666666666,81
12.75,76
12.833333333333334,77
12.916666666666666,78
13,79
13.083333333333334,79
13.166666666666666,81
13.25,81
13.333333333333334,80
13.416666666666666,75
13.5,76
13.583333333333334,80
13.666666666666666,80
13.75,78
13.833333333333334,82
13.916666666666666,80
14,80
14.083333333333334,82
14.166666666666666,81
14.25,78
14.333333333333334,79
14.416666666666666,82
14.5,79
14.583333333333334,79
14.666666666666666,82
14.75,82
14.833333333333334,77
14.916666666666666,82
15,81
15.083333333333334,81
15.166666666666666,81
15.25,83
15.333333333333334,82
15.416666666666666,82
15.5,85
15.583333333333334,84
15.666666666666666,81
15.75,81
15.833333333333334,84
15.916666666666666,82
16,81
16.083333333333332,83
16.166666666666668,87
16.25,82
16.333333333333332,83
16.416666666666668,85
16.5,83
16.583333333333332,79
16.666666666666668,84
16.75,84
16.833333333333332,85
16.916666666666668,82
17,84
17.083333333333332,84
17.166666666666668,80
17.25,80
17.333333333333332,86
17.416666666666668,82
17.5,83
17.583333333333332,86
17.666666666666668,85
17.75,87
17.833333333333332,87
17.916666666666668,83
18,86
18.083333333333332,89
18.166666666666668,87
18.25,86
18.333333333333332,87
18.416666666666668,87
18.5,89
18.583333333333332,85
18.666666666666668,89
18.75,86
18.833333333333332,86
18.916666666666668,91
19,89
19.083333333333332,87
19.166666666666668,90
19.25,87
19.333333333333332,89
19.416666666666668,87
19.5,84
19.583333333333332,86
19.666666666666668,89
19.75,88
19.833333333333332,85
19.916666666666668,86
20,91
20.083333333333332,89
20.166666666666668,89
20.25,90
20.333333333333332,84
20.416666666666668,85
20.5,84
20.583333333333332,89
20.666666666666668,87
20.75,92
20.833333333333332,88
20.916666666666668,92
21,91
21.083333333333332,90
21.166666666666668,89
21.25,91
21.333333333333332,90
21.416666666666668,90
21.5,92
21.583333333333332,95
21.666666666666668,91
21.75,94
21.833333333333332,90
21.916666666666668,91
22,93
22.083333333333332,94
22.166666666666668,96
22.25,92
22.333333333333332,90
22.416666666666668,91
22.5,95
22.583333333333332,91
22.666666666666668,95
22.75,93
22.833333333333332,90
22.916666666666668,92
23,91
23.083333333333332,93
23.166666666666668,90
23.25,90
23.333333333333332,90
23.416666666666668,96
