"Hours since thread went live","Astro Note - Episode 1 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,3
0.25,4
0.3333333333333333,6
0.4166666666666667,6
0.5,7
0.5833333333333334,7
0.6666666666666666,7
0.75,8
0.8333333333333334,9
0.9166666666666666,8
1,8
1.0833333333333333,9
1.1666666666666667,11
1.25,12
1.3333333333333333,13
1.4166666666666667,17
1.5,18
1.5833333333333333,21
1.6666666666666667,22
1.75,21
1.8333333333333333,22
1.9166666666666667,23
2,24
2.0833333333333335,26
2.1666666666666665,26
2.25,25
2.3333333333333335,26
2.4166666666666665,28
2.5,30
2.5833333333333335,30
2.6666666666666665,30
2.75,29
2.8333333333333335,29
2.9166666666666665,30
3,35
3.0833333333333335,34
3.1666666666666665,37
3.25,36
3.3333333333333335,38
3.4166666666666665,37
3.5,38
3.5833333333333335,36
3.6666666666666665,38
3.75,38
3.8333333333333335,40
3.9166666666666665,37
4,42
4.083333333333333,40
4.166666666666667,42
4.25,38
4.333333333333333,43
4.416666666666667,47
4.5,46
4.583333333333333,46
4.666666666666667,52
4.75,51
4.833333333333333,48
4.916666666666667,53
5,51
5.083333333333333,51
5.166666666666667,50
5.25,48
5.333333333333333,49
5.416666666666667,56
5.5,56
5.583333333333333,57
5.666666666666667,54
5.75,53
5.833333333333333,54
5.916666666666667,51
6,53
6.083333333333333,55
6.166666666666667,56
6.25,56
6.333333333333333,58
6.416666666666667,58
6.5,58
6.583333333333333,60
6.666666666666667,63
6.75,64
6.833333333333333,62
6.916666666666667,64
7,59
7.083333333333333,65
7.166666666666667,61
7.25,61
7.333333333333333,59
7.416666666666667,60
7.5,60
7.583333333333333,63
7.666666666666667,63
7.75,65
7.833333333333333,66
7.916666666666667,66
8,67
8.083333333333334,62
8.166666666666666,62
8.25,65
8.333333333333334,65
8.416666666666666,65
8.5,67
8.583333333333334,64
8.666666666666666,70
8.75,68
8.833333333333334,66
8.916666666666666,66
9,64
9.083333333333334,68
9.166666666666666,65
9.25,68
9.333333333333334,67
9.416666666666666,70
9.5,70
9.583333333333334,73
9.666666666666666,71
9.75,71
9.833333333333334,72
9.916666666666666,73
10,77
10.083333333333334,73
10.166666666666666,75
10.25,74
10.333333333333334,78
10.416666666666666,77
10.5,78
10.583333333333334,75
10.666666666666666,77
10.75,79
10.833333333333334,77
10.916666666666666,76
11,75
11.083333333333334,78
11.166666666666666,77
11.25,74
11.333333333333334,77
11.416666666666666,77
11.5,76
11.583333333333334,80
11.666666666666666,81
11.75,77
11.833333333333334,76
11.916666666666666,79
12,81
12.083333333333334,82
12.166666666666666,82
12.25,80
12.333333333333334,79
12.416666666666666,78
12.5,85
12.583333333333334,80
12.666666666666666,82
12.75,86
12.833333333333334,82
12.916666666666666,84
13,86
13.083333333333334,85
13.166666666666666,84
13.25,86
13.333333333333334,86
13.416666666666666,87
13.5,84
13.583333333333334,84
13.666666666666666,88
13.75,91
13.833333333333334,85
13.916666666666666,90
14,88
14.083333333333334,87
14.166666666666666,86
14.25,91
14.333333333333334,91
14.416666666666666,86
14.5,85
14.583333333333334,89
14.666666666666666,92
14.75,91
14.833333333333334,95
14.916666666666666,90
15,90
15.083333333333334,90
15.166666666666666,88
15.25,91
15.333333333333334,94
15.416666666666666,91
15.5,94
15.583333333333334,92
15.666666666666666,91
15.75,96
15.833333333333334,89
15.916666666666666,91
16,93
16.083333333333332,93
16.166666666666668,94
16.25,90
16.333333333333332,92
16.416666666666668,91
16.5,90
16.583333333333332,93
16.666666666666668,90
16.75,94
16.833333333333332,93
16.916666666666668,92
17,91
17.083333333333332,93
17.166666666666668,93
17.25,94
17.333333333333332,92
17.416666666666668,93
17.5,92
17.583333333333332,94
17.666666666666668,94
17.75,90
17.833333333333332,91
17.916666666666668,95
18,92
18.083333333333332,91
18.166666666666668,88
18.25,96
18.333333333333332,96
18.416666666666668,91
18.5,95
18.583333333333332,94
18.666666666666668,93
18.75,91
18.833333333333332,97
18.916666666666668,95
19,89
19.083333333333332,91
19.166666666666668,93
19.25,92
19.333333333333332,94
19.416666666666668,95
19.5,95
19.583333333333332,89
19.666666666666668,89
19.75,89
19.833333333333332,92
19.916666666666668,92
20,89
20.083333333333332,90
20.166666666666668,89
20.25,92
20.333333333333332,92
20.416666666666668,88
20.5,92
20.583333333333332,92
20.666666666666668,92
20.75,91
20.833333333333332,91
21,93
21.083333333333332,92
21.166666666666668,92
21.25,95
21.333333333333332,94
21.416666666666668,97
21.5,94
21.583333333333332,98
21.666666666666668,93
21.75,94
21.833333333333332,98
21.916666666666668,95
22,96
22.083333333333332,97
22.166666666666668,100
22.25,99
22.333333333333332,97
22.416666666666668,94
22.5,95
22.583333333333332,98
22.666666666666668,94
22.75,97
22.833333333333332,99
22.916666666666668,99
23,97
23.083333333333332,98
23.166666666666668,98
23.25,102
23.333333333333332,97
23.416666666666668,99
23.5,100
23.583333333333332,97
23.666666666666668,100
23.75,96
23.833333333333332,94
23.916666666666668,95
24,97
24.083333333333332,100
24.166666666666668,102
24.25,100
24.333333333333332,97
24.416666666666668,100
24.5,103
24.583333333333332,101
24.666666666666668,97
24.75,101
24.833333333333332,97
24.916666666666668,100
25,102
25.083333333333332,104
25.166666666666668,101
25.25,96
25.333333333333332,101
25.416666666666668,99
25.5,101
25.583333333333332,97
25.666666666666668,97
25.75,99
25.833333333333332,104
25.916666666666668,99
26,100
26.083333333333332,98
26.166666666666668,97
26.25,98
26.333333333333332,100
26.416666666666668,99
26.5,101
26.583333333333332,97
26.666666666666668,101
26.75,99
26.833333333333332,102
26.916666666666668,98
27,102
27.083333333333332,102
27.166666666666668,102
27.25,100
27.333333333333332,102
27.416666666666668,100
27.5,96
27.583333333333332,103
27.666666666666668,98
27.75,98
27.833333333333332,98
27.916666666666668,102
28,98
28.083333333333332,96
28.166666666666668,99
28.25,101
28.333333333333332,97
28.416666666666668,100
28.5,100
28.583333333333332,100
28.666666666666668,97
28.75,97
28.833333333333332,101
28.916666666666668,99
29,102
29.083333333333332,102
29.166666666666668,103
29.25,102
29.333333333333332,99
29.416666666666668,101
29.5,103
29.583333333333332,99
29.666666666666668,100
29.75,98
29.833333333333332,101
29.916666666666668,99
30,100
30.083333333333332,101
30.166666666666668,104
30.25,100
30.333333333333332,101
30.416666666666668,103
30.5,102
30.583333333333332,101
30.666666666666668,99
30.75,99
30.833333333333332,103
30.916666666666668,100
31,101
31.083333333333332,101
31.166666666666668,101
31.25,97
31.333333333333332,102
31.416666666666668,102
31.5,102
31.583333333333332,101
31.666666666666668,103
31.75,99
31.833333333333332,98
31.916666666666668,100
32,100
32.083333333333336,102
32.166666666666664,103
32.25,100
32.333333333333336,101
32.416666666666664,99
32.5,101
32.583333333333336,99
32.666666666666664,97
32.75,100
32.833333333333336,99
32.916666666666664,100
33,98
33.083333333333336,102
33.166666666666664,101
33.25,101
33.333333333333336,103
33.416666666666664,98
33.5,100
33.583333333333336,104
33.666666666666664,102
33.75,103
33.833333333333336,101
33.916666666666664,105
34,101
34.083333333333336,97
34.166666666666664,99
34.25,102
34.333333333333336,106
34.416666666666664,99
34.5,102
34.583333333333336,103
34.666666666666664,102
34.75,106
34.833333333333336,101
34.916666666666664,102
35,98
35.083333333333336,103
35.166666666666664,105
35.25,102
35.333333333333336,102
35.416666666666664,103
35.5,102
35.583333333333336,105
35.666666666666664,104
35.75,102
35.833333333333336,105
35.916666666666664,103
36,105
36.083333333333336,102
36.166666666666664,101
36.25,102
36.333333333333336,106
36.416666666666664,103
36.5,100
36.583333333333336,103
36.666666666666664,103
36.75,103
36.833333333333336,106
36.916666666666664,104
37,99
37.083333333333336,102
37.166666666666664,101
37.25,102
37.333333333333336,100
37.416666666666664,102
37.5,102
37.583333333333336,102
37.666666666666664,105
37.75,100
37.833333333333336,103
37.916666666666664,103
38,104
38.083333333333336,104
38.166666666666664,103
38.25,105
38.333333333333336,103
38.416666666666664,104
38.5,102
38.583333333333336,102
38.666666666666664,100
38.75,101
38.833333333333336,101
38.916666666666664,102
39,102
39.083333333333336,106
39.166666666666664,103
39.25,102
