"Hours since thread went live","Spy x Family - Episode 6 discussion"
0,4
0,12
0.08333333333333333,46
0.16666666666666666,88
0.25,133
0.3333333333333333,254
0.4166666666666667,334
0.5,402
0.5833333333333334,477
0.6666666666666666,546
0.75,616
0.8333333333333334,727
0.9166666666666666,834
1,960
1.0833333333333333,1074
1.1666666666666667,1195
1.25,1327
1.3333333333333333,1443
1.4166666666666667,1572
1.5,1679
1.5833333333333333,1797
1.6666666666666667,1912
1.75,2020
1.8333333333333333,2128
1.9166666666666667,2219
2,2324
2.0833333333333335,2414
2.1666666666666665,2501
2.25,2592
2.3333333333333335,2690
2.4166666666666665,2779
2.5,2860
2.5833333333333335,2942
2.6666666666666665,3039
2.75,3130
2.8333333333333335,3215
2.9166666666666665,3296
3,3387
3.0833333333333335,3467
3.1666666666666665,3544
3.25,3600
3.3333333333333335,3674
3.4166666666666665,3768
3.5,3851
3.5833333333333335,3919
3.6666666666666665,3985
3.75,4050
3.8333333333333335,4131
3.9166666666666665,4190
4,4260
4.083333333333333,4328
4.166666666666667,4390
4.25,4455
4.333333333333333,4524
4.416666666666667,4578
4.5,4633
4.583333333333333,4680
4.666666666666667,4741
4.75,4787
4.833333333333333,4834
4.916666666666667,4895
5,4943
5.083333333333333,4996
5.166666666666667,5046
5.25,5082
5.333333333333333,5123
5.416666666666667,5175
5.5,5231
5.583333333333333,5269
5.666666666666667,5314
5.75,5355
5.833333333333333,5403
5.916666666666667,5456
6,5488
6.083333333333333,5520
6.166666666666667,5576
6.25,5609
6.333333333333333,5655
6.416666666666667,5685
6.5,5724
6.583333333333333,5770
6.666666666666667,5796
6.75,5832
6.833333333333333,5870
6.916666666666667,5923
7,5960
7.083333333333333,5996
7.166666666666667,6041
7.25,6067
7.333333333333333,6111
7.416666666666667,6147
7.5,6167
7.583333333333333,6227
7.666666666666667,6258
7.75,6301
7.833333333333333,6328
7.916666666666667,6370
8,6392
8.083333333333334,6428
8.166666666666666,6459
8.25,6486
8.333333333333334,6520
8.416666666666666,6556
8.5,6591
8.583333333333334,6626
8.666666666666666,6653
8.75,6694
8.833333333333334,6734
8.916666666666666,6768
9,6789
9.083333333333334,6819
9.166666666666666,6845
9.25,6874
9.333333333333334,6914
9.416666666666666,6946
9.5,6980
9.583333333333334,7006
9.666666666666666,7040
9.75,7075
9.833333333333334,7103
9.916666666666666,7123
10,7152
10.083333333333334,7180
10.166666666666666,7210
10.25,7237
10.333333333333334,7264
10.416666666666666,7290
10.5,7310
10.583333333333334,7337
10.666666666666666,7370
10.75,7403
10.833333333333334,7422
10.916666666666666,7457
11,7486
11.083333333333334,7510
11.166666666666666,7545
11.25,7577
11.333333333333334,7617
11.416666666666666,7632
11.5,7665
11.583333333333334,7689
11.666666666666666,7707
11.75,7735
11.833333333333334,7766
11.916666666666666,7785
12,7815
12.083333333333334,7824
12.166666666666666,7846
12.25,7875
12.333333333333334,7894
12.416666666666666,7905
12.5,7933
12.583333333333334,7954
12.666666666666666,7983
12.75,8020
12.833333333333334,8048
12.916666666666666,8056
13,8083
13.083333333333334,8115
13.166666666666666,8143
13.25,8177
13.333333333333334,8200
13.416666666666666,8219
13.5,8247
13.583333333333334,8271
13.666666666666666,8301
13.75,8320
13.833333333333334,8338
13.916666666666666,8352
14,8385
14.083333333333334,8410
14.166666666666666,8430
14.25,8439
14.333333333333334,8474
14.416666666666666,8499
14.5,8524
14.583333333333334,8558
14.666666666666666,8586
14.75,8600
14.833333333333334,8629
14.916666666666666,8639
15,8642
15.083333333333334,8670
15.166666666666666,8702
15.25,8710
15.333333333333334,8732
15.416666666666666,8749
15.5,8776
15.583333333333334,8797
15.666666666666666,8816
15.75,8836
15.833333333333334,8843
15.916666666666666,8860
16,8887
16.083333333333332,8893
16.166666666666668,8922
16.25,8939
16.333333333333332,8964
16.416666666666668,8977
16.5,8996
16.583333333333332,9018
16.666666666666668,9024
16.75,9035
16.833333333333332,9058
16.916666666666668,9072
17,9090
17.083333333333332,9100
17.166666666666668,9114
17.25,9136
17.333333333333332,9149
17.416666666666668,9174
17.5,9184
17.583333333333332,9188
17.666666666666668,9212
17.75,9234
17.833333333333332,9249
17.916666666666668,9266
18,9276
18.083333333333332,9292
18.166666666666668,9305
18.25,9330
18.333333333333332,9346
18.416666666666668,9353
18.5,9380
18.583333333333332,9388
18.666666666666668,9399
18.75,9415
18.833333333333332,9418
18.916666666666668,9432
19,9435
19.083333333333332,9434
19.166666666666668,9453
19.25,9457
19.333333333333332,9474
19.416666666666668,9490
19.5,9496
19.583333333333332,9498
19.666666666666668,9514
19.75,9516
19.833333333333332,9525
19.916666666666668,9529
20,9536
20.083333333333332,9546
20.166666666666668,9552
20.25,9565
20.333333333333332,9576
20.416666666666668,9581
20.5,9580
20.583333333333332,9597
20.666666666666668,9607
20.75,9614
20.833333333333332,9614
20.916666666666668,9631
21,9633
21.083333333333332,9645
21.166666666666668,9652
21.25,9667
21.333333333333332,9675
21.416666666666668,9680
21.5,9693
21.583333333333332,9693
21.666666666666668,9703
21.75,9725
21.833333333333332,9719
21.916666666666668,9728
22,9743
22.083333333333332,9757
22.166666666666668,9768
22.25,9768
22.333333333333332,9780
22.416666666666668,9787
22.5,9794
22.583333333333332,9806
22.666666666666668,9812
22.75,9824
