"Hours since thread went live","Dosanko Gal wa Namara Menkoi • Hokkaido Gals Are Super Adorable! - Episode 8 discussion"
0,1
0,0
0.08333333333333333,0
0.16666666666666666,1
0.25,1
0.3333333333333333,5
0.4166666666666667,8
0.5,12
0.5833333333333334,14
0.6666666666666666,17
0.75,19
0.8333333333333334,23
0.9166666666666666,27
1,33
1.0833333333333333,40
1.1666666666666667,45
1.25,47
1.3333333333333333,49
1.4166666666666667,51
1.5833333333333333,55
1.6666666666666667,59
1.75,62
1.8333333333333333,65
1.9166666666666667,67
2,70
2.0833333333333335,74
2.1666666666666665,77
2.25,78
2.3333333333333335,80
2.4166666666666665,81
2.5,82
2.5833333333333335,87
2.6666666666666665,91
2.75,99
2.8333333333333335,99
2.9166666666666665,99
3,104
3.0833333333333335,105
3.1666666666666665,107
3.25,109
3.3333333333333335,106
3.4166666666666665,108
3.5,110
3.5833333333333335,111
3.6666666666666665,113
3.75,116
3.8333333333333335,116
3.9166666666666665,117
4,125
4.083333333333333,126
4.166666666666667,125
4.25,130
4.333333333333333,134
4.416666666666667,132
4.5,132
4.583333333333333,131
4.666666666666667,132
4.75,136
4.833333333333333,138
4.916666666666667,146
5,143
5.083333333333333,147
5.166666666666667,152
5.25,151
5.333333333333333,148
5.416666666666667,153
5.5,157
5.583333333333333,155
5.666666666666667,157
5.75,160
5.833333333333333,161
5.916666666666667,162
6,160
6.083333333333333,164
6.166666666666667,162
6.25,165
6.333333333333333,165
6.416666666666667,162
6.5,169
6.583333333333333,167
6.666666666666667,174
6.75,175
6.833333333333333,178
6.916666666666667,178
7,177
7.083333333333333,178
7.166666666666667,186
7.25,188
7.333333333333333,186
7.416666666666667,192
7.5,191
7.583333333333333,195
7.666666666666667,193
7.75,193
7.833333333333333,195
7.916666666666667,197
8,197
8.083333333333334,196
8.166666666666666,195
8.25,200
8.333333333333334,202
8.416666666666666,198
8.5,203
8.583333333333334,204
8.666666666666666,206
8.75,210
8.833333333333334,206
8.916666666666666,207
9,205
9.083333333333334,210
9.166666666666666,210
9.25,215
9.333333333333334,216
9.416666666666666,216
9.5,218
9.583333333333334,217
9.666666666666666,218
9.75,223
9.833333333333334,224
9.916666666666666,228
10,228
10.083333333333334,226
10.166666666666666,225
10.25,223
10.333333333333334,225
10.416666666666666,227
10.5,226
10.583333333333334,228
10.666666666666666,228
10.75,231
10.833333333333334,229
10.916666666666666,232
11,232
11.083333333333334,234
11.166666666666666,237
11.25,239
11.333333333333334,235
11.416666666666666,237
11.5,241
11.583333333333334,243
11.666666666666666,241
11.75,239
11.833333333333334,245
11.916666666666666,246
12,243
12.083333333333334,241
12.166666666666666,250
12.25,247
12.333333333333334,246
12.416666666666666,245
12.5,250
12.583333333333334,247
12.666666666666666,253
12.75,253
12.833333333333334,251
12.916666666666666,255
13,255
13.083333333333334,256
13.166666666666666,256
13.25,258
13.333333333333334,255
13.416666666666666,257
13.5,264
13.583333333333334,259
13.666666666666666,260
13.75,260
13.833333333333334,260
13.916666666666666,262
14,264
14.083333333333334,265
14.166666666666666,263
14.25,264
14.333333333333334,262
14.416666666666666,266
14.5,265
14.583333333333334,265
14.666666666666666,264
14.75,267
14.833333333333334,265
14.916666666666666,264
15,269
15.083333333333334,267
15.166666666666666,268
15.25,269
15.333333333333334,268
15.416666666666666,272
15.5,270
15.583333333333334,273
15.666666666666666,276
15.75,274
15.833333333333334,275
15.916666666666666,275
16,276
16.083333333333332,273
16.166666666666668,277
16.25,277
16.333333333333332,276
16.416666666666668,271
16.5,278
16.583333333333332,277
16.666666666666668,272
16.75,273
16.833333333333332,277
16.916666666666668,276
17,275
17.083333333333332,277
17.166666666666668,280
17.25,276
17.333333333333332,282
17.416666666666668,281
17.5,281
17.583333333333332,278
17.666666666666668,280
17.75,279
17.833333333333332,283
17.916666666666668,280
18,284
18.083333333333332,285
18.166666666666668,281
18.25,284
18.333333333333332,280
18.416666666666668,288
18.5,286
18.583333333333332,286
18.666666666666668,286
18.75,283
18.833333333333332,288
18.916666666666668,287
19,285
19.083333333333332,287
19.166666666666668,287
19.25,285
19.333333333333332,283
19.416666666666668,285
19.5,285
19.583333333333332,287
19.666666666666668,289
19.75,289
19.833333333333332,286
19.916666666666668,285
20,291
20.083333333333332,286
20.166666666666668,290
20.25,293
20.333333333333332,291
20.416666666666668,291
20.5,289
20.583333333333332,289
20.666666666666668,289
20.75,290
20.833333333333332,296
20.916666666666668,295
21,292
21.083333333333332,294
21.166666666666668,295
21.25,294
21.333333333333332,291
21.416666666666668,295
21.5,293
21.583333333333332,299
21.666666666666668,296
21.75,297
21.833333333333332,298
21.916666666666668,297
22,298
22.083333333333332,298
22.166666666666668,301
22.25,303
22.333333333333332,305
22.416666666666668,306
22.5,303
22.583333333333332,303
22.666666666666668,309
22.75,303
22.833333333333332,301
22.916666666666668,302
23,301
23.083333333333332,299
23.166666666666668,299
23.25,304
23.333333333333332,305
23.416666666666668,302
23.5,303
23.583333333333332,309
23.666666666666668,299
23.75,304
23.833333333333332,302
23.916666666666668,304
24,302
24.083333333333332,308
24.166666666666668,305
24.25,308
24.333333333333332,300
24.416666666666668,311
24.5,305
24.583333333333332,306
24.666666666666668,306
24.75,307
24.833333333333332,312
24.916666666666668,304
25,312
25.083333333333332,307
25.166666666666668,307
25.25,307
25.333333333333332,307
25.416666666666668,311
25.5,310
25.583333333333332,314
25.666666666666668,310
25.75,308
25.833333333333332,311
25.916666666666668,308
26,309
26.083333333333332,312
26.166666666666668,314
26.25,311
26.333333333333332,312
26.416666666666668,317
26.5,317
26.583333333333332,320
26.666666666666668,312
26.75,311
26.833333333333332,314
26.916666666666668,313
27,311
27.083333333333332,311
27.166666666666668,318
27.25,309
27.333333333333332,312
27.416666666666668,316
27.5,316
27.583333333333332,313
27.666666666666668,315
27.75,316
27.833333333333332,312
27.916666666666668,312
28,311
28.083333333333332,314
28.166666666666668,321
28.25,313
28.333333333333332,319
28.416666666666668,321
28.5,318
28.583333333333332,316
28.666666666666668,319
28.75,320
28.833333333333332,318
28.916666666666668,320
29,319
29.083333333333332,320
29.166666666666668,323
29.25,318
29.333333333333332,314
29.416666666666668,316
29.5,318
29.583333333333332,317
29.666666666666668,322
29.75,325
29.833333333333332,322
29.916666666666668,319
30,321
30.083333333333332,318
30.166666666666668,318
30.25,322
30.333333333333332,317
30.416666666666668,324
30.5,323
30.583333333333332,327
30.666666666666668,323
30.75,325
30.833333333333332,328
30.916666666666668,320
31,317
31.083333333333332,325
31.166666666666668,323
31.25,328
31.333333333333332,327
31.416666666666668,323
31.5,322
31.583333333333332,322
31.666666666666668,327
31.75,324
31.833333333333332,324
31.916666666666668,324
32,324
32.083333333333336,325
32.166666666666664,327
32.25,324
32.333333333333336,321
32.416666666666664,327
32.5,324
32.583333333333336,330
32.666666666666664,332
32.75,326
32.833333333333336,326
32.916666666666664,328
33,331
33.083333333333336,329
33.166666666666664,334
33.25,332
33.333333333333336,331
33.416666666666664,323
33.5,329
33.583333333333336,325
33.666666666666664,324
33.75,332
33.833333333333336,330
33.916666666666664,330
34,333
34.083333333333336,324
34.166666666666664,329
34.25,331
34.333333333333336,328
34.416666666666664,335
34.5,326
34.583333333333336,329
34.666666666666664,333
34.75,332
34.833333333333336,335
34.916666666666664,332
35,333
35.083333333333336,336
35.166666666666664,330
35.25,338
35.333333333333336,331
35.416666666666664,327
35.5,330
35.583333333333336,331
35.666666666666664,335
35.75,334
35.833333333333336,331
35.916666666666664,330
36,339
36.083333333333336,330
36.166666666666664,334
36.25,338
36.333333333333336,331
36.416666666666664,333
36.5,337
36.583333333333336,338
36.666666666666664,332
36.75,332
36.833333333333336,332
36.916666666666664,334
37,329
37.083333333333336,335
37.166666666666664,337
37.25,331
37.333333333333336,332
37.416666666666664,330
37.5,335
37.583333333333336,336
37.666666666666664,335
37.75,331
37.833333333333336,333
37.916666666666664,333
38,328
38.083333333333336,335
38.166666666666664,331
38.25,336
38.333333333333336,331
38.416666666666664,337
38.5,337
38.583333333333336,336
38.666666666666664,338
38.75,337
38.833333333333336,331
38.916666666666664,332
39,334
39.083333333333336,331
39.166666666666664,331
39.25,331
39.333333333333336,333
39.416666666666664,327
39.5,333
39.583333333333336,330
39.666666666666664,332
39.75,333
39.833333333333336,328
39.916666666666664,335
40,337
40.083333333333336,337
40.166666666666664,335
40.25,337
40.333333333333336,332
40.416666666666664,337
40.5,332
40.583333333333336,334
40.666666666666664,332
40.75,333
40.833333333333336,334
40.916666666666664,331
41,334
41.083333333333336,335
41.166666666666664,335
41.25,334
41.333333333333336,338
41.416666666666664,333
41.5,331
41.583333333333336,333
41.666666666666664,340
41.75,335
41.833333333333336,332
41.916666666666664,331
42,328
42.083333333333336,336
42.166666666666664,336
42.25,334
42.333333333333336,333
42.416666666666664,333
42.5,332
42.583333333333336,334
42.666666666666664,340
42.75,332
42.833333333333336,337
42.916666666666664,329
43,334
43.083333333333336,331
43.166666666666664,341
43.25,336
43.333333333333336,340
43.416666666666664,332
43.5,334
43.583333333333336,337
43.666666666666664,333
43.75,331
43.833333333333336,336
43.916666666666664,333
44,335
44.083333333333336,333
44.166666666666664,334
44.25,333
44.333333333333336,334
44.416666666666664,339
44.5,342
44.583333333333336,340
44.666666666666664,333
44.75,340
44.833333333333336,340
44.916666666666664,336
45,335
45.083333333333336,340
45.166666666666664,340
45.25,337
45.333333333333336,337
45.416666666666664,336
45.5,337
45.583333333333336,339
45.666666666666664,336
45.75,339
45.833333333333336,337
45.916666666666664,336
46,340
46.083333333333336,332
46.166666666666664,337
46.25,340
46.333333333333336,341
46.416666666666664,336
46.5,338
46.583333333333336,337
46.75,339
46.833333333333336,338
46.916666666666664,338
47,339
47.083333333333336,343
47.166666666666664,343
47.25,338
47.333333333333336,338
47.416666666666664,341
47.5,336
47.583333333333336,333
47.666666666666664,336
47.75,342
47.833333333333336,332
47.916666666666664,338
