"Hours since thread went live","Shangri-La Frontier - Episode 24 discussion"
0,3
0.08333333333333333,5
0.16666666666666666,7
0.25,7
0.3333333333333333,11
0.4166666666666667,16
0.5,18
0.5833333333333334,20
0.6666666666666666,21
0.75,21
0.8333333333333334,28
0.9166666666666666,31
1,30
1.0833333333333333,40
1.1666666666666667,45
1.25,51
1.3333333333333333,53
1.4166666666666667,59
1.5,62
1.5833333333333333,68
1.6666666666666667,70
1.75,75
1.8333333333333333,76
1.9166666666666667,87
2,90
2.0833333333333335,90
2.1666666666666665,100
2.25,104
2.3333333333333335,106
2.4166666666666665,111
2.5,121
2.5833333333333335,126
2.6666666666666665,133
2.75,134
2.8333333333333335,139
2.9166666666666665,145
3,145
3.0833333333333335,153
3.1666666666666665,158
3.25,165
3.3333333333333335,168
3.4166666666666665,173
3.5,178
3.5833333333333335,180
3.6666666666666665,187
3.75,190
3.8333333333333335,196
3.9166666666666665,197
4,201
4.083333333333333,208
4.166666666666667,217
4.25,224
4.333333333333333,227
4.416666666666667,234
4.5,242
4.583333333333333,243
4.666666666666667,246
4.75,256
4.833333333333333,270
4.916666666666667,270
5,277
5.083333333333333,282
5.166666666666667,291
5.25,293
5.333333333333333,302
5.416666666666667,303
5.5,311
5.583333333333333,315
5.666666666666667,320
5.75,321
5.833333333333333,325
5.916666666666667,329
6,333
6.083333333333333,341
6.166666666666667,344
6.25,353
6.333333333333333,365
6.416666666666667,365
6.5,373
6.583333333333333,373
6.666666666666667,377
6.75,387
6.833333333333333,399
6.916666666666667,406
7,409
7.083333333333333,413
7.166666666666667,430
7.25,427
7.333333333333333,437
7.416666666666667,440
7.5,447
7.583333333333333,452
7.666666666666667,460
7.75,472
7.833333333333333,473
7.916666666666667,479
8,493
8.083333333333334,494
8.166666666666666,497
8.25,507
8.333333333333334,506
8.416666666666666,518
8.5,513
8.583333333333334,526
8.666666666666666,530
8.75,532
8.833333333333334,535
8.916666666666666,549
9,556
9.083333333333334,563
9.166666666666666,569
9.25,570
9.333333333333334,577
9.416666666666666,578
9.5,583
9.583333333333334,584
9.666666666666666,589
9.75,596
9.833333333333334,595
9.916666666666666,602
10,603
10.083333333333334,607
10.166666666666666,620
10.25,624
10.333333333333334,628
10.416666666666666,627
10.5,631
10.583333333333334,638
10.666666666666666,638
10.75,641
10.833333333333334,641
10.916666666666666,646
11,645
11.083333333333334,647
11.166666666666666,647
11.25,654
11.333333333333334,659
11.416666666666666,663
11.5,664
11.583333333333334,672
11.666666666666666,677
11.75,672
11.833333333333334,683
11.916666666666666,682
12,690
12.083333333333334,694
12.166666666666666,702
12.25,707
12.333333333333334,708
12.416666666666666,711
12.5,713
12.583333333333334,715
12.666666666666666,726
12.75,720
12.833333333333334,722
12.916666666666666,730
13,739
13.083333333333334,742
13.166666666666666,743
13.25,746
13.333333333333334,746
13.416666666666666,755
13.5,753
13.583333333333334,763
13.666666666666666,760
13.75,765
13.833333333333334,769
13.916666666666666,767
14,775
14.083333333333334,774
14.166666666666666,780
14.25,778
14.333333333333334,785
14.416666666666666,782
14.5,785
14.583333333333334,784
14.666666666666666,791
14.75,797
14.833333333333334,796
14.916666666666666,800
15,809
15.083333333333334,808
15.166666666666666,805
15.25,805
15.333333333333334,812
15.416666666666666,812
15.5,816
15.583333333333334,815
15.666666666666666,821
15.75,828
15.833333333333334,825
15.916666666666666,831
16,824
16.083333333333332,832
16.166666666666668,836
16.25,838
16.333333333333332,841
16.416666666666668,840
16.5,841
16.583333333333332,842
16.666666666666668,846
16.75,849
16.833333333333332,849
16.916666666666668,853
17,855
17.083333333333332,857
17.166666666666668,866
17.25,862
17.333333333333332,865
17.416666666666668,863
17.5,871
17.583333333333332,868
17.666666666666668,872
17.75,874
17.833333333333332,871
17.916666666666668,878
18,880
18.083333333333332,879
18.166666666666668,880
18.25,891
18.333333333333332,889
18.416666666666668,890
18.5,889
18.583333333333332,895
18.666666666666668,897
18.75,888
18.833333333333332,897
18.916666666666668,888
19,900
19.083333333333332,897
19.166666666666668,895
19.25,904
19.333333333333332,904
19.416666666666668,904
19.5,909
19.583333333333332,908
19.666666666666668,913
19.75,913
19.833333333333332,916
19.916666666666668,917
20,921
20.083333333333332,918
20.166666666666668,920
20.25,916
20.333333333333332,923
20.416666666666668,925
20.5,924
20.583333333333332,919
20.666666666666668,920
20.75,921
20.833333333333332,925
20.916666666666668,927
21,934
21.083333333333332,931
21.166666666666668,935
21.25,936
21.333333333333332,936
21.416666666666668,934
21.5,932
21.583333333333332,938
21.666666666666668,939
21.75,939
21.833333333333332,939
21.916666666666668,945
22,949
22.083333333333332,948
22.166666666666668,952
22.25,959
22.333333333333332,959
22.416666666666668,961
22.5,960
22.583333333333332,959
22.666666666666668,957
22.75,964
22.833333333333332,960
22.916666666666668,964
23,972
23.083333333333332,975
23.166666666666668,967
23.25,972
23.333333333333332,972
23.416666666666668,975
23.5,976
23.583333333333332,979
23.666666666666668,981
23.75,979
23.833333333333332,982
23.916666666666668,976
24,980
24.083333333333332,975
24.166666666666668,984
24.25,981
24.333333333333332,985
24.416666666666668,981
24.5,985
24.583333333333332,989
24.666666666666668,986
24.75,984
24.833333333333332,984
24.916666666666668,989
25,990
25.083333333333332,989
25.166666666666668,993
25.25,991
25.333333333333332,993
25.416666666666668,994
25.5,996
25.583333333333332,998
25.666666666666668,998
25.75,996
25.833333333333332,992
25.916666666666668,997
26,1000
26.083333333333332,1000
26.166666666666668,1002
26.25,999
26.333333333333332,997
26.416666666666668,999
26.5,1002
26.583333333333332,998
26.666666666666668,1008
26.75,1003
26.833333333333332,1007
26.916666666666668,1004
27,1004
27.083333333333332,1012
27.166666666666668,1012
27.25,1004
27.333333333333332,1010
27.416666666666668,1012
27.5,1011
27.583333333333332,1016
27.666666666666668,1010
27.75,1007
27.833333333333332,1012
27.916666666666668,1007
28,1013
28.083333333333332,1012
28.166666666666668,1008
28.25,1016
28.333333333333332,1017
28.416666666666668,1018
28.5,1017
28.583333333333332,1019
28.666666666666668,1015
28.75,1019
28.833333333333332,1021
28.916666666666668,1023
29,1022
29.083333333333332,1024
29.166666666666668,1020
29.25,1020
29.333333333333332,1023
29.416666666666668,1022
29.5,1024
29.583333333333332,1022
29.666666666666668,1019
29.75,1029
29.833333333333332,1023
29.916666666666668,1029
30,1029
30.083333333333332,1025
30.166666666666668,1034
30.25,1034
30.333333333333332,1034
30.416666666666668,1034
30.5,1038
30.583333333333332,1033
30.666666666666668,1033
30.75,1036
30.833333333333332,1036
30.916666666666668,1034
31,1037
31.083333333333332,1036
31.166666666666668,1034
31.25,1039
31.333333333333332,1038
31.416666666666668,1041
31.5,1041
31.583333333333332,1039
31.666666666666668,1044
31.75,1046
31.833333333333332,1047
31.916666666666668,1044
32,1047
32.083333333333336,1051
32.166666666666664,1045
32.25,1047
32.333333333333336,1055
32.416666666666664,1049
32.5,1056
32.583333333333336,1054
32.666666666666664,1057
32.75,1054
32.833333333333336,1054
32.916666666666664,1055
33,1059
33.083333333333336,1058
33.166666666666664,1052
33.25,1061
33.333333333333336,1058
33.416666666666664,1055
33.5,1057
33.583333333333336,1057
33.666666666666664,1054
33.75,1063
33.833333333333336,1061
33.916666666666664,1060
34,1056
34.083333333333336,1064
34.166666666666664,1056
34.25,1063
34.333333333333336,1060
34.416666666666664,1065
34.5,1057
34.583333333333336,1061
34.666666666666664,1062
34.75,1061
34.833333333333336,1060
34.916666666666664,1064
35,1063
35.083333333333336,1067
35.166666666666664,1068
35.25,1064
35.333333333333336,1061
35.416666666666664,1065
35.5,1065
35.583333333333336,1064
35.666666666666664,1070
35.75,1070
35.833333333333336,1064
35.916666666666664,1065
36,1063
36.083333333333336,1063
36.166666666666664,1072
36.25,1068
36.333333333333336,1065
36.416666666666664,1071
36.5,1072
36.583333333333336,1076
36.666666666666664,1073
36.75,1078
36.833333333333336,1074
36.916666666666664,1077
37,1072
37.083333333333336,1071
37.166666666666664,1075
37.25,1077
37.333333333333336,1079
37.416666666666664,1074
37.5,1077
37.583333333333336,1076
37.666666666666664,1080
37.75,1080
37.833333333333336,1084
37.916666666666664,1079
38,1084
38.083333333333336,1082
38.166666666666664,1082
38.25,1080
38.333333333333336,1081
38.416666666666664,1076
38.5,1081
38.583333333333336,1076
38.666666666666664,1084
38.75,1078
38.833333333333336,1084
38.916666666666664,1086
39,1085
39.083333333333336,1082
39.166666666666664,1083
39.25,1078
39.333333333333336,1082
39.416666666666664,1083
39.5,1079
39.583333333333336,1089
39.666666666666664,1082
39.75,1084
39.833333333333336,1085
