"Hours since thread went live","Megumi no Daigo: Kyuukoku no Orange • Firefighter Daigo: Rescuer in Orange - Episode 19 discussion"
38.833333333333336,36
38.916666666666664,34
39,37
39.083333333333336,39
39.166666666666664,35
39.25,32
39.333333333333336,36
39.416666666666664,33
39.5,33
39.583333333333336,35
39.666666666666664,37
39.75,35
39.833333333333336,36
39.916666666666664,34
40,34
40.083333333333336,33
40.166666666666664,37
40.25,32
40.333333333333336,35
40.416666666666664,35
40.5,37
40.583333333333336,36
40.666666666666664,35
40.75,35
40.833333333333336,39
40.916666666666664,32
41,31
41.083333333333336,36
41.166666666666664,33
41.25,38
41.333333333333336,37
41.416666666666664,33
41.5,35
41.583333333333336,38
41.666666666666664,34
41.75,37
41.833333333333336,36
41.916666666666664,37
42,32
42.083333333333336,39
42.166666666666664,32
42.25,33
42.333333333333336,37
42.416666666666664,39
42.5,32
42.583333333333336,36
42.666666666666664,34
42.75,34
42.833333333333336,36
42.916666666666664,36
43,34
43.083333333333336,37
43.166666666666664,35
43.25,34
43.333333333333336,35
43.416666666666664,37
43.5,34
43.583333333333336,31
43.666666666666664,36
43.75,35
43.833333333333336,31
43.916666666666664,32
44,34
44.083333333333336,36
44.166666666666664,38
44.25,38
44.333333333333336,36
44.416666666666664,35
44.5,34
44.583333333333336,39
44.666666666666664,35
44.75,38
44.833333333333336,35
44.916666666666664,33
45,39
45.083333333333336,38
45.166666666666664,35
45.25,34
45.333333333333336,33
45.416666666666664,36
45.5,37
45.583333333333336,38
45.666666666666664,35
45.75,33
45.833333333333336,36
45.916666666666664,35
46,35
46.083333333333336,33
46.166666666666664,34
46.25,35
46.333333333333336,38
46.416666666666664,38
46.5,34
46.583333333333336,38
46.666666666666664,31
46.75,34
46.833333333333336,36
46.916666666666664,32
47,33
47.083333333333336,37
47.166666666666664,34
47.25,35
47.333333333333336,31
47.416666666666664,36
47.5,37
47.583333333333336,33
47.666666666666664,35
47.75,38
47.833333333333336,34
47.916666666666664,35
