"Hours since thread went live","Seiyuu Radio no Uraomote • The Many Sides of Voice Actor Radio - Episode 6 discussion"
43.416666666666664,400
43.5,393
43.583333333333336,397
43.666666666666664,402
43.75,397
43.833333333333336,395
43.916666666666664,398
44,396
44.083333333333336,399
44.166666666666664,392
44.25,393
44.333333333333336,401
44.416666666666664,392
44.5,392
44.583333333333336,399
44.666666666666664,403
44.75,397
44.833333333333336,394
44.916666666666664,401
45,397
45.083333333333336,395
45.166666666666664,401
45.25,393
45.333333333333336,395
45.416666666666664,398
45.5,401
45.583333333333336,396
45.666666666666664,396
45.75,393
45.833333333333336,399
45.916666666666664,396
46,398
46.083333333333336,392
46.166666666666664,396
46.25,391
46.333333333333336,403
46.416666666666664,397
46.5,393
46.583333333333336,399
46.666666666666664,396
46.75,394
46.833333333333336,396
46.916666666666664,396
47,398
47.083333333333336,396
47.166666666666664,397
47.25,391
47.333333333333336,402
47.416666666666664,396
47.5,396
47.583333333333336,399
47.666666666666664,401
47.75,401
47.833333333333336,396
47.916666666666664,402
