"Hours since thread went live","Kuroshitsuji: Kishuku Gakkou-hen • Black Butler: Public School Arc - Episode 3 discussion"
39.083333333333336,108
39.166666666666664,111
39.25,105
39.333333333333336,111
39.416666666666664,109
39.5,111
39.583333333333336,108
39.666666666666664,112
39.75,110
39.833333333333336,107
39.916666666666664,107
40,110
40.083333333333336,111
40.166666666666664,110
40.25,106
40.333333333333336,110
40.416666666666664,109
40.5,110
40.583333333333336,114
40.666666666666664,109
40.75,111
40.833333333333336,110
40.916666666666664,109
41,112
41.083333333333336,112
41.166666666666664,110
41.25,114
41.333333333333336,113
41.416666666666664,108
41.5,109
41.583333333333336,108
41.666666666666664,107
41.75,108
41.833333333333336,107
41.916666666666664,113
42,111
42.083333333333336,113
42.166666666666664,108
42.25,111
42.333333333333336,109
42.416666666666664,113
42.5,108
42.583333333333336,110
42.666666666666664,109
42.75,108
42.833333333333336,111
42.916666666666664,112
43,110
43.083333333333336,109
43.166666666666664,110
43.25,113
43.333333333333336,109
43.416666666666664,110
43.5,107
43.583333333333336,110
43.666666666666664,112
43.75,109
43.833333333333336,109
43.916666666666664,107
44,112
44.083333333333336,112
44.166666666666664,111
44.25,111
44.333333333333336,110
44.416666666666664,110
44.5,107
44.583333333333336,109
44.666666666666664,112
44.75,106
44.833333333333336,110
44.916666666666664,111
45,107
45.083333333333336,108
45.166666666666664,111
45.25,110
45.333333333333336,107
45.416666666666664,110
45.5,113
45.583333333333336,107
45.666666666666664,109
45.75,110
45.833333333333336,106
45.916666666666664,110
46,108
46.083333333333336,112
46.166666666666664,109
46.25,112
46.333333333333336,110
46.416666666666664,111
46.5,114
46.583333333333336,109
46.666666666666664,110
46.75,111
46.833333333333336,112
46.916666666666664,112
47,113
47.083333333333336,110
47.166666666666664,112
47.25,109
47.333333333333336,107
47.416666666666664,110
47.5,110
47.583333333333336,109
47.666666666666664,109
47.75,110
47.833333333333336,111
47.916666666666664,107
