"Hours since thread went live","Wind Breaker - Episode 3 discussion"
0,1
0.08333333333333333,5
0.16666666666666666,9
0.25,12
0.3333333333333333,10
0.4166666666666667,12
0.5,17
0.5833333333333334,20
0.6666666666666666,21
0.75,24
0.8333333333333334,28
0.9166666666666666,32
1,41
1.0833333333333333,47
1.1666666666666667,52
1.25,58
1.3333333333333333,64
1.4166666666666667,69
1.5,75
1.5833333333333333,76
1.6666666666666667,84
1.75,89
1.8333333333333333,89
1.9166666666666667,95
2,105
2.0833333333333335,111
2.1666666666666665,114
2.25,121
2.3333333333333335,126
2.4166666666666665,126
2.5,127
2.5833333333333335,137
2.6666666666666665,138
2.75,144
2.8333333333333335,145
2.9166666666666665,151
3,158
3.0833333333333335,162
3.1666666666666665,160
3.25,170
3.3333333333333335,174
3.4166666666666665,179
3.5,182
3.5833333333333335,187
3.6666666666666665,191
3.75,198
3.8333333333333335,197
3.9166666666666665,200
4,202
4.083333333333333,202
4.166666666666667,206
4.25,212
4.333333333333333,216
4.416666666666667,217
4.5,223
4.583333333333333,226
4.666666666666667,223
4.75,227
4.833333333333333,230
4.916666666666667,230
5,238
5.083333333333333,238
5.166666666666667,240
5.25,249
5.333333333333333,246
5.416666666666667,250
5.5,258
5.583333333333333,260
5.666666666666667,261
5.75,265
5.833333333333333,265
5.916666666666667,268
6,270
6.083333333333333,268
6.166666666666667,274
6.25,278
6.333333333333333,283
6.416666666666667,280
6.5,284
6.583333333333333,286
6.666666666666667,292
6.75,296
6.833333333333333,291
6.916666666666667,296
7,302
7.083333333333333,301
7.166666666666667,307
7.25,302
7.333333333333333,306
7.416666666666667,311
7.5,309
7.583333333333333,310
7.666666666666667,313
7.75,321
7.833333333333333,327
7.916666666666667,325
8,324
8.083333333333334,329
8.166666666666666,333
8.25,333
8.333333333333334,334
8.416666666666666,344
8.5,341
8.583333333333334,343
8.666666666666666,346
8.75,343
8.833333333333334,351
8.916666666666666,347
9,350
9.083333333333334,349
9.166666666666666,349
9.25,353
9.333333333333334,361
9.416666666666666,360
9.5,356
9.583333333333334,361
9.666666666666666,360
9.75,363
9.833333333333334,367
9.916666666666666,363
10,368
10.083333333333334,369
10.166666666666666,372
10.25,372
10.333333333333334,374
10.416666666666666,376
10.5,377
10.583333333333334,377
10.666666666666666,380
10.75,389
10.833333333333334,390
10.916666666666666,392
11,393
11.083333333333334,395
11.166666666666666,402
11.25,398
11.333333333333334,400
11.416666666666666,400
11.5,411
11.583333333333334,413
11.666666666666666,418
11.75,422
11.833333333333334,417
11.916666666666666,422
12,427
12.083333333333334,424
12.166666666666666,431
12.25,432
12.333333333333334,426
12.416666666666666,436
12.5,432
12.583333333333334,439
12.666666666666666,440
12.75,440
12.833333333333334,440
12.916666666666666,439
13,442
13.083333333333334,441
13.166666666666666,450
13.25,444
13.333333333333334,443
13.416666666666666,447
13.5,448
13.583333333333334,442
13.666666666666666,448
13.75,451
13.833333333333334,450
13.916666666666666,451
14,447
14.083333333333334,446
14.166666666666666,453
14.25,456
14.333333333333334,454
14.416666666666666,459
14.5,453
14.583333333333334,456
14.666666666666666,456
14.75,460
14.833333333333334,456
14.916666666666666,457
15,464
15.083333333333334,464
15.166666666666666,461
15.25,463
15.333333333333334,466
15.416666666666666,465
15.5,464
15.583333333333334,474
15.666666666666666,472
15.75,468
15.833333333333334,472
15.916666666666666,478
16,477
16.083333333333332,484
16.166666666666668,488
16.25,492
16.333333333333332,488
16.416666666666668,492
16.5,487
16.583333333333332,485
16.666666666666668,486
16.75,495
16.833333333333332,492
16.916666666666668,490
17,495
17.083333333333332,497
17.166666666666668,502
17.25,498
17.333333333333332,501
17.416666666666668,496
17.5,500
17.583333333333332,498
17.666666666666668,502
17.75,503
17.833333333333332,505
17.916666666666668,499
18,504
18.083333333333332,504
18.166666666666668,504
18.25,507
18.333333333333332,512
18.416666666666668,509
18.5,512
18.583333333333332,515
18.666666666666668,511
18.75,511
18.833333333333332,512
18.916666666666668,516
19,522
19.083333333333332,515
19.166666666666668,515
19.25,518
19.333333333333332,520
19.416666666666668,519
19.5,521
19.583333333333332,517
19.666666666666668,518
19.75,520
19.833333333333332,515
19.916666666666668,524
20,522
20.083333333333332,523
20.166666666666668,528
20.25,529
20.333333333333332,530
20.416666666666668,537
20.5,533
20.583333333333332,533
20.666666666666668,529
20.75,529
20.833333333333332,534
20.916666666666668,535
21,534
21.083333333333332,532
21.166666666666668,539
21.25,536
21.333333333333332,541
21.416666666666668,545
21.5,541
21.583333333333332,544
21.666666666666668,544
21.75,547
21.833333333333332,541
21.916666666666668,541
22,548
22.083333333333332,545
22.166666666666668,548
22.25,544
22.333333333333332,545
22.416666666666668,551
22.5,548
22.583333333333332,548
22.666666666666668,550
22.75,550
22.833333333333332,551
22.916666666666668,551
23,551
23.083333333333332,553
23.166666666666668,553
23.25,555
23.333333333333332,556
23.416666666666668,561
23.5,557
23.583333333333332,556
23.666666666666668,560
23.75,557
23.833333333333332,562
23.916666666666668,564
24,570
24.083333333333332,562
24.166666666666668,567
24.25,569
24.333333333333332,570
24.416666666666668,567
24.5,568
24.583333333333332,576
24.666666666666668,567
24.75,569
24.833333333333332,572
24.916666666666668,568
25,573
25.083333333333332,579
25.166666666666668,569
25.25,576
25.333333333333332,581
25.416666666666668,578
25.5,579
25.583333333333332,571
25.666666666666668,574
25.75,580
25.833333333333332,578
25.916666666666668,579
26,577
26.083333333333332,580
26.166666666666668,574
26.25,579
26.333333333333332,579
26.416666666666668,582
26.5,585
26.583333333333332,583
26.666666666666668,590
26.75,585
26.833333333333332,582
26.916666666666668,578
27,583
27.083333333333332,585
27.166666666666668,587
27.25,584
27.333333333333332,584
27.416666666666668,591
27.5,586
27.583333333333332,581
27.666666666666668,589
27.75,586
27.833333333333332,588
27.916666666666668,586
28,591
28.083333333333332,593
28.166666666666668,588
28.25,589
28.333333333333332,590
28.416666666666668,585
28.5,589
28.583333333333332,591
28.666666666666668,588
28.75,594
28.833333333333332,596
28.916666666666668,591
29,597
29.083333333333332,593
29.166666666666668,590
29.25,599
29.333333333333332,591
29.416666666666668,597
29.5,591
29.583333333333332,592
29.666666666666668,595
29.75,592
29.833333333333332,595
29.916666666666668,596
30,600
30.083333333333332,597
30.166666666666668,601
