"Hours since thread went live","Unnamed Memory - Episode 4 discussion"
0,1
0,0
0.08333333333333333,0
0.16666666666666666,0
0.25,2
0.3333333333333333,4
0.4166666666666667,6
0.5,11
0.5833333333333334,14
0.6666666666666666,16
0.75,26
0.8333333333333334,26
0.9166666666666666,33
1,34
1.0833333333333333,41
1.1666666666666667,41
1.25,48
1.3333333333333333,51
1.4166666666666667,52
1.5,57
1.5833333333333333,59
1.6666666666666667,62
1.75,61
1.8333333333333333,67
1.9166666666666667,68
2,72
2.0833333333333335,73
2.1666666666666665,75
2.4166666666666665,85
2.4166666666666665,90
2.4166666666666665,89
2.5,94
2.5833333333333335,96
2.6666666666666665,92
2.75,97
2.8333333333333335,100
2.9166666666666665,100
3,101
3.0833333333333335,109
3.1666666666666665,112
3.25,114
3.3333333333333335,119
3.4166666666666665,120
3.5,122
3.5833333333333335,123
3.6666666666666665,128
3.75,133
3.8333333333333335,129
3.9166666666666665,139
4,137
4.083333333333333,135
4.166666666666667,147
4.25,145
4.333333333333333,144
4.416666666666667,148
4.5,149
4.583333333333333,152
4.666666666666667,155
4.75,154
4.833333333333333,155
4.916666666666667,157
5,157
5.083333333333333,158
5.166666666666667,159
5.25,165
5.333333333333333,170
5.416666666666667,174
5.5,176
5.583333333333333,176
5.666666666666667,182
5.75,184
5.833333333333333,185
5.916666666666667,189
6,186
6.083333333333333,186
6.166666666666667,188
6.25,190
6.333333333333333,187
6.416666666666667,193
6.5,191
6.583333333333333,194
6.666666666666667,196
6.75,199
6.833333333333333,201
6.916666666666667,206
7,206
7.083333333333333,209
7.166666666666667,206
7.25,209
7.333333333333333,211
7.416666666666667,214
7.5,214
7.583333333333333,213
7.666666666666667,213
7.75,218
7.833333333333333,212
7.916666666666667,214
8,217
8.083333333333334,220
8.166666666666666,221
8.25,218
8.333333333333334,221
8.416666666666666,222
8.5,222
8.583333333333334,222
8.666666666666666,220
8.75,221
8.833333333333334,222
8.916666666666666,220
9,222
9.083333333333334,227
9.166666666666666,226
9.25,227
9.333333333333334,226
9.416666666666666,227
9.5,230
9.583333333333334,231
9.666666666666666,230
9.75,229
9.833333333333334,234
9.916666666666666,233
10,235
10.083333333333334,236
10.166666666666666,237
10.25,240
10.333333333333334,241
10.416666666666666,242
10.5,245
10.583333333333334,239
10.666666666666666,237
10.75,240
10.833333333333334,241
10.916666666666666,239
11,243
11.083333333333334,245
11.166666666666666,242
11.25,247
11.333333333333334,248
11.416666666666666,246
11.5,247
11.583333333333334,253
11.666666666666666,255
11.75,255
11.833333333333334,257
11.916666666666666,258
12,260
12.083333333333334,258
12.166666666666666,259
12.25,262
12.333333333333334,268
12.416666666666666,263
12.5,269
12.583333333333334,270
12.666666666666666,270
12.75,270
12.833333333333334,277
12.916666666666666,277
13,275
13.083333333333334,277
13.166666666666666,279
13.25,275
13.333333333333334,278
13.416666666666666,282
13.5,280
13.583333333333334,283
13.666666666666666,287
13.75,280
13.833333333333334,286
13.916666666666666,280
14,285
14.083333333333334,284
14.166666666666666,286
14.25,286
14.333333333333334,292
14.416666666666666,291
14.5,289
14.583333333333334,293
14.666666666666666,288
14.75,289
14.833333333333334,290
14.916666666666666,293
15,294
15.083333333333334,300
15.166666666666666,297
15.25,294
15.333333333333334,298
15.416666666666666,301
15.5,299
15.583333333333334,298
15.666666666666666,299
15.75,303
15.833333333333334,295
15.916666666666666,301
16,298
16.083333333333332,300
16.166666666666668,300
16.25,299
16.333333333333332,300
16.416666666666668,300
16.5,298
16.583333333333332,302
16.666666666666668,303
16.75,297
16.833333333333332,302
16.916666666666668,303
17,303
17.083333333333332,300
17.166666666666668,301
17.25,302
17.333333333333332,302
17.416666666666668,303
17.5,305
17.583333333333332,303
17.666666666666668,306
17.75,305
17.833333333333332,303
17.916666666666668,308
18,306
18.083333333333332,303
18.166666666666668,310
18.25,308
18.333333333333332,307
18.416666666666668,308
18.5,305
18.583333333333332,307
18.666666666666668,303
18.75,302
18.833333333333332,307
18.916666666666668,302
19,302
19.083333333333332,308
19.166666666666668,308
19.25,303
19.333333333333332,304
19.416666666666668,307
19.5,305
19.583333333333332,304
19.666666666666668,313
19.75,311
19.833333333333332,316
19.916666666666668,317
20,308
20.083333333333332,318
20.166666666666668,312
20.25,309
20.333333333333332,314
20.416666666666668,314
20.5,308
20.583333333333332,318
20.666666666666668,310
20.75,314
20.833333333333332,314
20.916666666666668,312
21,314
21.083333333333332,314
21.166666666666668,317
21.25,312
21.333333333333332,316
21.416666666666668,318
21.5,318
21.583333333333332,316
21.666666666666668,316
21.75,315
21.833333333333332,317
21.916666666666668,309
22,316
22.083333333333332,316
22.166666666666668,315
22.25,317
22.333333333333332,313
22.416666666666668,314
22.5,315
22.583333333333332,310
22.666666666666668,317
22.75,322
22.833333333333332,322
22.916666666666668,322
23,323
23.083333333333332,324
23.166666666666668,321
23.25,323
23.333333333333332,325
23.416666666666668,321
23.5,329
23.583333333333332,323
23.666666666666668,328
23.75,331
23.833333333333332,323
23.916666666666668,329
24,327
24.083333333333332,322
24.166666666666668,326
24.25,327
24.333333333333332,323
24.416666666666668,323
24.5,321
24.583333333333332,327
24.666666666666668,332
24.75,329
24.833333333333332,335
24.916666666666668,335
25,327
25.083333333333332,330
25.166666666666668,332
25.25,325
25.333333333333332,334
25.416666666666668,333
25.5,332
25.583333333333332,325
25.666666666666668,328
25.75,331
25.833333333333332,328
25.916666666666668,328
26,333
26.083333333333332,329
26.166666666666668,334
26.25,331
26.333333333333332,326
26.416666666666668,332
26.5,331
26.583333333333332,332
26.666666666666668,330
26.75,326
26.833333333333332,333
26.916666666666668,331
27,332
27.083333333333332,338
27.166666666666668,336
27.25,337
27.333333333333332,336
27.416666666666668,338
27.5,335
27.583333333333332,334
27.666666666666668,337
27.75,334
27.833333333333332,336
27.916666666666668,336
28,338
28.083333333333332,334
28.166666666666668,336
28.25,341
28.333333333333332,334
28.416666666666668,336
28.5,332
28.583333333333332,335
28.666666666666668,342
28.75,338
28.833333333333332,334
28.916666666666668,337
29,342
29.083333333333332,339
29.166666666666668,337
29.25,340
29.333333333333332,335
29.416666666666668,337
29.5,344
29.583333333333332,339
29.666666666666668,340
29.75,338
29.833333333333332,344
29.916666666666668,339
30,336
30.083333333333332,342
30.166666666666668,340
30.25,345
30.333333333333332,348
30.416666666666668,341
30.5,344
30.583333333333332,340
30.666666666666668,337
30.75,348
30.833333333333332,343
30.916666666666668,344
31,342
31.083333333333332,343
31.166666666666668,344
31.25,345
31.333333333333332,341
31.416666666666668,345
31.5,344
31.583333333333332,342
31.666666666666668,342
31.75,342
31.833333333333332,340
31.916666666666668,341
32,345
32.083333333333336,345
32.166666666666664,347
32.25,349
32.333333333333336,345
32.416666666666664,340
32.5,344
32.583333333333336,342
32.666666666666664,346
32.75,343
32.833333333333336,344
32.916666666666664,349
33,341
33.083333333333336,337
33.166666666666664,348
33.25,347
33.333333333333336,340
33.416666666666664,341
33.5,340
33.583333333333336,344
33.666666666666664,342
33.75,349
33.833333333333336,338
33.916666666666664,344
34,346
34.083333333333336,341
34.166666666666664,344
34.25,350
34.333333333333336,348
34.416666666666664,344
34.5,340
34.583333333333336,348
34.666666666666664,349
34.75,345
34.833333333333336,345
34.916666666666664,347
35,346
35.083333333333336,343
35.166666666666664,342
35.25,348
35.333333333333336,346
35.416666666666664,344
35.5,347
35.583333333333336,347
35.666666666666664,351
35.75,349
35.833333333333336,347
35.916666666666664,345
36,341
36.083333333333336,343
36.166666666666664,346
36.25,346
36.333333333333336,352
36.416666666666664,347
36.5,347
36.583333333333336,345
36.666666666666664,341
36.75,352
36.833333333333336,342
36.916666666666664,348
37,348
37.083333333333336,348
37.166666666666664,349
37.25,348
37.333333333333336,351
37.416666666666664,352
37.5,353
37.583333333333336,349
37.666666666666664,348
37.75,347
37.833333333333336,352
37.916666666666664,347
38,348
38.083333333333336,347
38.166666666666664,349
38.25,346
38.333333333333336,350
38.416666666666664,344
38.5,349
38.583333333333336,351
38.666666666666664,353
38.75,345
38.833333333333336,352
38.916666666666664,353
39,347
39.083333333333336,348
39.166666666666664,352
39.25,351
39.333333333333336,355
39.416666666666664,352
39.5,354
39.583333333333336,347
39.666666666666664,353
39.75,351
39.833333333333336,347
39.916666666666664,346
40,348
40.083333333333336,346
40.166666666666664,348
40.25,348
40.333333333333336,346
40.416666666666664,351
40.5,356
40.583333333333336,352
40.666666666666664,349
40.75,345
40.833333333333336,354
40.916666666666664,353
41,354
41.083333333333336,351
41.166666666666664,347
41.25,350
41.333333333333336,352
41.416666666666664,344
41.5,353
41.583333333333336,345
41.666666666666664,348
41.75,348
41.833333333333336,352
41.916666666666664,349
42,350
42.083333333333336,349
42.166666666666664,351
42.25,348
42.333333333333336,350
42.416666666666664,350
42.5,345
42.583333333333336,349
42.666666666666664,345
42.75,351
42.833333333333336,352
42.916666666666664,346
43,353
43.083333333333336,348
43.166666666666664,345
43.25,344
43.333333333333336,347
43.416666666666664,350
43.5,347
43.583333333333336,350
43.666666666666664,352
43.75,354
43.833333333333336,348
43.916666666666664,348
44,352
44.083333333333336,347
44.166666666666664,352
44.25,356
44.333333333333336,348
44.416666666666664,354
44.5,350
44.583333333333336,351
44.666666666666664,350
44.75,351
44.833333333333336,353
44.916666666666664,353
45,349
45.083333333333336,354
45.166666666666664,355
45.25,353
45.333333333333336,353
45.416666666666664,352
45.5,345
45.583333333333336,349
45.666666666666664,346
45.75,349
45.833333333333336,346
45.916666666666664,349
46,348
46.083333333333336,348
46.166666666666664,355
46.25,351
46.333333333333336,346
46.416666666666664,350
46.5,347
46.583333333333336,351
46.666666666666664,349
46.75,349
46.833333333333336,347
46.916666666666664,346
47,352
47.083333333333336,347
47.166666666666664,349
47.25,350
47.333333333333336,348
47.416666666666664,358
47.5,350
47.583333333333336,352
47.666666666666664,354
47.75,348
47.833333333333336,352
47.916666666666664,354
