"Hours since thread went live","Metallic Rouge - Episode 11 discussion"
12.666666666666666,233
12.75,233
12.833333333333334,230
12.916666666666666,233
13,236
13.083333333333334,236
13.166666666666666,233
13.25,236
13.333333333333334,232
13.416666666666666,235
13.5,238
13.583333333333334,233
13.666666666666666,236
13.75,238
13.833333333333334,235
13.916666666666666,239
14,238
14.083333333333334,238
14.166666666666666,239
14.25,233
14.333333333333334,239
14.416666666666666,237
14.5,238
14.583333333333334,240
14.666666666666666,236
14.75,243
14.833333333333334,241
14.916666666666666,243
15,246
15.083333333333334,242
15.166666666666666,243
15.25,244
15.333333333333334,243
15.416666666666666,245
15.5,251
15.583333333333334,244
15.666666666666666,250
15.75,249
15.833333333333334,247
15.916666666666666,251
16,256
16.083333333333332,252
16.166666666666668,252
16.25,254
16.333333333333332,255
16.416666666666668,251
16.5,255
16.583333333333332,253
16.666666666666668,258
16.75,251
16.833333333333332,255
16.916666666666668,257
17,256
17.083333333333332,258
17.166666666666668,257
17.25,256
17.333333333333332,256
17.416666666666668,258
17.5,258
17.583333333333332,258
17.666666666666668,260
17.75,257
17.833333333333332,259
17.916666666666668,258
18,259
18.083333333333332,261
18.166666666666668,262
18.25,259
18.333333333333332,263
18.416666666666668,264
18.5,265
18.583333333333332,265
18.666666666666668,263
18.75,268
18.833333333333332,265
18.916666666666668,265
19,264
19.083333333333332,266
19.166666666666668,269
19.25,263
19.333333333333332,264
19.416666666666668,266
19.5,271
19.583333333333332,266
19.666666666666668,263
19.75,267
19.833333333333332,266
19.916666666666668,267
20,266
20.083333333333332,269
20.166666666666668,267
20.25,267
20.333333333333332,273
20.416666666666668,273
20.5,271
20.583333333333332,270
20.666666666666668,271
20.75,270
20.833333333333332,275
20.916666666666668,271
21,276
21.083333333333332,273
21.166666666666668,276
21.25,273
21.333333333333332,271
21.416666666666668,276
21.5,275
21.583333333333332,274
21.666666666666668,274
21.75,276
21.833333333333332,273
21.916666666666668,273
22,272
22.083333333333332,278
22.166666666666668,274
22.25,279
22.333333333333332,275
22.416666666666668,279
22.5,278
22.583333333333332,278
22.666666666666668,277
22.75,281
22.833333333333332,277
22.916666666666668,280
23,277
23.083333333333332,277
23.166666666666668,279
23.25,283
23.333333333333332,279
23.416666666666668,278
23.5,279
23.583333333333332,281
23.666666666666668,278
23.75,278
23.833333333333332,281
23.916666666666668,280
24,279
24.083333333333332,279
24.166666666666668,280
24.25,280
24.333333333333332,279
24.416666666666668,280
24.5,280
24.583333333333332,278
