"Hours since thread went live","Yubisaki to Renren • A Sign of Affection - Episode 10 discussion"
0,1
0,4
0.08333333333333333,8
0.16666666666666666,12
0.25,15
0.3333333333333333,18
0.4166666666666667,23
0.5,28
0.5833333333333334,32
0.6666666666666666,39
0.75,47
0.8333333333333334,56
0.9166666666666666,61
1,65
1.0833333333333333,73
1.1666666666666667,76
1.25,82
1.3333333333333333,89
1.4166666666666667,97
1.5,104
1.5833333333333333,115
1.6666666666666667,116
1.75,121
1.8333333333333333,125
1.9166666666666667,125
2,128
2.0833333333333335,134
2.1666666666666665,136
2.25,138
2.3333333333333335,146
2.4166666666666665,154
2.5,162
2.5833333333333335,166
2.6666666666666665,173
2.75,175
2.8333333333333335,181
2.9166666666666665,180
3,184
3.0833333333333335,189
3.1666666666666665,192
3.25,191
3.3333333333333335,199
3.4166666666666665,205
3.5,202
3.5833333333333335,210
3.6666666666666665,213
3.75,216
3.8333333333333335,224
3.9166666666666665,221
4,225
4.083333333333333,225
4.166666666666667,230
4.25,235
4.333333333333333,239
4.416666666666667,245
4.5,249
4.583333333333333,249
4.666666666666667,250
4.75,249
4.833333333333333,252
4.916666666666667,252
5,256
5.083333333333333,258
5.166666666666667,264
5.25,264
5.333333333333333,269
5.416666666666667,268
5.5,266
5.583333333333333,275
5.666666666666667,280
5.75,289
5.833333333333333,288
5.916666666666667,291
6,289
6.083333333333333,294
6.166666666666667,298
6.25,298
6.333333333333333,307
6.416666666666667,309
6.5,311
6.583333333333333,313
6.666666666666667,323
6.75,324
6.833333333333333,320
6.916666666666667,332
7,333
7.083333333333333,329
7.166666666666667,335
7.25,337
7.333333333333333,337
7.416666666666667,336
7.5,339
7.583333333333333,344
7.666666666666667,342
7.75,346
7.833333333333333,351
7.916666666666667,354
8,350
8.083333333333334,353
8.166666666666666,355
8.25,350
8.333333333333334,351
8.416666666666666,356
8.5,353
8.583333333333334,352
8.666666666666666,362
8.75,361
8.833333333333334,356
8.916666666666666,363
9,369
9.083333333333334,368
9.166666666666666,375
9.25,376
9.333333333333334,370
9.416666666666666,379
9.5,377
9.583333333333334,372
9.666666666666666,376
9.75,380
9.833333333333334,380
9.916666666666666,387
10,392
10.083333333333334,387
10.166666666666666,393
10.25,396
10.333333333333334,397
10.416666666666666,403
10.5,399
10.583333333333334,405
10.666666666666666,406
10.75,406
10.833333333333334,403
10.916666666666666,406
11,406
11.083333333333334,403
11.166666666666666,403
11.25,412
11.333333333333334,404
11.416666666666666,406
11.5,400
11.583333333333334,406
11.666666666666666,404
11.75,405
11.833333333333334,413
11.916666666666666,417
12,408
12.083333333333334,410
12.166666666666666,414
12.25,417
12.333333333333334,412
12.416666666666666,413
12.5,419
12.583333333333334,421
12.666666666666666,420
12.75,419
12.833333333333334,419
12.916666666666666,422
13,426
13.083333333333334,416
13.166666666666666,420
13.25,424
13.333333333333334,425
13.416666666666666,424
13.5,429
13.583333333333334,427
13.666666666666666,428
13.75,435
13.833333333333334,430
13.916666666666666,433
14,431
14.083333333333334,439
14.166666666666666,442
14.25,442
14.333333333333334,442
14.416666666666666,433
14.5,434
14.583333333333334,441
14.666666666666666,444
14.75,440
14.833333333333334,445
14.916666666666666,448
15,444
15.083333333333334,447
15.166666666666666,453
15.25,445
15.333333333333334,453
15.416666666666666,450
15.5,451
15.583333333333334,457
15.666666666666666,459
15.75,461
15.833333333333334,461
15.916666666666666,462
16,459
16.083333333333332,466
16.166666666666668,468
16.25,474
16.333333333333332,475
16.416666666666668,470
16.5,470
16.583333333333332,479
16.666666666666668,473
16.75,480
16.833333333333332,474
16.916666666666668,481
17,480
17.083333333333332,478
17.166666666666668,472
17.25,478
17.333333333333332,475
17.416666666666668,474
17.5,482
17.583333333333332,478
17.666666666666668,483
17.75,481
17.833333333333332,480
17.916666666666668,477
18,481
18.083333333333332,478
18.166666666666668,487
18.25,486
18.333333333333332,483
18.416666666666668,489
18.5,484
18.583333333333332,485
18.666666666666668,481
18.75,483
18.833333333333332,487
18.916666666666668,496
19,494
19.083333333333332,492
19.166666666666668,487
19.25,492
19.333333333333332,492
19.416666666666668,495
19.5,494
19.583333333333332,491
19.666666666666668,496
19.75,495
19.833333333333332,492
19.916666666666668,500
20,500
20.083333333333332,494
20.166666666666668,491
20.25,495
20.333333333333332,497
20.416666666666668,495
20.5,496
20.583333333333332,495
20.666666666666668,502
20.75,496
20.833333333333332,505
20.916666666666668,506
21,499
21.083333333333332,502
21.166666666666668,499
21.25,499
21.333333333333332,508
21.416666666666668,500
21.5,506
21.583333333333332,509
21.666666666666668,501
21.75,510
21.833333333333332,504
21.916666666666668,503
22,508
22.083333333333332,509
22.166666666666668,507
22.25,506
22.333333333333332,508
22.416666666666668,509
22.5,509
22.583333333333332,510
22.666666666666668,510
22.75,510
22.833333333333332,512
22.916666666666668,514
23,515
23.083333333333332,511
23.166666666666668,512
23.25,513
23.333333333333332,512
23.416666666666668,515
