"Hours since thread went live","Shinigami Bocchan to Kuro Maid Season 3 • The Duke of Death and His Maid Season 3 - Episode 2 discussion"
21.583333333333332,205
21.666666666666668,202
21.75,205
21.833333333333332,203
21.916666666666668,204
22,206
22.083333333333332,209
22.166666666666668,203
22.25,206
22.333333333333332,208
22.416666666666668,208
22.5,208
22.583333333333332,206
22.666666666666668,204
22.75,210
22.833333333333332,209
22.916666666666668,208
23,208
23.083333333333332,210
23.166666666666668,207
23.25,210
23.333333333333332,209
23.416666666666668,209
23.5,212
23.583333333333332,209
23.666666666666668,209
23.75,209
23.833333333333332,204
23.916666666666668,210
24,204
24.083333333333332,207
24.166666666666668,207
24.25,209
24.333333333333332,209
24.416666666666668,211
24.5,211
24.583333333333332,209
24.666666666666668,208
24.75,210
24.833333333333332,212
24.916666666666668,211
25,212
25.083333333333332,210
25.166666666666668,212
25.25,211
25.333333333333332,210
25.416666666666668,211
25.5,209
25.583333333333332,213
25.666666666666668,210
25.75,211
25.833333333333332,212
25.916666666666668,215
26,210
26.083333333333332,211
26.166666666666668,210
26.25,209
26.333333333333332,212
26.416666666666668,211
26.5,213
26.583333333333332,209
26.666666666666668,209
26.75,214
26.833333333333332,213
26.916666666666668,211
27,210
27.083333333333332,212
27.166666666666668,212
27.25,212
27.333333333333332,212
27.416666666666668,213
27.5,213
27.583333333333332,214
27.666666666666668,208
27.75,215
27.833333333333332,213
27.916666666666668,212
28,211
28.083333333333332,213
28.166666666666668,211
28.25,212
28.333333333333332,215
28.416666666666668,209
28.5,211
28.583333333333332,211
28.666666666666668,210
28.75,214
28.833333333333332,214
28.916666666666668,213
29,213
29.083333333333332,213
29.166666666666668,211
29.25,213
29.333333333333332,215
29.416666666666668,214
29.5,214
29.583333333333332,216
29.666666666666668,215
29.75,214
29.833333333333332,215
29.916666666666668,214
30,213
30.083333333333332,213
30.166666666666668,211
30.25,215
30.333333333333332,216
30.416666666666668,211
30.5,210
30.583333333333332,213
30.666666666666668,216
30.75,215
30.833333333333332,213
30.916666666666668,216
31,218
