"Hours since thread went live","Mahouka Koukou no Rettousei Season 3 • The Irregular at Magic High School Season 3 - Episode 1 discussion"
16.583333333333332,567
16.666666666666668,574
16.75,568
16.833333333333332,571
16.916666666666668,580
17,578
17.083333333333332,579
17.166666666666668,581
17.25,574
17.333333333333332,579
17.416666666666668,584
17.5,580
17.583333333333332,583
17.666666666666668,585
17.75,585
17.833333333333332,579
17.916666666666668,582
18,588
18.083333333333332,589
18.166666666666668,594
18.25,596
18.333333333333332,597
18.416666666666668,595
18.5,589
18.583333333333332,591
18.666666666666668,597
18.75,599
18.833333333333332,598
18.916666666666668,597
19,599
19.083333333333332,602
19.166666666666668,600
19.25,604
19.333333333333332,601
19.416666666666668,601
19.5,600
19.583333333333332,602
19.666666666666668,609
19.75,609
19.833333333333332,612
19.916666666666668,611
20,607
20.083333333333332,611
20.166666666666668,617
20.25,616
20.333333333333332,613
20.416666666666668,614
20.5,611
20.583333333333332,614
20.666666666666668,620
20.75,615
20.833333333333332,618
20.916666666666668,620
21,614
21.083333333333332,627
21.166666666666668,624
21.25,623
21.333333333333332,625
21.416666666666668,628
21.5,624
21.583333333333332,634
21.666666666666668,627
21.75,630
21.833333333333332,631
21.916666666666668,628
22,624
22.083333333333332,631
22.166666666666668,631
22.25,632
22.333333333333332,634
22.416666666666668,637
22.5,633
22.583333333333332,634
22.666666666666668,637
22.75,636
22.833333333333332,643
22.916666666666668,633
23,640
23.083333333333332,640
23.166666666666668,645
23.25,646
23.333333333333332,642
23.416666666666668,642
23.5,639
23.583333333333332,646
23.666666666666668,642
23.75,646
23.833333333333332,648
23.916666666666668,649
24,649
24.083333333333332,650
24.166666666666668,645
24.25,652
24.333333333333332,648
24.416666666666668,651
24.5,654
24.583333333333332,657
24.666666666666668,656
24.75,657
24.833333333333332,661
24.916666666666668,661
25,662
25.083333333333332,657
25.166666666666668,661
25.25,660
25.333333333333332,660
25.416666666666668,663
25.5,664
25.583333333333332,663
25.666666666666668,669
25.75,664
25.833333333333332,668
25.916666666666668,665
26,669
26.083333333333332,673
26.166666666666668,669
26.25,667
26.333333333333332,670
26.416666666666668,665
26.5,670
26.583333333333332,670
26.666666666666668,674
26.75,668
26.833333333333332,674
26.916666666666668,670
27,670
27.083333333333332,676
27.166666666666668,679
27.25,678
27.333333333333332,680
27.416666666666668,683
27.5,675
27.583333333333332,682
27.666666666666668,678
27.75,682
27.833333333333332,676
27.916666666666668,686
28,681
28.083333333333332,675
28.166666666666668,678
28.25,680
28.333333333333332,681
28.416666666666668,683
28.5,679
28.583333333333332,680
28.666666666666668,686
28.75,687
28.833333333333332,686
28.916666666666668,683
29,683
29.083333333333332,684
29.166666666666668,685
29.25,681
29.333333333333332,683
29.416666666666668,684
29.5,687
29.583333333333332,688
29.666666666666668,688
29.75,684
29.833333333333332,687
29.916666666666668,685
30,687
30.083333333333332,689
30.166666666666668,691
30.25,687
30.333333333333332,687
30.416666666666668,690
30.5,686
30.583333333333332,688
30.666666666666668,689
30.75,687
30.833333333333332,691
30.916666666666668,689
31,690
31.083333333333332,690
31.166666666666668,690
31.25,692
31.333333333333332,686
31.416666666666668,692
31.5,687
31.583333333333332,687
31.666666666666668,691
