"Hours since thread went live","Pokémon Horizons: The Series - Episode 47 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,2
0.25,2
0.3333333333333333,2
0.4166666666666667,2
0.5,2
0.5833333333333334,2
0.6666666666666666,2
0.75,2
0.8333333333333334,3
0.9166666666666666,3
1,3
1.0833333333333333,3
1.1666666666666667,3
1.25,3
1.3333333333333333,3
1.4166666666666667,2
1.5,3
1.5833333333333333,5
1.6666666666666667,5
1.75,4
1.8333333333333333,3
1.9166666666666667,5
2,5
2.0833333333333335,6
2.1666666666666665,6
2.25,6
2.3333333333333335,7
2.4166666666666665,8
2.5,6
2.5833333333333335,6
2.6666666666666665,7
2.75,8
2.8333333333333335,6
2.9166666666666665,10
3,8
3.0833333333333335,10
3.1666666666666665,7
3.25,10
3.3333333333333335,10
3.4166666666666665,10
3.5,10
3.5833333333333335,10
3.6666666666666665,10
3.75,8
3.8333333333333335,9
3.9166666666666665,11
4,10
4.083333333333333,8
4.166666666666667,11
4.25,12
4.333333333333333,13
4.416666666666667,12
4.5,13
4.583333333333333,13
4.666666666666667,14
4.75,11
4.833333333333333,13
4.916666666666667,13
5,14
5.083333333333333,14
5.166666666666667,13
5.25,15
5.333333333333333,16
5.416666666666667,16
5.5,17
5.583333333333333,15
5.666666666666667,19
5.75,16
5.833333333333333,22
5.916666666666667,22
6,25
6.083333333333333,23
6.166666666666667,22
6.25,24
6.333333333333333,24
6.416666666666667,25
6.5,26
6.583333333333333,27
6.666666666666667,28
6.75,27
6.833333333333333,29
6.916666666666667,29
7,27
7.083333333333333,28
7.166666666666667,28
7.25,32
7.333333333333333,29
7.416666666666667,33
7.5,31
7.583333333333333,33
7.666666666666667,33
7.75,30
7.833333333333333,31
7.916666666666667,33
8,30
8.083333333333334,33
8.166666666666666,34
8.25,35
8.333333333333334,36
8.416666666666666,36
8.5,37
8.583333333333334,34
8.666666666666666,38
8.75,36
8.833333333333334,34
8.916666666666666,39
9,39
9.083333333333334,36
9.166666666666666,38
9.25,36
9.333333333333334,37
9.416666666666666,38
9.5,40
9.583333333333334,40
9.666666666666666,38
9.75,38
9.833333333333334,41
9.916666666666666,40
10,38
10.083333333333334,42
10.166666666666666,40
10.25,40
10.333333333333334,43
10.416666666666666,41
10.5,42
10.583333333333334,42
10.666666666666666,42
10.75,45
10.833333333333334,42
10.916666666666666,43
11,44
11.083333333333334,42
11.166666666666666,44
11.25,46
11.333333333333334,41
11.416666666666666,44
11.5,43
11.583333333333334,44
11.666666666666666,42
11.75,40
11.833333333333334,45
11.916666666666666,44
12,43
12.083333333333334,44
12.166666666666666,42
12.25,46
12.333333333333334,43
12.416666666666666,46
12.5,46
12.583333333333334,49
12.666666666666666,47
12.75,44
12.833333333333334,44
12.916666666666666,45
13,46
13.083333333333334,50
13.166666666666666,48
13.25,50
13.333333333333334,47
13.416666666666666,49
13.5,49
13.583333333333334,49
13.666666666666666,49
13.75,48
13.833333333333334,49
13.916666666666666,47
14,49
14.083333333333334,45
14.166666666666666,48
14.25,50
14.333333333333334,48
14.416666666666666,50
14.5,50
14.583333333333334,50
14.666666666666666,50
14.75,50
14.833333333333334,52
14.916666666666666,54
15,47
15.083333333333334,51
15.166666666666666,49
15.25,52
15.333333333333334,51
15.416666666666666,53
15.5,49
15.583333333333334,51
15.666666666666666,52
15.75,52
15.833333333333334,50
15.916666666666666,47
16,49
16.083333333333332,51
16.166666666666668,50
16.25,48
16.333333333333332,48
16.416666666666668,47
16.5,54
16.583333333333332,48
16.666666666666668,51
16.75,49
16.833333333333332,51
16.916666666666668,52
17,55
17.083333333333332,51
17.166666666666668,48
17.25,52
17.333333333333332,55
17.416666666666668,53
17.5,51
17.583333333333332,49
17.666666666666668,49
17.75,52
17.833333333333332,52
17.916666666666668,53
18,48
18.083333333333332,53
18.166666666666668,51
18.25,52
18.333333333333332,53
18.416666666666668,53
18.5,50
18.583333333333332,54
18.666666666666668,48
18.75,53
18.833333333333332,56
18.916666666666668,52
19,50
19.083333333333332,50
19.166666666666668,48
19.25,49
19.333333333333332,53
19.416666666666668,50
19.5,54
19.583333333333332,57
19.666666666666668,55
19.75,55
19.833333333333332,59
19.916666666666668,59
20,57
20.083333333333332,52
20.166666666666668,51
20.25,54
20.333333333333332,56
20.416666666666668,59
20.5,58
20.583333333333332,57
20.666666666666668,57
20.75,56
20.833333333333332,54
20.916666666666668,58
21,51
21.083333333333332,53
21.166666666666668,54
21.25,58
21.333333333333332,52
21.416666666666668,55
21.5,56
21.583333333333332,52
21.666666666666668,56
21.75,57
21.833333333333332,56
21.916666666666668,59
22,54
22.083333333333332,57
22.166666666666668,54
22.25,57
22.333333333333332,58
22.416666666666668,58
22.5,53
22.583333333333332,56
22.666666666666668,58
22.75,56
22.833333333333332,55
22.916666666666668,57
23,55
23.083333333333332,54
23.166666666666668,55
23.25,56
23.333333333333332,55
23.416666666666668,54
23.5,54
23.583333333333332,53
23.666666666666668,56
23.75,58
23.833333333333332,57
23.916666666666668,57
24,59
24.083333333333332,57
24.166666666666668,58
24.25,56
24.333333333333332,56
24.416666666666668,57
24.5,57
24.583333333333332,54
24.666666666666668,59
24.75,56
24.833333333333332,54
24.916666666666668,54
25,57
25.083333333333332,57
25.166666666666668,57
25.25,54
25.333333333333332,59
25.416666666666668,57
25.5,55
25.583333333333332,58
25.666666666666668,54
25.75,59
25.833333333333332,56
25.916666666666668,57
26,58
26.083333333333332,57
26.166666666666668,58
26.25,55
26.333333333333332,56
26.416666666666668,54
26.5,57
26.583333333333332,59
26.666666666666668,58
26.75,54
26.833333333333332,52
26.916666666666668,59
27,57
27.083333333333332,59
27.166666666666668,55
27.25,55
27.333333333333332,56
27.416666666666668,58
27.5,54
27.583333333333332,56
27.666666666666668,57
27.75,55
27.833333333333332,57
27.916666666666668,52
28,56
28.083333333333332,58
28.166666666666668,57
28.25,56
28.333333333333332,56
28.416666666666668,56
28.5,52
28.583333333333332,57
28.666666666666668,57
28.75,56
28.833333333333332,56
28.916666666666668,55
29,58
29.083333333333332,58
29.166666666666668,56
29.25,57
29.333333333333332,57
29.416666666666668,57
29.5,53
29.583333333333332,56
29.666666666666668,59
29.75,59
29.833333333333332,58
29.916666666666668,59
30,58
30.083333333333332,57
30.166666666666668,55
30.25,59
30.333333333333332,60
30.416666666666668,54
30.5,59
30.583333333333332,59
30.666666666666668,56
30.75,60
30.833333333333332,56
30.916666666666668,57
31,56
31.083333333333332,61
31.166666666666668,58
31.25,57
31.333333333333332,58
31.416666666666668,59
31.5,58
31.583333333333332,60
31.666666666666668,58
31.75,56
31.833333333333332,56
31.916666666666668,61
32,62
32.083333333333336,62
32.166666666666664,55
32.25,57
32.333333333333336,56
32.416666666666664,60
32.5,61
32.583333333333336,57
32.666666666666664,58
32.75,60
32.833333333333336,60
32.916666666666664,57
33,58
33.083333333333336,58
33.166666666666664,61
33.25,58
33.333333333333336,57
33.416666666666664,59
33.5,60
33.583333333333336,59
33.666666666666664,55
33.75,55
33.833333333333336,59
33.916666666666664,58
34,56
34.083333333333336,60
34.166666666666664,56
34.25,55
34.333333333333336,57
34.416666666666664,60
34.5,59
34.583333333333336,58
34.666666666666664,60
34.75,57
34.833333333333336,59
34.916666666666664,57
35,54
35.083333333333336,61
35.166666666666664,55
35.25,59
35.333333333333336,56
35.416666666666664,57
35.5,59
