"Hours since thread went live","Mushoku Tensei: Isekai Ittara Honki Dasu Season 2 Part 2 • Mushoku Tensei: Jobless Reincarnation Season 2 Part 2 - Episode 3 discussion"
0,3
0.08333333333333333,14
0.16666666666666666,27
0.25,41
0.3333333333333333,61
0.4166666666666667,97
0.5,123
0.5833333333333334,157
0.6666666666666666,203
0.75,231
0.8333333333333334,253
0.9166666666666666,290
1,338
1.0833333333333333,379
1.1666666666666667,412
1.25,453
1.3333333333333333,498
1.4166666666666667,537
1.5,594
1.5833333333333333,626
1.6666666666666667,672
1.75,723
1.8333333333333333,761
1.9166666666666667,806
2,848
2.0833333333333335,875
2.1666666666666665,917
2.25,948
2.3333333333333335,977
2.4166666666666665,1016
2.5,1043
2.5833333333333335,1071
2.6666666666666665,1100
2.75,1144
2.8333333333333335,1188
2.9166666666666665,1213
3,1248
3.0833333333333335,1279
3.1666666666666665,1305
3.25,1329
3.3333333333333335,1348
3.4166666666666665,1387
3.5,1407
3.5833333333333335,1436
3.6666666666666665,1465
3.75,1496
3.8333333333333335,1536
3.9166666666666665,1562
4,1585
4.083333333333333,1602
4.166666666666667,1633
4.25,1664
4.333333333333333,1685
4.416666666666667,1708
4.5,1731
4.583333333333333,1751
4.666666666666667,1779
4.75,1788
4.833333333333333,1811
4.916666666666667,1829
5,1837
5.083333333333333,1864
5.166666666666667,1885
5.25,1898
5.333333333333333,1926
5.416666666666667,1938
5.5,1952
5.583333333333333,1962
5.666666666666667,1985
5.75,2000
5.833333333333333,2020
5.916666666666667,2036
6,2071
6.083333333333333,2087
6.166666666666667,2103
6.25,2111
6.333333333333333,2131
6.416666666666667,2143
6.5,2154
6.583333333333333,2168
6.666666666666667,2179
6.833333333333333,2227
6.916666666666667,2245
7,2249
7.083333333333333,2252
7.166666666666667,2274
7.25,2288
7.333333333333333,2303
7.416666666666667,2320
7.5,2336
7.583333333333333,2348
7.666666666666667,2367
7.75,2388
7.833333333333333,2393
7.916666666666667,2405
8,2423
8.083333333333334,2434
8.166666666666666,2447
8.25,2460
8.333333333333334,2479
8.416666666666666,2490
8.5,2508
8.583333333333334,2523
8.666666666666666,2533
8.75,2548
8.833333333333334,2551
8.916666666666666,2561
9,2579
9.083333333333334,2591
9.166666666666666,2604
9.25,2620
9.333333333333334,2624
9.416666666666666,2632
9.5,2640
9.583333333333334,2652
9.666666666666666,2661
9.75,2677
9.833333333333334,2686
9.916666666666666,2697
10,2705
10.083333333333334,2718
10.166666666666666,2729
10.25,2737
10.333333333333334,2742
10.416666666666666,2755
10.5,2764
10.583333333333334,2773
10.666666666666666,2788
10.75,2795
10.833333333333334,2805
10.916666666666666,2806
11,2815
11.083333333333334,2828
11.166666666666666,2837
11.25,2844
11.333333333333334,2852
11.416666666666666,2868
11.5,2875
11.583333333333334,2876
11.666666666666666,2887
11.75,2902
11.833333333333334,2911
11.916666666666666,2921
12,2936
12.083333333333334,2940
12.166666666666666,2960
12.25,2964
12.333333333333334,2969
12.416666666666666,2980
12.5,2981
12.583333333333334,2998
12.666666666666666,3007
12.75,3018
12.833333333333334,3029
12.916666666666666,3035
13,3035
13.083333333333334,3045
13.166666666666666,3051
13.25,3058
13.333333333333334,3068
13.416666666666666,3069
13.5,3076
13.583333333333334,3090
13.666666666666666,3100
13.75,3108
13.833333333333334,3122
13.916666666666666,3138
14,3137
14.083333333333334,3140
14.166666666666666,3143
14.25,3157
14.333333333333334,3168
14.416666666666666,3171
14.5,3179
14.583333333333334,3175
14.666666666666666,3186
14.75,3196
14.833333333333334,3197
14.916666666666666,3215
15,3215
15.083333333333334,3227
15.166666666666666,3239
15.25,3253
15.333333333333334,3254
15.416666666666666,3262
15.5,3277
15.583333333333334,3282
15.666666666666666,3285
15.75,3289
15.833333333333334,3300
15.916666666666666,3300
16,3302
16.083333333333332,3307
16.166666666666668,3315
16.25,3318
16.333333333333332,3333
16.416666666666668,3337
16.5,3333
16.583333333333332,3336
16.666666666666668,3344
16.75,3351
16.833333333333332,3350
16.916666666666668,3359
17,3364
17.083333333333332,3364
17.166666666666668,3371
17.25,3370
17.333333333333332,3375
17.416666666666668,3377
17.5,3382
17.583333333333332,3387
17.666666666666668,3395
17.75,3402
17.833333333333332,3409
17.916666666666668,3416
18,3416
18.083333333333332,3419
18.166666666666668,3418
18.25,3419
18.333333333333332,3430
18.416666666666668,3438
18.5,3442
18.583333333333332,3446
18.666666666666668,3451
18.75,3451
18.833333333333332,3456
18.916666666666668,3461
19,3469
19.083333333333332,3472
19.166666666666668,3478
19.25,3476
19.333333333333332,3480
19.416666666666668,3489
19.5,3488
19.583333333333332,3491
19.666666666666668,3493
19.75,3502
19.833333333333332,3504
19.916666666666668,3504
20,3516
20.083333333333332,3514
20.166666666666668,3513
20.25,3519
20.333333333333332,3517
20.416666666666668,3523
20.5,3527
20.583333333333332,3535
20.666666666666668,3530
20.75,3547
20.833333333333332,3543
20.916666666666668,3548
21,3552
21.083333333333332,3559
21.166666666666668,3565
