"Hours since thread went live","Shuumatsu Train Doko e Iku? • Train to the End of the World - Episode 2 discussion"
16.75,809
16.833333333333332,815
16.916666666666668,816
17,816
17.083333333333332,819
17.166666666666668,825
17.25,826
17.333333333333332,829
17.416666666666668,829
17.5,829
17.583333333333332,833
17.666666666666668,834
17.75,837
17.833333333333332,833
17.916666666666668,837
18,839
18.083333333333332,836
18.166666666666668,840
18.25,842
18.333333333333332,845
18.416666666666668,847
18.5,846
18.583333333333332,845
18.666666666666668,853
18.75,854
18.833333333333332,853
18.916666666666668,851
19,860
19.083333333333332,864
19.166666666666668,861
19.25,864
19.333333333333332,864
19.416666666666668,864
19.5,864
19.583333333333332,860
19.666666666666668,870
19.75,866
19.833333333333332,872
19.916666666666668,876
20,871
20.083333333333332,869
20.166666666666668,872
20.25,877
20.333333333333332,872
20.416666666666668,878
20.5,886
20.583333333333332,885
20.666666666666668,882
20.75,885
20.833333333333332,878
20.916666666666668,887
21,879
21.083333333333332,886
21.166666666666668,883
21.25,891
21.333333333333332,892
21.416666666666668,890
21.5,891
21.583333333333332,890
21.666666666666668,891
21.75,898
21.833333333333332,892
21.916666666666668,897
22,901
22.083333333333332,901
22.166666666666668,895
22.25,898
22.333333333333332,898
22.416666666666668,899
22.5,895
22.583333333333332,895
22.666666666666668,899
22.75,902
22.833333333333332,905
22.916666666666668,906
23,904
23.083333333333332,907
23.166666666666668,908
23.25,911
23.333333333333332,903
23.416666666666668,907
23.5,912
23.583333333333332,911
23.666666666666668,908
23.75,914
23.833333333333332,909
23.916666666666668,908
24,916
24.083333333333332,908
24.166666666666668,916
24.25,916
24.333333333333332,917
24.416666666666668,914
24.5,914
24.583333333333332,914
24.666666666666668,917
24.75,918
24.833333333333332,924
24.916666666666668,915
25,925
25.083333333333332,925
25.166666666666668,920
25.25,922
25.333333333333332,922
25.416666666666668,925
25.5,929
25.583333333333332,921
25.666666666666668,925
25.75,930
25.833333333333332,927
25.916666666666668,926
26,931
26.083333333333332,934
26.166666666666668,934
26.25,932
26.333333333333332,934
26.416666666666668,935
26.5,942
26.583333333333332,937
26.666666666666668,937
26.75,936
26.833333333333332,939
26.916666666666668,945
27,943
27.083333333333332,944
27.166666666666668,944
27.25,941
27.333333333333332,944
27.416666666666668,944
27.5,947
27.583333333333332,944
27.666666666666668,946
27.75,947
27.833333333333332,943
27.916666666666668,956
28,951
28.083333333333332,951
28.166666666666668,951
28.25,948
28.333333333333332,946
28.416666666666668,946
28.5,953
28.583333333333332,952
28.666666666666668,953
28.75,954
28.833333333333332,958
28.916666666666668,957
29,955
29.083333333333332,956
29.166666666666668,959
29.25,954
29.333333333333332,963
29.416666666666668,959
29.5,960
29.583333333333332,957
29.666666666666668,961
29.75,965
29.833333333333332,963
29.916666666666668,962
30,965
30.083333333333332,967
30.166666666666668,963
30.25,961
30.333333333333332,963
30.416666666666668,962
30.5,969
30.583333333333332,967
30.666666666666668,966
30.75,964
30.833333333333332,967
30.916666666666668,966
31,967
31.083333333333332,970
31.166666666666668,972
