"Hours since thread went live","Sand Land: The Series - Episode 9 discussion"
39.333333333333336,28
39.416666666666664,26
39.5,30
39.583333333333336,30
39.666666666666664,30
39.75,25
39.833333333333336,25
39.916666666666664,27
40,29
40.083333333333336,27
40.166666666666664,25
40.25,33
40.333333333333336,29
40.416666666666664,31
40.5,27
40.583333333333336,31
40.666666666666664,30
40.75,31
40.833333333333336,30
40.916666666666664,28
41,28
41.083333333333336,29
41.166666666666664,27
41.25,30
41.333333333333336,29
41.416666666666664,29
41.5,28
41.583333333333336,27
41.666666666666664,28
41.75,28
41.833333333333336,29
41.916666666666664,30
42,30
42.083333333333336,30
42.166666666666664,33
42.25,28
42.333333333333336,28
42.416666666666664,26
42.5,29
42.583333333333336,28
42.666666666666664,31
42.75,25
42.833333333333336,31
42.916666666666664,26
43,30
43.083333333333336,29
43.166666666666664,28
43.25,27
43.333333333333336,33
43.416666666666664,28
43.5,30
43.583333333333336,26
43.666666666666664,27
43.75,31
43.833333333333336,30
43.916666666666664,29
44,30
44.083333333333336,29
44.166666666666664,28
44.25,29
44.333333333333336,29
44.416666666666664,30
44.5,30
44.583333333333336,25
44.666666666666664,30
44.75,32
44.833333333333336,26
44.916666666666664,27
45,27
45.083333333333336,31
45.166666666666664,28
45.25,30
45.333333333333336,33
45.416666666666664,29
45.5,31
45.583333333333336,25
45.666666666666664,29
45.75,32
45.833333333333336,28
45.916666666666664,26
46,26
46.083333333333336,27
46.166666666666664,27
46.25,27
46.333333333333336,32
46.416666666666664,29
46.5,28
46.583333333333336,30
46.666666666666664,29
46.75,26
46.833333333333336,27
46.916666666666664,27
47,27
47.083333333333336,28
47.166666666666664,32
47.25,28
47.333333333333336,31
47.416666666666664,32
47.5,29
47.583333333333336,33
47.666666666666664,30
47.75,33
47.833333333333336,30
47.916666666666664,30
