"Hours since thread went live","Vinland Saga Season 2 - Episode 22 discussion"
15.333333333333334,3821
15.416666666666666,3825
15.5,3828
15.583333333333334,3833
15.666666666666666,3834
15.75,3844
15.833333333333334,3846
15.916666666666666,3847
16,3861
16.083333333333332,3858
16.166666666666668,3867
16.333333333333332,3874
16.416666666666668,3886
16.5,3883
16.583333333333332,3876
16.666666666666668,3890
16.75,3890
16.833333333333332,3889
16.916666666666668,3899
17,3911
17.083333333333332,3913
17.166666666666668,3917
17.25,3921
17.333333333333332,3924
17.416666666666668,3933
17.5,3938
17.583333333333332,3945
17.666666666666668,3945
17.75,3944
17.833333333333332,3956
17.916666666666668,3952
18,3964
18.083333333333332,3965
18.166666666666668,3962
18.25,3968
18.333333333333332,3977
18.416666666666668,3974
18.5,3977
18.583333333333332,3981
18.666666666666668,3990
18.75,3991
18.833333333333332,3995
19,3998
19.083333333333332,4007
19.166666666666668,4012
19.25,4023
19.333333333333332,4027
19.416666666666668,4033
19.5,4032
19.583333333333332,4035
19.666666666666668,4038
19.75,4043
19.833333333333332,4040
19.916666666666668,4054
20,4053
20.083333333333332,4059
20.166666666666668,4067
20.25,4070
20.333333333333332,4082
20.416666666666668,4082
20.5,4078
20.583333333333332,4088
20.666666666666668,4086
20.75,4100
20.833333333333332,4096
21,4111
21.083333333333332,4116
21.166666666666668,4116
21.25,4121
21.333333333333332,4130
21.416666666666668,4131
21.5,4142
21.583333333333332,4145
21.666666666666668,4146
21.75,4156
21.833333333333332,4161
21.916666666666668,4161
22,4160
22.083333333333332,4169
22.166666666666668,4179
22.25,4179
22.333333333333332,4186
22.416666666666668,4194
22.5,4195
22.583333333333332,4193
22.666666666666668,4203
22.75,4201
22.833333333333332,4216
22.916666666666668,4221
23,4224
23.083333333333332,4227
23.166666666666668,4234
23.25,4239
23.333333333333332,4246
23.416666666666668,4253
23.5,4248
23.583333333333332,4258
23.666666666666668,4260
23.75,4261
23.833333333333332,4273
23.916666666666668,4270
24,4271
24.083333333333332,4275
24.166666666666668,4279
24.333333333333332,4282
24.5,4286
24.583333333333332,4287
24.75,4295
24.833333333333332,4300
24.916666666666668,4306
25,4302
25.083333333333332,4311
25.166666666666668,4308
25.25,4311
25.416666666666668,4320
25.5,4318
25.583333333333332,4324
25.666666666666668,4326
25.75,4327
25.833333333333332,4335
25.916666666666668,4325
26,4336
26.083333333333332,4339
26.166666666666668,4349
26.25,4349
26.333333333333332,4352
26.416666666666668,4353
26.5,4351
26.583333333333332,4356
26.666666666666668,4359
26.75,4365
26.833333333333332,4366
26.916666666666668,4364
27,4368
27.166666666666668,4371
27.25,4370
27.333333333333332,4379
27.416666666666668,4380
27.5,4379
27.583333333333332,4387
27.666666666666668,4385
27.75,4385
27.833333333333332,4391
27.916666666666668,4388
28,4393
28.083333333333332,4391
28.25,4407
28.333333333333332,4400
28.416666666666668,4400
28.5,4413
28.583333333333332,4400
28.666666666666668,4416
28.75,4411
28.833333333333332,4418
28.916666666666668,4425
29,4429
29.083333333333332,4419
29.166666666666668,4423
29.25,4429
29.333333333333332,4436
29.416666666666668,4439
29.5,4440
29.583333333333332,4440
29.666666666666668,4435
29.75,4442
29.833333333333332,4440
29.916666666666668,4446
30,4449
30.083333333333332,4452
30.166666666666668,4458
30.25,4455
30.333333333333332,4458
30.416666666666668,4459
30.5,4460
30.583333333333332,4470
30.666666666666668,4465
30.75,4467
30.833333333333332,4477
30.916666666666668,4471
31,4469
31.083333333333332,4468
31.166666666666668,4472
31.333333333333332,4474
31.416666666666668,4477
31.5,4481
31.583333333333332,4480
31.666666666666668,4487
31.75,4489
31.833333333333332,4494
31.916666666666668,4498
32,4491
32.083333333333336,4490
32.166666666666664,4496
32.25,4494
32.333333333333336,4497
32.416666666666664,4504
32.5,4503
32.583333333333336,4509
32.666666666666664,4511
32.75,4511
32.833333333333336,4512
32.916666666666664,4519
33,4511
33.083333333333336,4520
33.166666666666664,4518
33.25,4517
33.333333333333336,4520
33.416666666666664,4524
33.5,4532
33.583333333333336,4524
33.666666666666664,4524
33.75,4533
33.833333333333336,4526
33.916666666666664,4524
34,4530
34.083333333333336,4529
34.166666666666664,4534
34.25,4533
34.333333333333336,4534
34.5,4534
34.583333333333336,4536
34.666666666666664,4545
34.75,4541
34.833333333333336,4535
34.916666666666664,4546
35,4550
35.083333333333336,4546
35.166666666666664,4545
35.25,4554
35.333333333333336,4555
35.416666666666664,4552
35.5,4548
35.583333333333336,4553
35.666666666666664,4550
35.75,4557
35.833333333333336,4563
35.916666666666664,4563
36,4568
36.083333333333336,4563
36.166666666666664,4568
36.25,4570
36.333333333333336,4569
36.416666666666664,4565
36.5,4575
36.583333333333336,4567
36.666666666666664,4574
36.75,4574
36.833333333333336,4581
36.916666666666664,4577
37,4578
37.083333333333336,4577
37.166666666666664,4584
37.25,4583
37.333333333333336,4586
37.416666666666664,4584
37.5,4586
37.583333333333336,4583
37.666666666666664,4586
37.75,4595
37.833333333333336,4588
37.916666666666664,4593
38,4597
38.083333333333336,4589
38.166666666666664,4590
38.25,4595
38.333333333333336,4602
38.416666666666664,4598
38.5,4596
38.583333333333336,4590
38.666666666666664,4592
38.75,4599
38.833333333333336,4601
38.916666666666664,4599
39,4597
39.083333333333336,4600
39.166666666666664,4601
39.25,4600
39.333333333333336,4604
39.416666666666664,4601
39.5,4602
39.583333333333336,4601
39.666666666666664,4608
39.75,4599
39.833333333333336,4601
39.916666666666664,4610
40,4603
40.083333333333336,4606
40.166666666666664,4612
40.25,4616
40.333333333333336,4611
40.416666666666664,4610
40.5,4615
40.583333333333336,4609
40.666666666666664,4608
40.75,4613
40.833333333333336,4611
40.916666666666664,4615
41,4610
41.083333333333336,4614
41.166666666666664,4619
41.25,4622
41.333333333333336,4613
41.416666666666664,4610
41.5,4620
41.583333333333336,4620
41.666666666666664,4615
41.75,4615
41.833333333333336,4609
41.916666666666664,4623
42,4617
42.083333333333336,4619
42.166666666666664,4624
42.25,4620
42.333333333333336,4628
42.416666666666664,4626
42.5,4627
42.583333333333336,4628
42.666666666666664,4630
42.75,4626
42.833333333333336,4630
42.916666666666664,4639
43,4630
43.083333333333336,4642
43.166666666666664,4638
43.25,4633
43.333333333333336,4636
43.416666666666664,4635
43.5,4639
43.583333333333336,4637
43.666666666666664,4640
43.75,4641
43.833333333333336,4642
43.916666666666664,4650
44,4646
44.083333333333336,4641
44.166666666666664,4647
44.25,4645
44.333333333333336,4647
44.416666666666664,4646
44.5,4656
44.583333333333336,4646
44.666666666666664,4647
44.75,4657
44.833333333333336,4653
44.916666666666664,4660
45,4657
45.083333333333336,4663
45.166666666666664,4656
45.25,4659
45.333333333333336,4661
45.416666666666664,4663
45.5,4668
45.583333333333336,4661
45.666666666666664,4664
45.75,4662
45.833333333333336,4658
45.916666666666664,4661
46,4659
46.083333333333336,4666
46.166666666666664,4663
46.25,4668
46.333333333333336,4661
46.416666666666664,4665
46.5,4666
46.583333333333336,4668
46.666666666666664,4669
46.75,4663
46.833333333333336,4672
46.916666666666664,4672
47,4672
47.166666666666664,4676
47.333333333333336,4669
47.416666666666664,4682
47.5,4670
47.583333333333336,4674
47.666666666666664,4676
47.75,4683
47.833333333333336,4677
47.916666666666664,4682
