"Hours since thread went live","Vinland Saga Season 2 - Episode 22 discussion"
0,6
0.16666666666666666,29
0.25,48
0.4166666666666667,110
0.5,161
0.5833333333333334,203
0.6666666666666666,256
0.75,302
0.8333333333333334,347
0.9166666666666666,384
1,433
1.0833333333333333,486
1.1666666666666667,526
1.25,575
1.3333333333333333,618
1.4166666666666667,671
1.5,724
1.5833333333333333,765
1.75,854
1.8333333333333333,890
2,979
2.25,1114
2.5833333333333335,1206
2.75,1260
5.416666666666667,2197
5.5,2213
5.583333333333333,2249
5.666666666666667,2277
5.75,2301
5.833333333333333,2324
5.916666666666667,2355
6,2367
6.166666666666667,2396
6.25,2418
6.333333333333333,2439
6.416666666666667,2463
6.5,2487
6.583333333333333,2495
6.666666666666667,2526
6.75,2545
6.833333333333333,2560
6.916666666666667,2576
7,2597
7.083333333333333,2608
7.166666666666667,2625
7.25,2652
7.333333333333333,2669
7.416666666666667,2679
7.5,2698
7.583333333333333,2707
7.666666666666667,2726
7.75,2749
7.833333333333333,2765
7.916666666666667,2782
8,2804
8.083333333333334,2821
8.166666666666666,2839
8.25,2855
8.333333333333334,2876
8.416666666666666,2894
8.5,2918
8.583333333333334,2932
8.666666666666666,2958
8.75,2968
8.833333333333334,2982
8.916666666666666,2996
9,3007
9.166666666666666,3038
9.25,3053
9.333333333333334,3070
9.416666666666666,3092
9.5,3105
9.666666666666666,3139
9.75,3153
9.833333333333334,3162
9.916666666666666,3166
10,3174
10.083333333333334,3190
10.166666666666666,3203
10.25,3213
10.333333333333334,3239
10.416666666666666,3249
10.5,3276
10.583333333333334,3293
10.666666666666666,3317
10.75,3323
10.833333333333334,3332
10.916666666666666,3348
11,3357
11.166666666666666,3376
11.25,3397
11.333333333333334,3399
11.416666666666666,3422
11.5,3434
11.583333333333334,3452
11.666666666666666,3454
11.833333333333334,3466
11.916666666666666,3479
12,3491
12.083333333333334,3496
12.166666666666666,3497
12.25,3517
12.333333333333334,3534
12.416666666666666,3539
12.5,3562
12.583333333333334,3572
12.666666666666666,3578
12.75,3581
12.833333333333334,3594
12.916666666666666,3609
13,3619
13.083333333333334,3623
13.166666666666666,3631
13.25,3643
13.333333333333334,3645
13.416666666666666,3671
13.5,3680
13.583333333333334,3682
13.666666666666666,3683
13.75,3704
13.833333333333334,3702
14,3734
14.083333333333334,3743
14.166666666666666,3747
14.25,3754
14.333333333333334,3755
14.416666666666666,3762
14.5,3765
14.583333333333334,3770
14.666666666666666,3772
14.75,3782
14.833333333333334,3789
14.916666666666666,3801
15,3793
15.083333333333334,3807
15.166666666666666,3808
15.25,3815
