"Hours since thread went live","BLEACH: Sennen Kessen-hen - Ketsubetsu-tan - • BLEACH: Thousand-Year Blood War - The Separation - - Episode 13 discussion - FINAL"
0,1
0,5
0.08333333333333333,17
0.16666666666666666,27
0.25,42
0.3333333333333333,51
0.4166666666666667,69
0.5,80
0.5833333333333334,101
0.6666666666666666,120
0.75,139
0.8333333333333334,160
0.9166666666666666,179
1,191
1.0833333333333333,204
1.1666666666666667,218
1.25,231
1.3333333333333333,253
1.4166666666666667,273
1.5,290
1.5833333333333333,306
1.6666666666666667,320
1.75,337
1.8333333333333333,355
1.9166666666666667,377
2,397
2.0833333333333335,416
2.1666666666666665,422
2.25,442
2.3333333333333335,454
2.4166666666666665,464
2.5,480
2.5833333333333335,500
2.6666666666666665,511
2.75,522
2.8333333333333335,534
2.9166666666666665,554
3,561
3.0833333333333335,575
3.1666666666666665,580
3.25,593
3.3333333333333335,606
3.4166666666666665,612
3.5,625
3.5833333333333335,642
3.6666666666666665,649
3.75,657
3.8333333333333335,667
3.9166666666666665,677
4,688
4.083333333333333,698
4.166666666666667,710
4.25,714
4.333333333333333,733
4.416666666666667,735
4.5,746
4.583333333333333,760
4.666666666666667,773
4.75,782
4.833333333333333,787
4.916666666666667,794
5,802
5.083333333333333,823
5.166666666666667,824
5.25,837
5.333333333333333,842
5.416666666666667,852
5.5,857
5.583333333333333,862
5.666666666666667,872
5.75,878
5.833333333333333,889
5.916666666666667,894
6,906
6.083333333333333,918
6.166666666666667,927
6.25,935
6.333333333333333,950
6.416666666666667,958
6.5,959
6.583333333333333,975
6.666666666666667,982
6.75,995
6.833333333333333,1002
6.916666666666667,1010
7,1018
7.083333333333333,1028
7.166666666666667,1034
7.25,1043
7.333333333333333,1046
7.416666666666667,1058
7.5,1073
7.583333333333333,1072
7.666666666666667,1078
7.75,1088
7.833333333333333,1086
7.916666666666667,1093
8,1100
8.083333333333334,1102
8.166666666666666,1106
8.25,1113
8.333333333333334,1121
8.416666666666666,1122
8.5,1134
8.583333333333334,1139
8.666666666666666,1147
8.75,1152
8.833333333333334,1158
8.916666666666666,1163
9,1171
9.083333333333334,1172
9.166666666666666,1173
9.25,1186
9.333333333333334,1192
9.416666666666666,1190
9.5,1196
9.583333333333334,1203
9.666666666666666,1202
9.75,1213
9.833333333333334,1212
9.916666666666666,1213
10,1224
10.083333333333334,1232
10.166666666666666,1240
10.25,1241
10.333333333333334,1248
10.416666666666666,1252
10.5,1262
10.583333333333334,1262
10.666666666666666,1259
10.75,1269
10.833333333333334,1273
10.916666666666666,1278
11,1286
11.083333333333334,1291
11.166666666666666,1297
11.25,1295
11.333333333333334,1295
11.416666666666666,1297
11.5,1302
11.583333333333334,1308
11.666666666666666,1313
11.75,1315
11.833333333333334,1321
11.916666666666666,1328
12,1328
12.083333333333334,1335
12.166666666666666,1337
12.25,1344
12.333333333333334,1344
12.416666666666666,1348
12.5,1354
12.583333333333334,1360
12.666666666666666,1367
12.75,1366
12.833333333333334,1371
12.916666666666666,1375
13,1383
13.083333333333334,1382
13.166666666666666,1380
13.25,1388
13.333333333333334,1389
13.416666666666666,1387
13.5,1390
13.583333333333334,1391
13.666666666666666,1402
13.75,1402
13.833333333333334,1399
13.916666666666666,1406
14,1407
14.083333333333334,1413
14.166666666666666,1416
14.25,1420
14.333333333333334,1419
14.416666666666666,1421
14.5,1424
14.583333333333334,1422
14.666666666666666,1432
14.75,1433
14.833333333333334,1433
14.916666666666666,1437
15,1444
15.083333333333334,1448
15.166666666666666,1450
15.25,1455
15.333333333333334,1456
15.416666666666666,1460
15.5,1455
15.583333333333334,1467
15.666666666666666,1476
15.75,1480
15.833333333333334,1480
15.916666666666666,1480
16,1489
16.083333333333332,1483
16.166666666666668,1496
16.25,1489
16.333333333333332,1507
16.416666666666668,1501
16.5,1499
16.583333333333332,1510
16.666666666666668,1507
16.75,1512
16.833333333333332,1511
16.916666666666668,1510
17,1512
17.083333333333332,1519
17.166666666666668,1521
17.25,1525
17.333333333333332,1530
17.416666666666668,1534
17.5,1531
17.583333333333332,1533
17.666666666666668,1540
17.75,1546
17.833333333333332,1548
17.916666666666668,1552
18,1547
18.083333333333332,1554
18.166666666666668,1558
18.25,1562
18.333333333333332,1564
18.416666666666668,1564
18.5,1570
18.583333333333332,1564
18.666666666666668,1568
18.75,1570
18.833333333333332,1570
18.916666666666668,1573
19,1578
19.083333333333332,1581
19.166666666666668,1583
19.25,1584
19.333333333333332,1584
19.416666666666668,1590
19.5,1595
19.583333333333332,1591
19.666666666666668,1596
19.75,1602
19.833333333333332,1601
19.916666666666668,1609
20,1607
20.083333333333332,1611
20.166666666666668,1617
20.25,1614
20.333333333333332,1615
20.416666666666668,1618
20.5,1625
20.583333333333332,1620
20.666666666666668,1626
20.75,1622
20.833333333333332,1627
20.916666666666668,1628
21,1632
21.083333333333332,1644
21.166666666666668,1644
21.25,1653
21.333333333333332,1654
21.416666666666668,1649
21.5,1650
21.583333333333332,1664
21.666666666666668,1663
21.75,1664
21.833333333333332,1670
21.916666666666668,1668
22,1674
22.083333333333332,1675
22.166666666666668,1676
22.25,1677
22.333333333333332,1672
22.416666666666668,1680
22.5,1688
22.583333333333332,1685
22.666666666666668,1686
22.75,1696
22.833333333333332,1692
22.916666666666668,1695
23,1702
23.083333333333332,1705
23.166666666666668,1705
23.25,1712
23.333333333333332,1708
23.416666666666668,1712
23.5,1716
23.583333333333332,1716
23.666666666666668,1718
23.75,1720
23.833333333333332,1725
23.916666666666668,1720
24,1728
24.083333333333332,1725
24.166666666666668,1729
24.25,1732
24.333333333333332,1729
24.416666666666668,1734
24.5,1740
24.666666666666668,1732
24.75,1737
24.833333333333332,1734
24.916666666666668,1734
25,1740
25.083333333333332,1740
25.166666666666668,1738
25.25,1740
25.333333333333332,1741
25.416666666666668,1744
25.5,1745
25.583333333333332,1756
25.666666666666668,1754
25.75,1751
25.833333333333332,1760
25.916666666666668,1761
26,1764
26.083333333333332,1769
26.166666666666668,1765
26.25,1767
26.333333333333332,1762
26.416666666666668,1770
26.5,1767
26.583333333333332,1774
26.666666666666668,1774
26.75,1777
26.833333333333332,1776
26.916666666666668,1779
27,1777
27.083333333333332,1773
27.166666666666668,1779
27.25,1775
27.333333333333332,1776
27.416666666666668,1786
27.5,1787
27.583333333333332,1783
27.666666666666668,1788
27.75,1783
27.833333333333332,1790
27.916666666666668,1794
28,1797
28.083333333333332,1794
28.166666666666668,1798
28.25,1793
28.333333333333332,1796
28.416666666666668,1801
28.5,1797
28.583333333333332,1795
28.666666666666668,1797
28.75,1799
28.833333333333332,1796
28.916666666666668,1797
29,1798
29.083333333333332,1803
29.166666666666668,1803
29.25,1803
29.333333333333332,1800
29.416666666666668,1800
29.5,1806
29.583333333333332,1810
29.666666666666668,1807
29.75,1814
29.833333333333332,1813
29.916666666666668,1816
30,1821
30.083333333333332,1825
30.166666666666668,1826
30.25,1825
30.333333333333332,1822
30.416666666666668,1823
30.5,1829
30.583333333333332,1832
30.666666666666668,1830
30.75,1829
30.833333333333332,1827
30.916666666666668,1835
31,1833
31.083333333333332,1836
31.166666666666668,1835
31.25,1839
31.333333333333332,1841
31.416666666666668,1841
31.5,1844
31.583333333333332,1843
31.666666666666668,1838
31.75,1842
31.833333333333332,1843
31.916666666666668,1844
32,1848
32.083333333333336,1839
32.166666666666664,1848
32.25,1842
32.333333333333336,1845
32.416666666666664,1843
32.5,1846
32.583333333333336,1854
32.666666666666664,1845
32.75,1850
32.833333333333336,1849
32.916666666666664,1849
33,1851
33.083333333333336,1852
33.166666666666664,1851
33.25,1856
33.333333333333336,1862
33.416666666666664,1857
33.5,1862
33.583333333333336,1859
33.666666666666664,1864
33.75,1861
33.833333333333336,1863
33.916666666666664,1865
34,1862
34.083333333333336,1868
34.166666666666664,1872
34.25,1866
34.333333333333336,1868
34.416666666666664,1870
34.5,1873
34.583333333333336,1871
34.666666666666664,1876
34.75,1873
34.833333333333336,1874
34.916666666666664,1879
35,1871
35.083333333333336,1871
35.166666666666664,1880
35.25,1880
35.333333333333336,1878
35.416666666666664,1877
35.5,1877
35.583333333333336,1883
35.666666666666664,1876
35.75,1880
35.833333333333336,1878
35.916666666666664,1885
36,1882
36.083333333333336,1877
36.166666666666664,1886
36.25,1884
36.333333333333336,1885
36.416666666666664,1886
36.5,1888
36.583333333333336,1892
36.666666666666664,1885
36.75,1887
36.833333333333336,1894
36.916666666666664,1895
37,1896
37.083333333333336,1897
37.166666666666664,1890
37.25,1895
37.333333333333336,1892
37.416666666666664,1895
37.5,1893
37.583333333333336,1896
37.666666666666664,1898
37.75,1893
37.833333333333336,1895
37.916666666666664,1897
38,1895
38.083333333333336,1900
38.166666666666664,1903
38.25,1903
38.333333333333336,1900
38.416666666666664,1897
38.5,1900
38.583333333333336,1907
38.666666666666664,1908
38.75,1911
38.833333333333336,1915
38.916666666666664,1907
39,1909
39.083333333333336,1914
39.166666666666664,1911
39.25,1913
39.333333333333336,1912
39.416666666666664,1917
39.5,1917
39.583333333333336,1913
39.666666666666664,1919
39.75,1916
39.833333333333336,1918
39.916666666666664,1927
40,1917
40.083333333333336,1920
40.166666666666664,1926
40.25,1923
40.333333333333336,1921
40.416666666666664,1922
40.5,1930
40.583333333333336,1926
40.666666666666664,1933
40.75,1927
40.833333333333336,1933
40.916666666666664,1926
41,1932
41.083333333333336,1935
41.166666666666664,1930
41.25,1930
41.333333333333336,1928
41.416666666666664,1935
41.5,1935
41.583333333333336,1931
41.666666666666664,1931
41.75,1929
41.833333333333336,1932
41.916666666666664,1933
42,1932
42.083333333333336,1932
42.166666666666664,1939
42.25,1939
42.333333333333336,1934
42.416666666666664,1941
42.5,1942
42.583333333333336,1942
42.666666666666664,1942
42.75,1946
42.833333333333336,1946
42.916666666666664,1942
43,1945
43.083333333333336,1945
43.166666666666664,1945
43.25,1943
43.333333333333336,1941
43.416666666666664,1944
43.5,1952
43.583333333333336,1942
43.666666666666664,1947
43.75,1950
43.833333333333336,1947
43.916666666666664,1949
44,1948
44.083333333333336,1951
44.166666666666664,1949
44.25,1953
44.333333333333336,1954
44.416666666666664,1956
44.5,1951
44.583333333333336,1951
44.666666666666664,1954
44.75,1958
44.833333333333336,1950
44.916666666666664,1954
45,1952
45.083333333333336,1951
45.166666666666664,1954
45.25,1958
45.333333333333336,1958
45.416666666666664,1954
45.5,1957
45.583333333333336,1959
45.666666666666664,1956
45.75,1952
45.833333333333336,1960
45.916666666666664,1953
46,1957
46.083333333333336,1964
46.166666666666664,1961
46.25,1959
46.333333333333336,1957
46.416666666666664,1966
46.5,1965
46.583333333333336,1961
46.666666666666664,1967
46.75,1966
46.833333333333336,1961
46.916666666666664,1962
47,1967
47.083333333333336,1969
47.166666666666664,1969
47.25,1970
47.333333333333336,1965
47.416666666666664,1969
47.5,1974
47.583333333333336,1971
47.666666666666664,1971
47.75,1971
47.833333333333336,1976
47.916666666666664,1980
