"Hours since thread went live","Sentai Daishikkaku • Go! Go! Loser Ranger! - Episode 1 discussion"
0,1
0,2
0.08333333333333333,2
0.16666666666666666,4
0.25,4
0.3333333333333333,5
0.4166666666666667,11
0.5,17
0.5833333333333334,24
0.6666666666666666,31
0.75,38
0.8333333333333334,43
0.9166666666666666,51
1,53
1.0833333333333333,56
1.1666666666666667,63
1.25,72
1.3333333333333333,78
1.4166666666666667,83
1.5,91
1.5833333333333333,96
1.6666666666666667,108
1.75,110
1.8333333333333333,117
1.9166666666666667,133
2,144
2.0833333333333335,146
2.1666666666666665,147
2.25,151
2.3333333333333335,156
2.4166666666666665,163
2.5,160
2.5833333333333335,171
2.6666666666666665,173
2.75,182
2.8333333333333335,188
2.9166666666666665,198
3,199
3.0833333333333335,213
3.1666666666666665,222
3.25,221
3.3333333333333335,232
3.4166666666666665,233
3.5,237
3.5833333333333335,240
3.6666666666666665,250
3.75,257
3.8333333333333335,259
3.9166666666666665,268
4,280
4.083333333333333,283
4.166666666666667,286
4.25,288
4.333333333333333,291
4.416666666666667,297
4.5,302
4.583333333333333,309
4.666666666666667,312
4.75,324
4.833333333333333,338
4.916666666666667,341
5,343
5.083333333333333,354
5.166666666666667,355
5.25,356
5.333333333333333,366
5.416666666666667,378
5.5,390
5.583333333333333,390
5.666666666666667,401
5.75,413
5.833333333333333,417
5.916666666666667,427
6,423
6.083333333333333,431
6.166666666666667,442
6.25,451
6.333333333333333,453
6.416666666666667,465
6.5,469
6.583333333333333,478
6.666666666666667,489
6.75,495
6.833333333333333,504
6.916666666666667,502
7,510
7.083333333333333,517
7.166666666666667,519
7.25,524
7.333333333333333,533
7.416666666666667,537
7.5,548
7.583333333333333,546
7.666666666666667,555
7.75,557
7.833333333333333,563
7.916666666666667,572
8,581
8.083333333333334,584
8.166666666666666,588
8.25,591
8.333333333333334,593
8.416666666666666,597
8.5,600
8.583333333333334,612
8.666666666666666,617
8.75,617
8.833333333333334,624
8.916666666666666,626
9,639
9.083333333333334,646
9.166666666666666,655
9.25,661
9.333333333333334,672
9.416666666666666,682
9.5,690
9.583333333333334,689
9.666666666666666,694
9.75,703
9.833333333333334,705
9.916666666666666,719
10,723
10.083333333333334,722
10.166666666666666,733
10.25,734
10.333333333333334,737
10.416666666666666,739
10.5,739
10.583333333333334,751
10.666666666666666,758
10.75,756
10.833333333333334,773
10.916666666666666,772
11,781
11.083333333333334,778
11.166666666666666,785
11.25,792
11.333333333333334,785
11.416666666666666,796
11.5,796
11.583333333333334,803
11.666666666666666,811
11.75,815
11.833333333333334,821
11.916666666666666,822
12,833
12.083333333333334,834
12.166666666666666,836
12.25,841
12.333333333333334,845
12.416666666666666,846
12.5,853
12.583333333333334,858
12.666666666666666,854
12.75,856
12.833333333333334,860
12.916666666666666,867
13,877
13.083333333333334,875
13.166666666666666,883
13.25,890
13.333333333333334,890
13.416666666666666,891
13.5,892
13.583333333333334,894
13.666666666666666,907
13.75,903
13.833333333333334,911
13.916666666666666,915
14,919
14.083333333333334,916
14.166666666666666,922
14.25,927
14.333333333333334,936
14.416666666666666,938
14.5,944
14.583333333333334,942
14.666666666666666,952
14.75,957
14.833333333333334,957
14.916666666666666,957
15,961
15.083333333333334,970
15.166666666666666,975
15.25,968
15.333333333333334,973
15.416666666666666,983
15.5,985
15.583333333333334,989
15.666666666666666,984
15.75,994
15.833333333333334,1004
15.916666666666666,1008
16,1011
16.083333333333332,1023
16.166666666666668,1022
16.25,1027
16.333333333333332,1025
16.416666666666668,1030
16.5,1028
16.583333333333332,1029
16.666666666666668,1040
16.75,1043
16.833333333333332,1048
16.916666666666668,1047
17,1046
17.083333333333332,1058
17.166666666666668,1056
17.25,1060
17.333333333333332,1064
17.416666666666668,1071
17.5,1070
17.583333333333332,1073
17.666666666666668,1078
17.75,1075
17.833333333333332,1075
17.916666666666668,1080
18,1084
18.083333333333332,1087
18.166666666666668,1082
18.25,1087
18.333333333333332,1090
18.416666666666668,1097
18.5,1098
18.583333333333332,1099
18.666666666666668,1109
18.75,1108
18.833333333333332,1108
18.916666666666668,1116
19,1120
19.083333333333332,1121
19.166666666666668,1121
19.25,1123
19.333333333333332,1123
19.416666666666668,1129
19.5,1129
19.583333333333332,1127
19.666666666666668,1134
19.75,1132
19.833333333333332,1135
19.916666666666668,1134
20,1142
20.083333333333332,1146
20.166666666666668,1140
20.25,1152
20.333333333333332,1149
20.416666666666668,1146
20.5,1152
20.583333333333332,1151
20.666666666666668,1157
20.75,1162
20.833333333333332,1159
20.916666666666668,1162
21,1168
21.083333333333332,1166
21.166666666666668,1169
21.25,1173
21.333333333333332,1179
21.416666666666668,1178
21.5,1177
21.583333333333332,1182
21.666666666666668,1186
21.75,1183
21.833333333333332,1193
21.916666666666668,1192
22,1190
22.083333333333332,1191
22.166666666666668,1191
22.25,1191
22.333333333333332,1200
22.416666666666668,1195
22.5,1199
22.583333333333332,1205
22.666666666666668,1199
22.75,1200
22.833333333333332,1206
22.916666666666668,1205
23,1209
23.083333333333332,1208
23.166666666666668,1212
23.25,1218
23.333333333333332,1217
23.416666666666668,1218
23.5,1221
23.583333333333332,1221
23.666666666666668,1225
23.75,1224
23.833333333333332,1226
23.916666666666668,1225
24,1227
24.083333333333332,1223
24.166666666666668,1229
24.25,1228
24.333333333333332,1231
24.416666666666668,1228
24.5,1233
24.583333333333332,1235
24.666666666666668,1231
24.75,1236
24.833333333333332,1232
24.916666666666668,1230
25,1233
25.083333333333332,1239
25.166666666666668,1238
25.25,1239
25.333333333333332,1241
25.416666666666668,1244
25.5,1241
25.583333333333332,1247
25.666666666666668,1242
25.75,1242
25.833333333333332,1239
25.916666666666668,1247
26,1243
26.083333333333332,1241
26.166666666666668,1244
26.25,1248
26.333333333333332,1253
26.416666666666668,1250
26.5,1249
26.583333333333332,1253
26.666666666666668,1250
26.75,1253
26.833333333333332,1259
26.916666666666668,1257
27,1251
27.083333333333332,1261
27.166666666666668,1256
27.25,1257
27.333333333333332,1259
27.416666666666668,1257
27.5,1255
27.583333333333332,1259
27.666666666666668,1260
27.75,1262
27.833333333333332,1259
27.916666666666668,1260
28,1266
28.083333333333332,1268
28.166666666666668,1262
28.25,1269
28.333333333333332,1267
28.416666666666668,1264
28.5,1260
28.583333333333332,1267
28.666666666666668,1267
28.75,1266
28.833333333333332,1268
28.916666666666668,1262
29,1262
29.083333333333332,1269
29.166666666666668,1268
29.25,1270
29.333333333333332,1268
29.416666666666668,1270
29.5,1279
29.583333333333332,1281
29.666666666666668,1275
29.75,1275
29.833333333333332,1280
29.916666666666668,1278
30,1276
30.083333333333332,1277
30.166666666666668,1286
30.25,1279
30.333333333333332,1286
30.416666666666668,1281
30.5,1281
30.583333333333332,1288
30.666666666666668,1285
30.75,1284
30.833333333333332,1285
30.916666666666668,1290
31,1286
31.083333333333332,1291
31.166666666666668,1287
31.25,1290
31.333333333333332,1288
31.416666666666668,1289
31.5,1295
31.583333333333332,1292
