"Hours since thread went live","Kusuriya no Hitorigoto • The Apothecary Diaries - Episode 11 discussion"
0,4
0,7
0.08333333333333333,12
0.16666666666666666,27
0.25,42
0.3333333333333333,57
0.4166666666666667,70
0.5,94
0.5833333333333334,117
0.6666666666666666,147
0.75,160
0.8333333333333334,178
0.9166666666666666,197
1,214
1.0833333333333333,240
1.1666666666666667,256
1.25,274
1.3333333333333333,287
1.4166666666666667,300
1.5,316
1.5833333333333333,339
1.6666666666666667,354
1.75,378
1.8333333333333333,398
1.9166666666666667,416
2,433
2.0833333333333335,447
2.1666666666666665,457
2.25,462
2.3333333333333335,476
2.4166666666666665,491
2.5,507
2.5833333333333335,531
2.6666666666666665,543
2.75,562
2.8333333333333335,588
2.9166666666666665,604
3,619
3.0833333333333335,628
3.1666666666666665,641
3.25,651
3.3333333333333335,673
3.4166666666666665,691
3.5,705
3.5833333333333335,715
3.6666666666666665,722
3.75,745
3.8333333333333335,755
3.9166666666666665,764
4,778
4.083333333333333,797
4.166666666666667,807
4.25,823
4.333333333333333,845
4.416666666666667,853
4.5,867
4.583333333333333,877
4.666666666666667,891
4.75,910
4.833333333333333,919
4.916666666666667,933
5,942
5.083333333333333,966
5.166666666666667,978
5.25,980
5.333333333333333,994
5.416666666666667,1001
5.5,1019
5.583333333333333,1028
5.666666666666667,1042
5.75,1050
5.833333333333333,1060
5.916666666666667,1066
6,1078
6.083333333333333,1085
6.166666666666667,1093
6.25,1104
6.333333333333333,1115
6.416666666666667,1122
6.5,1131
6.583333333333333,1143
6.666666666666667,1146
6.75,1155
6.833333333333333,1163
6.916666666666667,1178
7,1189
7.083333333333333,1199
7.166666666666667,1217
7.25,1222
7.333333333333333,1227
7.416666666666667,1229
7.5,1242
7.583333333333333,1257
7.666666666666667,1260
7.75,1269
7.833333333333333,1277
7.916666666666667,1286
8,1290
8.083333333333334,1305
8.166666666666666,1303
8.25,1308
8.333333333333334,1322
8.416666666666666,1320
8.5,1332
8.583333333333334,1341
8.666666666666666,1346
8.75,1357
8.833333333333334,1364
8.916666666666666,1369
9,1367
9.083333333333334,1376
9.166666666666666,1374
9.25,1381
9.333333333333334,1391
9.416666666666666,1397
9.5,1401
9.583333333333334,1405
9.666666666666666,1410
9.75,1425
9.833333333333334,1427
9.916666666666666,1437
10,1449
10.083333333333334,1451
10.166666666666666,1459
10.25,1462
10.333333333333334,1464
10.416666666666666,1468
10.5,1482
10.583333333333334,1482
10.666666666666666,1485
10.75,1497
10.833333333333334,1504
10.916666666666666,1508
11,1519
11.083333333333334,1519
11.166666666666666,1528
11.25,1539
11.333333333333334,1537
11.416666666666666,1546
11.5,1542
11.583333333333334,1555
11.666666666666666,1561
11.75,1565
11.833333333333334,1575
11.916666666666666,1580
12,1583
12.083333333333334,1586
12.166666666666666,1589
12.25,1596
12.333333333333334,1594
12.416666666666666,1603
12.5,1599
12.583333333333334,1609
12.666666666666666,1616
12.75,1620
12.833333333333334,1622
12.916666666666666,1631
13,1627
13.083333333333334,1629
13.166666666666666,1641
13.25,1639
13.333333333333334,1642
13.416666666666666,1643
13.5,1651
13.583333333333334,1651
13.666666666666666,1656
13.75,1654
13.833333333333334,1659
13.916666666666666,1669
14,1676
14.083333333333334,1680
14.166666666666666,1684
